ID,Technique Name,Description
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions
T1548.001,Setuid and Setgid,An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context
T1548.002,Bypass User Account Control,Adversaries may bypass UAC mechanisms to elevate process privileges on system
T1548.003,Sudo and Sudo Caching,Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges
T1548.004,Elevated Execution with Prompt,Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials
T1548.005,Temporary Elevated Cloud Access,Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources
T1134,Access Token Manipulation,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls
T1134.001,Token Impersonation/Theft,Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls
T1134.002,Create Process with Token,Adversaries may create a new process with an existing token to escalate privileges and bypass access controls
T1134.003,Make and Impersonate Token,Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls
T1134.004,Parent PID Spoofing,Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges
T1134.005,SID-History Injection,Adversaries may use SID-History Injection to escalate privileges and bypass access controls
T1197,BITS Jobs,Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks
T1612,Build Image on Host,Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry
T1622,Debugger Evasion,Adversaries may employ various means to detect and avoid debuggers
T1140,Deobfuscate/Decode Files or Information,Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis
T1610,Deploy Container,Adversaries may deploy a container into an environment to facilitate execution or evade defenses
T1006,Direct Volume Access,Adversaries may directly access a volume to bypass file access controls and file system monitoring
T1484,Domain Policy Modification,Adversaries may modify the configuration settings of a domain to evade defenses and/or escalate privileges in domain environments
T1484.001,Group Policy Modification,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain"
T1484.002,Domain Trust Modification,Adversaries may add new domain trusts or modify the properties of existing domain trusts to evade defenses and/or elevate privileges
T1480,Execution Guardrails,Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target
T1480.001,Environmental Keying,Adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment
T1211,Exploitation for Defense Evasion,Adversaries may exploit a system or application vulnerability to bypass security features
T1222,File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files
T1222.001,Windows File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files
T1222.002,Linux and Mac File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files
T1564,Hide Artifacts,Adversaries may attempt to hide artifacts associated with their behaviors to evade detection
T1564.001,Hidden Files and Directories,Adversaries may set files and directories to be hidden to evade detection mechanisms
T1564.002,Hidden Users,Adversaries may use hidden users to hide the presence of user accounts they create or modify
T1564.003,Hidden Window,Adversaries may use hidden windows to conceal malicious activity from the plain sight of users
T1564.004,NTFS File Attributes,Adversaries may use NTFS file attributes to hide their malicious data in order to evade detection
T1564.005,Hidden File System,Adversaries may use a hidden file system to conceal malicious activity from users and security tools
T1564.006,Run Virtual Instance,Adversaries may carry out malicious operations using a virtual instance to avoid detection
T1564.007,VBA Stomping,Adversaries may hide malicious Visual Basic for Applications (VBA) payloads embedded within MS Office documents by replacing the VBA source code with benign data
T1564.008,Email Hiding Rules,Adversaries may use email rules to hide inbound emails in a compromised user's mailbox
T1564.009,Resource Forking,Adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications
T1564.010,Process Argument Spoofing,Adversaries may attempt to hide process command-line arguments by overwriting process memory
T1564.011,Ignore Process Interrupts,Adversaries may evade defensive mechanisms by executing commands that hide from process interrupt signals
T1574,Hijack Execution Flow,Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs
T1574.001,DLL Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load DLLs
T1574.002,DLL Side-Loading,Adversaries may execute their own malicious payloads by side-loading DLLs
T1574.004,Dylib Hijacking,Adversaries may execute their own payloads by placing a malicious dynamic library (dylib) with an expected name in a path a victim application searches at runtime
T1574.005,Executable Installer File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer
T1574.006,Dynamic Linker Hijacking,Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries
T1574.007,Path Interception by PATH Environment Variable,Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries
T1574.008,Path Interception by Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs
T1574.009,Path Interception by Unquoted Path,Adversaries may execute their own malicious payloads by hijacking vulnerable file path references
T1574.010,Services File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by services
T1574.011,Services Registry Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services
T1574.012,COR_PROFILER,Adversaries may leverage the COR_PROFILER environment variable to hijack the execution flow of programs that load the 
T1574.013,KernelCallbackTable,Adversaries may abuse the KernelCallbackTable of a process to hijack its execution flow in order to run their own payloads
T1562,Impair Defenses,Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms
T1562.001,Disable or Modify Tools,Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities
T1562.002,Disable Windows Event Logging,Adversaries may disable Windows event logging to limit data that can be leveraged for detections and audits
T1562.003,Impair Command History Logging,Adversaries may impair command history logging to hide commands they run on a compromised system
T1562.004,Disable or Modify System Firewall,Adversaries may disable or modify system firewalls in order to bypass controls limiting network usage
T1562.006,Indicator Blocking,An adversary may attempt to block indicators or events typically captured by sensors from being gathered and analyzed
T1562.007,Disable or Modify Cloud Firewall,Adversaries may disable or modify a firewall within a cloud environment to bypass controls that limit access to cloud resources
T1562.008,Disable or Modify Cloud Logs,An adversary may disable or modify cloud logging capabilities and integrations to limit what data is collected on their activities and avoid detection
T1562.009,Safe Mode Boot,Adversaries may abuse Windows safe mode to disable endpoint defenses
T1562.010,Downgrade Attack,"Adversaries may downgrade or use a version of system features that may be outdated, vulnerable, and/or does not support updated security controls"
T1562.011,Spoof Security Alerting,"Adversaries may spoof security alerting from tools, presenting false evidence to impair defenders’ awareness of malicious activity"
T1562.012,Disable or Modify Linux Audit System,Adversaries may disable or modify the Linux audit system to hide malicious activity and avoid detection
T1656,Impersonation,Adversaries may impersonate a trusted person or organization in order to persuade and trick a target into performing some action on their behalf
T1070,Indicator Removal,Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses
T1070.001,Clear Windows Event Logs,Adversaries may clear Windows Event Logs to hide the activity of an intrusion
T1070.002,Clear Linux or Mac System Logs,Adversaries may clear system logs to hide evidence of an intrusion
T1070.003,Clear Command History,"In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion"
T1070.004,File Deletion,Adversaries may delete files left behind by the actions of their intrusion activity
T1070.005,Network Share Connection Removal,Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation
T1070.006,Timestomp,Adversaries may modify file time attributes to hide new or changes to existing files
T1070.007,Clear Network Connection History and Configurations,Adversaries may clear or remove evidence of malicious network connections in order to clean up traces of their operations
T1070.008,Clear Mailbox Data,Adversaries may modify mail and mail application data to remove evidence of their activity
T1070.009,Clear Persistence,Adversaries may clear artifacts associated with previously established persistence on a host system to remove evidence of their activity
T1202,Indirect Command Execution,Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters
T1036,Masquerading,Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools
T1036.001,Invalid Code Signature,"Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool"
T1036.002,Right-to-Left Override,Adversaries may abuse the right-to-left override (RTLO or RLO) character (U+202E) to disguise a string and/or file name to make it appear benign
T1036.003,Rename System Utilities,Adversaries may rename legitimate system utilities to try to evade security mechanisms concerning the usage of those utilities
T1036.004,Masquerade Task or Service,Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign
T1036.005,Match Legitimate Name or Location,Adversaries may match or approximate the name or location of legitimate files or resources when naming/placing them
T1036.006,Space after Filename,Adversaries can hide a program's true filetype by changing the extension of a file
T1036.007,Double File Extension,Adversaries may abuse a double extension in the filename as a means of masquerading the true file type
