ID,Technique Name,Description
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions
T1548.001,Setuid and Setgid,An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context
T1548.002,Bypass User Account Control,Adversaries may bypass UAC mechanisms to elevate process privileges on system
T1548.003,Sudo and Sudo Caching,Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges
T1548.004,Elevated Execution with Prompt,Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials
T1548.005,Temporary Elevated Cloud Access,Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources
T1134,Access Token Manipulation,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls
T1134.001,Token Impersonation/Theft,Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls
T1134.002,Create Process with Token,Adversaries may create a new process with an existing token to escalate privileges and bypass access controls
T1134.003,Make and Impersonate Token,Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls
T1134.004,Parent PID Spoofing,Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges
T1134.005,SID-History Injection,Adversaries may use SID-History Injection to escalate privileges and bypass access controls
T1098,Account Manipulation,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems
T1098.001,Additional Cloud Credentials,Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment
T1098.002,Additional Email Delegate Permissions,Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account
T1098.003,Additional Cloud Roles,An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant
T1098.004,SSH Authorized Keys,Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host
T1098.005,Device Registration,Adversaries may register a device to an adversary-controlled account
T1098.006,Additional Container Cluster Roles,An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system
T1547,Boot or Logon Autostart Execution,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems
T1547.001,Registry Run Keys / Startup Folder,Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key
T1547.002,Authentication Package,Adversaries may abuse authentication packages to execute DLLs when the system boots
T1547.003,Time Providers,Adversaries may abuse time providers to execute DLLs when the system boots
T1547.004,Winlogon Helper DLL,Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in
T1547.005,Security Support Provider,Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots
T1547.006,Kernel Modules and Extensions,Adversaries may modify the kernel to automatically execute programs on system boot
T1547.007,Re-opened Applications,Adversaries may modify plist files to automatically run an application when a user logs in
T1547.008,LSASS Driver,Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems
T1547.009,Shortcut Modification,Adversaries may create or modify shortcuts that can execute a program during system boot or user login
T1547.010,Port Monitors,Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation
T1547.012,Print Processors,Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation
T1547.013,XDG Autostart Entries,Adversaries may add or modify XDG Autostart Entries to execute malicious programs or commands when a user’s desktop environment is loaded at login
T1547.014,Active Setup,Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine
T1547.015,Login Items,Adversaries may add login items to execute upon user login to gain persistence or escalate privileges
T1037,Boot or Logon Initialization Scripts,Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence
T1037.001,Logon Script (Windows),Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence
T1037.002,Login Hook,Adversaries may use a Login Hook to establish persistence executed upon user logon
T1037.003,Network Logon Script,Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence
T1037.004,RC Scripts,Adversaries may establish persistence by modifying RC scripts which are executed during a Unix-like system’s startup
T1037.005,Startup Items,Adversaries may use startup items automatically executed at boot initialization to establish persistence
T1543,Create or Modify System Process,Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence
T1543.001,Launch Agent,Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence
T1543.002,Systemd Service,Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence
T1543.003,Windows Service,Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence
T1543.004,Launch Daemon,Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence
T1484,Domain Policy Modification,Adversaries may modify the configuration settings of a domain to evade defenses and/or escalate privileges in domain environments
T1484.001,Group Policy Modification,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain"
T1484.002,Domain Trust Modification,Adversaries may add new domain trusts or modify the properties of existing domain trusts to evade defenses and/or elevate privileges
T1611,Escape to Host,Adversaries may break out of a container to gain access to the underlying host
T1546,Event Triggered Execution,Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events
T1546.001,Change Default File Association,Adversaries may establish persistence by executing malicious content triggered by a file type association
T1546.002,Screensaver,Adversaries may establish persistence by executing malicious content triggered by user inactivity
T1546.003,Windows Management Instrumentation Event Subscription,Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription
T1546.004,Unix Shell Configuration Modification,Adversaries may establish persistence through executing malicious commands triggered by a user’s shell
T1546.005,Trap,Adversaries may establish persistence by executing malicious content triggered by an interrupt signal
T1546.006,LC_LOAD_DYLIB Addition,Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries
T1546.007,Netsh Helper DLL,Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs
T1546.008,Accessibility Features,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features
T1546.009,AppCert DLLs,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes
T1546.010,AppInit DLLs,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes
T1546.011,Application Shimming,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims
T1546.012,Image File Execution Options Injection,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers
T1546.013,PowerShell Profile,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles
T1546.014,Emond,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond)
T1546.015,Component Object Model Hijacking,Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects
T1546.016,Installer Packages,Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content
T1068,Exploitation for Privilege Escalation,Adversaries may exploit software vulnerabilities in an attempt to elevate privileges
T1574,Hijack Execution Flow,Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs
T1574.001,DLL Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load DLLs
T1574.002,DLL Side-Loading,Adversaries may execute their own malicious payloads by side-loading DLLs
T1574.004,Dylib Hijacking,Adversaries may execute their own payloads by placing a malicious dynamic library (dylib) with an expected name in a path a victim application searches at runtime
T1574.005,Executable Installer File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer
T1574.006,Dynamic Linker Hijacking,Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries
T1574.007,Path Interception by PATH Environment Variable,Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries
T1574.008,Path Interception by Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs
T1574.009,Path Interception by Unquoted Path,Adversaries may execute their own malicious payloads by hijacking vulnerable file path references
T1574.010,Services File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by services
T1574.011,Services Registry Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services
T1574.012,COR_PROFILER,Adversaries may leverage the COR_PROFILER environment variable to hijack the execution flow of programs that load the 
T1574.013,KernelCallbackTable,Adversaries may abuse the KernelCallbackTable of a process to hijack its execution flow in order to run their own payloads
T1055,Process Injection,Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.001,Dynamic-link Library Injection,Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.002,Portable Executable Injection,Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.003,Thread Execution Hijacking,Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges
