Sid,Response,Technique_id,True_labels
213,"
 {
   ""Sid"": ""213"",
   ""Technique ID"": ""T1066"",
   ""Technique Name"": ""Rootkit"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on \""wh00t!\"", which is a known string associated with rootkits""
 }
 ",['T1066'],['T1014']
214,"
 {
   ""Sid"": ""214"",
   ""Technique ID"": ""T1105"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when a connection is made to port 23 (used by Telnet service) from untrusted network to a server. This rule looks for the string \""lrkr0x\"" in the payload, which may indicate an attempt to exploit a known vulnerability in Linux kernel leading to rootkit installation (lrkr0x).""
 }
 ",['T1105'],['T1014']
215,"
 {
   ""Sid"": ""215"",
   ""Technique ID"": ""T1574.002"",
   ""Technique Name"": ""Rootkit: Linux"",
   ""Quotes"": [
     ""\""Linux rootkit attempt\""""
   ],
   ""Explanation"": ""The rule triggers on attempts to connect to a Telnet server on port 23 from external networks. The rule also contains the keyword \""rootkit\"" in the message, which suggests that the rule is intended to detect attempts to install a rootkit on a Linux system.""
 }
 ",['T1574.002'],['T1014']
215,"{
   ""Sid"": 216,
   ""Technique ID"": ""T1195"",
   ""Technique Name"": ""Remote Access Software"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attempt to connect to a Telnet server on port 23, which is commonly used by remote access software for remote administration purposes.""
 }",['T1195'],['T1014']
233,"{
   ""Sid"": ""233"",
   ""Technique ID"": ""T1071"",
   ""Technique Name"": ""Remote Services"",
   ""Quotes"": [],
   ""Explanation"": ""The rule is looking for a connection to port 27665, which is commonly associated with the Trin00 DDoS tool. This tool can be used to launch a variety of DDoS attacks, including UDP floods and SYN floods.""
 }",['T1071'],['T1078']
234,"
 {
   ""Sid"": ""234"",
   ""Technique ID"": ""T1094"",
   ""Technique Name"": ""Obtain Credentials by Harvesing Browser Cookies"",
   ""Quotes"": [],
   ""Explanation"": ""The rule is looking for the string \""gOrave\"" in the content of the packet. This string is often used in Trin00 attacks, which are a type of denial-of-service attack. Trin00 attacks typically involve sending a large number of requests to a web server in order to overwhelm it and cause it to crash. The attacker may also use the attack to steal sensitive data from the server, such as cookies.""
 }
 ",['T1094'],['T1078']
235,"
 {
   ""Sid"": ""235"",
   ""Technique ID"": ""T1082"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on the word \""killme\"" which is a common command used in command and scripting languages.""
 }
 ",['T1082'],['T1078']
237,"
 {
   ""Sid"": ""237"",
   ""Technique ID"": ""T1132"",
   ""Technique Name"": ""Default Account Passwords"",
   ""Quotes"": [
     ""\""Brute force or guess commonly used default account passwords.\""""
   ],
   ""Explanation"": ""The rule triggers when there is an attempt to use the default password for the Trin00 Master to Daemon service on port 27444. This technique is relevant because it involves using a default password for a service, which is a common method for attackers to gain access to systems.""
 }
 ",['T1132'],['T1078']
613,"{
   ""Sid"": ""613"",
   ""Technique ID"": ""T1046"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [
     ""Scanning is the automated probing of a network to discover active IP addresses, available ports, and services.""
   ],
   ""Explanation"": ""The rule triggers an alert when a certain number of SYN packets with a TTL value greater than 220 are sent from the external network to the home network. This behavior is typical of port scanning activities, where an attacker sends a series of packets to different ports on a target host to identify open ports.""
 }",['T1046'],"['T1018', 'T1040', 'T1046']"
616,"
 {
   ""Sid"": ""616"",
   ""Technique ID"": ""T1046"",
   ""Technique Name"": ""Network Service Scanning"",
   ""Quotes"": [
     ""\""Network service scanning refers to the practice of querying hosts or services on a network to discover which hosts or services are present, which ports are open, and which services are running on those ports.\""""
   ],
   ""Explanation"": ""The Snort rule detects ident version requests, which are commonly used for network service scanning to determine which services are running on a target host.""
 }
 ",['T1046'],"['T1018', 'T1040', 'T1046']"
