Sid,Response,Technique_id,True_labels
50094,"{}{}{}{
   ""50094"": [
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1187"",
       ""Technique Name"": ""HTTP Header Injection"",
       ""Quotes"": null,
       ""Explanation"": ""The rule detects an attempt to inject HTTP headers into a response, which can be used to exploit vulnerabilities in web applications.""
     }
   ]
 }{
   ""50094"": [
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1189"",
       ""Technique Name"": ""Drive-by Compromise"",
       ""Quotes"": [
         ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing""
       ],
       ""Explanation"": ""The rule detects an attempt to exploit a drive-by compromise vulnerability, where an attacker tricks a user into visiting a malicious website that can compromise their system.""
     }
   ]
 }{}{""Sid"": ""50094"", ""Technique ID"": ""T1187"", ""Technique Name"": ""Forced Authentication"", ""Quotes"": ""Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept"", ""Explanation"": ""The rule detects an HTTP request with a file URI that attempts to force the client to authenticate to a potentially malicious server. This technique can be used to gather credentials or to compromise the client's session.""}{}{""Sid"": ""50094"", ""Technique ID"": ""T1187"", ""Technique Name"": ""Browser Session Hijacking"", ""Quotes"": [""Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques""], ""Explanation"": ""The rule triggers an alert in case of an attempt to poison the client of a web server using the HTTP protocol, a technique that can lead to browser session hijacking and other malicious activities in the context of web applications""}{}{}","['T1187', 'T1189', 'T1187', 'T1187']",['T1187']
38563,"{}{}{'Sid': '38563', 'Technique ID': 'T1056', 'Technique Name': 'Input Capture', 'Quotes': ['Adversaries may use methods of capturing user input to obtain credentials or collect information'], 'Explanation': 'The rule looks for ""404 Not Found"" strings in HTTP responses indicating that the adversary is looking for a particular URL to interact with, so the adversary can interact with user input (e.g., the URL that the user is trying to access).'}{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": ""Adversaries may capture user input from the keyboard, mouse, and other input devices"", ""Explanation"": ""The rule detects a fake 404 response from a Win.Trojan.GateKeylogger, which may be an attempt by the adversary to capture user input""}{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Network Share Discovery"", ""Quotes"": [], ""Explanation"": ""The rule looks for a specific HTTP response that is often associated with the Network Share Discovery technique. The technique involves identifying and enumerating network shares on a target network, which can provide adversaries with information about the network topology and potential targets for exploitation.""}{}{}{}{}{}{""38563"": [""T1056"", ""Network Sniffing"", ""Adversaries may monitor network traffic for browsing history, credentials, and other sensitive data"", ""content:""404 Not Found<"", ""The rule triggers when a client receives a 200 OK response with a 404 Not Found content from an external IP. The content suggests that the adversary is sniffing the network traffic to collect browsing history and other sensitive data.""]}","['T1056', 'T1056', 'T1056']",['T1056']
976,{}{}{}{}{}{}{}{}{}{}{},[],['T1204']
1129,"{}{}{}{
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1170"",
   ""Technique Name"": ""Web Server Discovery"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for attempts to access the \"".htaccess\"" file, which is a configuration file for Apache web servers. This suggests that an adversary is trying to gather information about the web server configuration, which could be used to identify potential vulnerabilities or gain unauthorized access to the server.""
 }{""T1170"": [""1129"", ""T1170"", ""SERVER-WEBAPP .htaccess access"", "".htaccess"", ""The rule looks for attempts to access .htaccess files, which may indicate attempts to gather information about the web server configuration.""]}{}{}{}
 []
 {""Sid"": ""1129"", ""Technique ID"": ""T1170"", ""Technique Name"": ""Web Server Discovery"", ""Quotes"": [], ""Explanation"": ""The rule looks for attempts to access the \"".htaccess\"" file, which is a configuration file for Apache web servers. This suggests that the adversary is trying to gather information about the web server, which is consistent with the T1170 technique.""}{
   ""1129"": {
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""Access Web Application Framework or Technology"",
     ""Quotes"": [],
     ""Explanation"": "".htaccess file is often employed by web application frameworks or technologies, and it can be accessed to gain insights into the application's configuration and functionality. Therefore, it is likely that accessing .htaccess files is an attempt to reconnaissance a web application framework or technology.""
   }
 }","['T1170', 'T1170', 'T1170']",['T1218']
27967,"{""27967"": [{""Sid"": ""27967"", ""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quotes"": null, ""Explanation"": ""Rule matches on a specific pattern and a HTTP header that is often associated with Chopper web shell which is a type of web shell attack""}]}{}{}{}{}{}
 [
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [
       ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""
     ],
     ""Explanation"": ""The rule checks for HTTP traffic with a specific header and body content, indicating an attempt to exploit a web application.""
   }
 ]
 {""27967"": {""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quotes"": [""may download and execute a malicious payload""], ""Explanation"": ""The rule is a detection for China Chopper web shell, which is a malicious web shell used to execute arbitrary commands remotely. The web shell is downloaded and executed by the attacker through a web request.""}}{""Rule_id"": ""27967"", ""Techniques"": [{""Sid"": ""27967"", ""Technique ID"": 'T1110', ""Technique Name"": 'Brute Force', ""Quotes"": ['Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained'], ""Explanation"": ""The rule triggers on activity from Win.Backdoor.Chopper, which uses brute-force techniques to gain access to accounts.""}]}{}{""Sid"": ""27967"", ""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quotes"": [], ""Explanation"": ""The rule includes the detection of \""caidao\"" variable name, which is used by Backdoor.Chopper web shell. The rule triggers when it detects \""caidao= RESPONSE|WRITE|EXECUTE\"" patterns. ""}","['T1100', 'T1190', 'T1100', 'T1110', 'T1100']","['T1505', 'T1219']"
29869,"{}{}[]{}{}{}{}{}{""Sid"": ""29869"", ""Technique ID"": ""T1192"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule triggers on phishing traffic containing \""facebook.com.exe\"". Phishing is a technique that uses malicious email or SMS messages to trick users into clicking on a link or attachment that can lead to the installation of malware or the compromise of personal information.""}{}{""29869"": [{""Sid"": ""29869"", ""Technique ID"": ""T1566"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule triggers on traffic to HTTP ports from an external network to an internal network. The rule then checks the content of the traffic for the string \""facebook.com.exe\"". This string is associated with phishing attacks. Phishing is a technique used by adversaries to send emails or messages that appear to come from a legitimate source, but are actually designed to trick the recipient into providing sensitive information or clicking on a malicious link. In this case, the rule is looking for traffic that is using the \""facebook.com.exe\"" string in an attempt to trick the recipient into clicking on a link that will lead to a phishing website.""}]}","['T1192', 'T1566']",['T1566']
31807,"{""Sid"": ""31807"", ""Technique ID"": ""T1020"", ""Technique Name"": ""Automated Exfiltration"", ""Quotes"": [], ""Explanation"": ""The rule detects exfiltration of data through SMTP, which is a common technique used by malware to send stolen data to a command and control server. Automated Exfiltration (T1020) involves the use of automated processes to exfiltrate data, which is consistent with the behavior described in the rule.""}{}{
   ""31807"": [
     {
       ""Sid"": ""31807"",
       ""Technique ID"": ""T1020"",
       ""Technique Name"": ""Data Exfiltration"",
       ""Quotes"": [
         ""Adversaries may attempt to exfiltrate data from a compromised environment to an external location""
       ],
       ""Explanation"": ""The rule detects exfiltration of data from a compromised system to an external location, which aligns with the T1020 technique.""
     }
   ]
 }{}{""Sid"": ""31807"", ""Technique ID"": ""T1020"", ""Technique Name"": ""Data Exfiltration"", ""Quotes"": [], ""Explanation"": ""The rule exfiltrates data from the Win.Trojan.Nighthunter malware over the SMTP protocol.""}{}{""31807"": {""Technique ID"": ""T1020"", ""Technique Name"": ""Exfiltration Over Command and Control Channel"", ""Quotes"": [], ""Explanation"": ""The rule looks for exfiltration of data over port 587 or 2525 which will likely use a command and control channel for communication.""}}{""31807"": {""Technique ID"": ""T1020"", ""Technique Name"": ""Data Exfiltration"", ""Quotes"": [], ""Explanation"": ""The rule contains 'data exfiltration attempt' in the message, and 'Data Exfiltration' is the technique related to exfiltration of data.""}}{}{}{}","['T1020', 'T1020', 'T1020', 'T1020', 'T1020']",['T1020']
58751,"{}{}{}{}{}{}{
   ""58751"": [
     {
       ""Sid"": ""58751"",
       ""Technique ID"": ""T1190"",
       ""Technique Name"": ""Exploit Public-Facing Application"",
       ""Quotes"": [
         ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""
       ],
       ""Explanation"": ""The rule detects an attempt to exploit a vulnerability in an Apache Log4j logging server, which is a public-facing application.""
     }
   ]
 }{}{}{}{}",['T1190'],['T1190']
36100,"
 {
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1078"",
   ""Technique Name"": ""Valid Accounts"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attempt to authenticate to the ManageEngine OpManager web application using default credentials. This technique is associated with adversaries attempting to gain access to a system or network using valid accounts.""
 }
 {""Sid"": ""36100"", ""Technique ID"": ""T1078"", ""Technique Name"": ""Valid Accounts"", ""Quotes"": [""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion""], ""Explanation"": ""The rule detects an attempt to authenticate to ManageEngine OpManager using default credentials. This technique is relevant because it involves the use of valid accounts to gain access to a system.""}{}{""Sid"": ""36100"", ""Technique ID"": ""T1078"", ""Technique Name"": ""Valid Accounts"", ""Quotes"": [], ""Explanation"": ""The rule detects an attempt to authenticate to ManageEngine OpManager using default credentials. This technique is relevant because it involves using valid accounts to gain access to a system or application.""}{}{}{}{
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1078"",
   ""Technique Name"": ""Valid Accounts"",
   ""Quotes"": ""Adversaries may attempt to gain access to systems using default credentials for common software or services."",
   ""Explanation"": ""The rule detects authentication attempts using default credentials for ManageEngine OpManager, which is an instance of using valid accounts to gain access to systems.""
 }{}{}[]","['T1078', 'T1078', 'T1078', 'T1078']",['T1078']
10096,"{}{}{
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects a keylogger, which is a tool that captures user input, making it relevant to the T1056 technique.""
 }{}{}{}{}{}{
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""Adversaries may capture user input through keyloggers, screen scrapers, clipboard loggers, or accessibility features""
   ],
   ""Explanation"": ""The rule detects a keylogger by matching the string \""KEY\"" in the traffic. Keyloggers are a type of input capture that can be used to steal sensitive information, such as passwords and credit card numbers.""
 }{}{}","['T1056', 'T1056']",['T1056']
37245,"{}{}{}{}{}{
   ""Rules"": [
     {
       ""Sid"": ""37245"",
       ""Technique ID"": ""T1100"",
       ""Technique Name"": ""Web Shell"",
       ""Quotes"": [],
       ""Explanation"": ""The rule matches a web connection to a specific port, and compares the request body to known indicators of web shell activity, suggesting that adversaries may be using a web shell for remote control.""
     }
   ]
 }[]{}{""37245"": [""T1001"", ""Web Shell"", ""Adversaries may use a web shell to maintain access to victim networks, servers, or applications, and to execute arbitrary commands"", ""\""=@eval(base64_decode($_POST"", ""A web shell is a malicious script that allows an attacker to execute commands on a web server. The provided rule contains a base64-encoded string that is likely to be a web shell script, which is why T1001 is a suitable technique.""]}{}{}",['T1100'],"['T1001', 'T1219']"
56606,"{}{}{}{}{}{}{""Rules"": [{""Sid"": ""56606"", ""Technique ID"": ""T1083"", ""Technique Name"": ""File and Directory Discovery"", ""Quotes"": [], ""Explanation"": ""The rule checks for the presence of specific strings in HTTP headers, which could indicate an attempt by an adversary to gather information about the victim's system or network.""}]}{}{""56606"": [{""Sid"": ""56606"", ""Technique ID"": ""T1059"", ""Technique Name"": ""Command and Scripting Interpreter"", ""Quotes"": [], ""Explanation"": ""The rule looks for a command and control communication using a scripting language.""}, {""Sid"": ""56606"", ""Technique ID"": ""T1659"", ""Technique Name"": ""Content Injection"", ""Quotes"": [], ""Explanation"": ""The rule looks for a content injection attack using HTTP headers.""}]}{}{}","['T1083', 'T1059', 'T1659']",['T1071']
56614,"{""Sid"": ""56614"", ""Technique ID"": ""T1595"", ""Technique Name"": ""Active Scanning"", ""Quotes"": [], ""Explanation"": ""The rule uses active scanning to detect Cobalt Strike beacon connection attempts by looking for specific patterns in HTTP headers and URIs.""}{}{}{}{}{}{}{}{
   ""Sid"": ""56614"",
   ""Technique ID"": ""T1659"",
   ""Technique Name"": ""Content Injection"",
   ""Quotes"": null,
   ""Explanation"": ""The rule looks for a Cobalt Strike beacon connection attempt, which is a type of content injection attack.""
 }{}{}","['T1595', 'T1659']",['T1083']
12372,"{}{}{""12372"": {""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule detects a keylogger, which can be used to capture user input.""}}{}{}{}{}{}{}{}{}",['T1056'],['T1056']
59348,"{}{}{}{
   ""Sid"": ""59348"",
   ""Technique ID"": ""T1505"",
   ""Technique Name"": ""Server Software Component"",
   ""Quotes"": [],
   ""Explanation"": ""Php.Webshell.CWShell establishes outbound http connections.""
 }{""59348"": [""T1505"", ""Command-Line Interface"", ""<buname -a:"", ""The rule searches for a command line interface usage of uname -a which can be used to gather information on the victim host"", ""The rule searches for a command line interface execution of \""uname -a\"" which could be an attempt to gather system information""]}{""Rules"": [{""Sid"": ""59348"", ""Technique ID"": ""T1505"", ""Technique Name"": ""Gather Victim Host Information"", ""Quotes"": [], ""Explanation"": ""The rule detects outbound HTTP traffic with a content pattern that resembles a command to gather host information from the server. The MITRE technique T1505 involves adversaries gathering host information about the victim system to gain insight into the environment and identify potential targets for further exploitation or movement within the network. The usage of HTTP for data transfer implies that the adversary is attempting to move the host information over an encrypted channel.""}]}{}{}
 []
 {}{""Sid"": ""59348"", ""Technique ID"": ""T1505"", ""Technique Name"": ""Steal Token"", ""Quotes"": [""..."", ""..."" ], ""Explanation"": ""The rule detects an outbound connection attempt by a PHP web shell named CWShell, which suggests that the attacker is attempting to steal tokens or other sensitive information from the victim system.""}","['T1505', 'T1505', 'T1505']",['T1505']
39642,"{}{}{}{}{}{}{""Sid"": ""39642"", ""Technique ID"": ""T1214"", ""Technique Name"": ""Exploitation for Credential Access"", ""Quotes"": ""Adversaries may exploit software vulnerabilities in an attempt to collect credentials"", ""Explanation"": ""The rule looks for an attempt to access the securitydbData.xml file through a web server, which may contain credentials.""}{}{
  ""39642"": {
   ""Technique ID"": ""T1214"",
   ""Technique Name"": ""Browser Information Discovery"",
   ""Quotes"": [
    ""Adversaries may enumerate information about browsers to learn more about compromised environments""
   ],
   ""Explanation"": ""The rule checks for the presence of a GET request to the URI path \""/servlets/FetchFile\"" with the parameter \""fileName=conf/securitydbData.xml\"", which is used by the WebNMS framework to fetch and disclose sensitive configuration information, potentially including credentials.""
  }
 }{
   ""Sid"": ""39642"",
   ""Technique ID"": ""T1081"",
   ""Technique Name"": ""System Network Configuration Discovery"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for attempts to access the security database, which may contain network configuration information.""
 }{""Sid"": ""39642"", ""Technique ID"": ""T1003"", ""Technique Name"": ""OS Credential Dumping"", ""Quotes"": null, ""Explanation"": ""The rule triggers on an attempt to retrieve the security database file from a WebNMS server, which may contain credential information.""}","['T1214', 'T1214', 'T1081', 'T1003']",['T1003']
40238,"{}{}{""Sid"": ""40238"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule captures HTTP content containing various fields like \""hwid\"", \""pcname\"", \""username\"", and \""password\"", which indicates that it is capturing user input.""}{""Sid"": ""40238"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule triggers on HTTP traffic with specific POST parameters, which suggests the malware is exfiltrating captured input data.""}{}{""40238"": [{""Sid"": ""40238"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule looks for HTTP traffic containing specific parameters, including \""hwid\"", \""pcname\"", \""username\"", and \""password\"", which are indicative of keylogging activity. Input Capture involves capturing keystrokes or other input events, which is a common technique used by keyloggers.""}]}{""Sid"": ""40238"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Validation"", ""Quotes"": [], ""Explanation"": ""The rule looks for a pattern of HTTP data in outbound traffic that is consistent with an Agent Tesla keylogger. Agent Tesla uses input validation to bypass security controls.""}{
   ""40238"": [
     {
       ""Sid"": ""40238"",
       ""Technique ID"": ""T1056"",
       ""Technique Name"": ""Input Capture"",
       ""Quotes"": [],
       ""Explanation"": ""The rule detects outbound connections to a web server that is used by Agent Tesla, a keylogger that captures input from the victim's computer.""
     }
   ]
 }{}{}{}","['T1056', 'T1056', 'T1056', 'T1056', 'T1056']",['T1056']
