Sid,Response,Technique_id,True_labels
50094,"
 {
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1187"",
   ""Technique Name"": ""Poisoning"",
   ""Quotes"": [],
   ""Explanation"": ""This rule detects attempts to poison HTTP responses by injecting arbitrary content into the response.""
 }
 ",['T1187'],['T1187']
38563,"
 {
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Validation"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when there is a fake 404 response from a Windows Trojan, indicating that the attacker may be attempting to bypass input validation mechanisms.""
 }
 ",['T1056'],['T1056']
976,"{
   ""Sid"": ""976"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploitation for Client Execution"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects access to a .bat file, which could be an attempt to execute a command on the server.""
 }",['T1190'],['T1204']
1129,"
 {
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1170"",
   ""Technique Name"": ""Server Web Request"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for access to the \"".htaccess\"" file, which is typically used to control access to web pages on a server. This suggests that an attacker is attempting to gain information about the web server configuration, which could be used to launch further attacks.""
 }
 ",['T1170'],['T1218']
27967,"
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1061"",
   ""Technique Name"": ""Ingress Tool Transfer"",
   ""Quotes"": [
     ""\""ingress tool transfer occurs when an adversary places an executable file on a system, having gained access through another vector such as a spearphishing email or credential compromise.\""""
   ],
   ""Explanation"": ""The rule triggers on a web shell connection, which is a type of ingress tool that allows the adversary to execute commands on the system.""
 }
 ",['T1061'],"['T1505', 'T1219']"
29869,"{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1192"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""\""The attacker sends a malicious link or attachment via email, text message, or social media that appears to come from a legitimate source.\"" - MITRE ATT&CK""
   ],
   ""Explanation"": ""The rule contains \""facebook.com.exe\"", which is likely part of a phishing attack that attempts to trick users into downloading and executing malicious software disguised as a legitimate Facebook application.""
 }",['T1192'],['T1566']
31807,"
 {
   ""Sid"": ""31807"",
   ""Technique ID"": ""T1020"",
   ""Technique Name"": ""Data Exfiltration"",
   ""Quotes"": [],
   ""Explanation"": ""The rule flags attempts by malware to exfiltrate data over SMTP using the subject line as a communication channel, which aligns with the T1020 technique.""
 }
 ",['T1020'],['T1020']
58751,"
 {
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1191"",
   ""Technique Name"": ""Remote Code Execution"",
   ""Quotes"": [],
   ""Explanation"": ""This rule looks for Apache Log4j logging remote code execution attempts.""
 }
 ",['T1191'],['T1190']
36100,"
 {
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1078"",
   ""Technique Name"": ""Valid Accounts"",
   ""Quotes"": [
     ""\""This technique involves using valid, non-compromised accounts on a system or network to gain access to data or resources, without using malicious code or exploits"",
     ""\""Gaining access to valid user accounts via phishing, brute-force attacks, or purchasing them on the black market is a common tactic for adversaries.""
   ],
   ""Explanation"": ""The rule looks for authentication attempts to ManageEngine OpManager using the default credentials, which could indicate an attempt to gain access to the system using valid accounts.""
 }
 ",['T1078'],['T1078']
10096,"
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects a keylogger activity by matching the string \""KEY\"" in the network traffic. This technique is commonly used by malware to capture keystrokes and other user input, which can be used to steal credentials or other sensitive information.""
 }
 ",['T1056'],['T1056']
37245,"
 {
   ""Sid"": ""37245"",
   ""Technique ID"": ""T1001"",
   ""Technique Name"": ""Web Shell"",
   ""Quotes"": ""\""=@eval(base64_decode($_POST\"""",
   ""Explanation"": ""The rule looks for web shells that are used to execute commands on the target system. The rule specifically looks for the use of the eval() function to decode base64-encoded data, which is a common technique used by web shells.""
 }
 {
   ""Sid"": ""37245"",
   ""Technique ID"": ""T1100"",
   ""Technique Name"": ""Remote Access Software"",
   ""Quotes"": ""connection"",
   ""Explanation"": ""The rule looks for connections to remote access software, which is often used by attackers to gain remote control of the target system.""
 }
 {
   ""Sid"": ""37245"",
   ""Technique ID"": ""T1132"",
   ""Technique Name"": ""Data Encrypted for Impact"",
   ""Quotes"": ""base64_decode"",
   ""Explanation"": ""The rule looks for data that has been encoded using base64, which is often used to hide malicious content from detection.""
 }
 ","['T1001', 'T1100', 'T1132']","['T1001', 'T1219']"
56606,"
 [
   {
     ""Sid"": ""56606"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Command and Control"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects inbound command attempts to a Rat.Tool.CSBundleUSATodayServer malware variant, indicating the presence of a command and control mechanism.""
   },
   {
     ""Sid"": ""56606"",
     ""Technique ID"": ""T1132"",
     ""Technique Name"": ""Lateral Movement"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects inbound connections from an external network to an internal network, suggesting the potential for lateral movement within the network.""
   }
 ]
 ","['T1190', 'T1132']",['T1071']
56614,"
 {
   ""Sid"": ""56614"",
   ""Technique ID"": ""T1106"",
   ""Technique Name"": ""Cobalt Strike"",
   ""Quotes"": [
     ""\""MALWARE-BACKDOOR Cobalt Strike beacon connection attempt\""""
   ],
   ""Explanation"": ""The rule specifically mentions Cobalt Strike in its message, indicating that it is designed to detect Cobalt Strike beacon connection attempts.""
 }
 ",['T1106'],['T1083']
12372,"
 {
   ""Sid"": ""12372"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for traffic matching a SMTP connection to an external IP from an internal IP. It uses PCRE to match the regular expression `/^X-Mailer\x3a[^\r\n]*Mailer/ims`, which looks for the string `X-Mailer:` followed by any number of non-newline characters, followed by the string `Mailer`. This is a common header used in email messages to identify the software that was used to send the email. The rule also looks for the string `+++ MG-Shadow 2.0`, which is a specific header used by the MG-Shadow keylogger software. The rule is likely looking for traffic from a compromised system that is sending keystrokes to a remote attacker. Input Capture is a technique used by attackers to gain access to the victim's input, such as keystrokes, mouse movements, and clipboard contents.""
 }
 ",['T1056'],['T1056']
59348,"
 {
   ""Sid"": ""59348"",
   ""Technique ID"": ""T1505"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [
     ""Php.Webshell.CWShell outbound connection attempt""
   ],
   ""Explanation"": ""The rule detects outbound connections from an internal network to external HTTP ports. The content of the connection includes \""uname -a\"" and \""Server Name\"", which are common commands used by web shells to gather system information. This suggests that the rule is likely to detect command and scripting interpreter techniques, such as T1505.""
 }
 ",['T1505'],['T1505']
39642,"
 {
   ""Sid"": ""39642"",
   ""Technique ID"": ""T1003"",
   ""Technique Name"": ""OS Credential Dumping"",
   ""Quotes"": [
     """",
     """",
     """",
     """"
   ],
   ""Explanation"": ""The rule looks for an attempt to access a file named \""conf/securitydbData.xml\"" which is a file that contains database credentials and other sensitive information.""
 }
 ",['T1003'],['T1003']
40238,"
 {
   ""Sid"": ""40238"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""content:\""/post.php\"",fast_pattern,nocase"",
     ""content:\""type=\"",nocase"",
     ""content:\""hwid=\"",nocase"",
     ""content:\""pcname=\"",nocase"",
     ""content:\""username=\"",nocase"",
     ""content:\""password=\"",nocase""
   ],
   ""Explanation"": ""The rule looks for an HTTP POST request to a specific URL with specific parameters in the request body. This is an indication of a malware agent exfiltrating data from the compromised system, which is consistent with the T1056 technique of capturing input from the user.""
 }
 ",['T1056'],['T1056']
29918,"
 {
   ""Sid"": ""29918"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""\""system information disclosure\""""
   ],
   ""Explanation"": ""The rule includes the string \""system information disclosure\"" which suggests that the rule is related to capturing system information, which is part of the Input Capture technique.""
 }
 ",['T1056'],['T1056']
13236,"
 [
   {
     ""Sid"": ""13236"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers when a specific email is received, which matches the behavior of input capture: acquiring user input via keystrokes or other input mechanisms.""
   }
 ]
 ",['T1056'],['T1056']
47399,"
 {
   ""Sid"": ""47399"",
   ""Technique ID"": ""T1059"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for outbound traffic containing the string \""Microsoft Windows XP [Version\"", which is a common indicator of a command prompt being used. This technique is often used by attackers to execute commands and scripts on a target system.""
 }
 ",['T1059'],['T1059']
7180,"{""Sid"": ""7180"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": null, ""Explanation"": ""The rule detects the initialization connection of the Desktop Detective 2000 keylogger, which is a type of input capture tool that can be used to capture keystrokes, mouse movements, and other user input.""}",['T1056'],['T1056']
56617,"{
   ""Sid"": ""56617"",
   ""Technique ID"": ""T1071"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [
     """"
   ],
   ""Explanation"": ""The rule detects Cobalt Strike beacon inbound connection attempts, which is a technique used by attackers to establish a command and control channel with a compromised system.""
 }",['T1071'],['T1102']
19172,"
 {
   ""Sid"": ""19172"",
   ""Technique ID"": ""T1038"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [
     ""The technique involves the execution of complex commands and scripts to achieve objectives.""
   ],
   ""Explanation"": ""The rule looks for attempts to exploit Microsoft Internet Explorer 8 through the loading of a malicious DLL.""
 }
 ",['T1038'],['T1574']
57252,"
 {
   ""Sid"": ""57252"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when an attempt is made to exploit a vulnerability in Microsoft Exchange Server, specifically CVE-2021-27065, which allows arbitrary file write.""
 }
 ",['T1190'],['T1106']
58789,"
 {
   ""Sid"": ""58789"",
   ""Technique ID"": ""T1543.005"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [
     ""\""Use of scripting languages for command and control\"""",
     ""\""Abuse of scripting engines (e.g., JavaScript) to execute commands\""""
   ],
   ""Explanation"": ""The rule detects attempts to exploit the Apache Log4j remote code execution vulnerability, which can be used to execute arbitrary commands on the target system. This technique is used by attackers to gain control of the system and perform malicious activities.""
 }
 ",['T1543.005'],['T1190']
