SID,URL,MITRE Technique ID,Rule
233,https://snort.org/rule_docs/1-233,['T1078'],"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default startup password""; flow:to_server,established; content:""betaalmostdone""; metadata:ruleset community; reference:cve,2000-0138; T1078; classtype:attempted-dos; sid:233; rev:11; )"
234,https://snort.org/rule_docs/1-234,['T1078'],"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default password""; flow:to_server,established; content:""gOrave""; metadata:ruleset community; reference:cve,2000-0138; T1078; classtype:attempted-dos; sid:234; rev:9; )"
286,https://snort.org/rule_docs/1-286,['T1071'],"alert tcp $EXTERNAL_NET any -> $HOME_NET 110 ( msg:""PROTOCOL-POP EXPLOIT x86 BSD overflow""; flow:to_server,established; content:""^|0E|1|C0 B0 3B 8D|~|0E 89 FA 89 F9|"",fast_pattern,nocase; metadata:ruleset community; service:pop3; reference:bugtraq,133; reference:cve,1999-0006; reference:nessus,10196; classtype:attempted-admin; sid:286; rev:18; )"
366,https://snort.org/rule_docs/1-366,['T1018'],"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Unix""; itype:8; content:""|10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1F|"",depth 32; metadata:ruleset community; classtype:misc-activity; sid:366; rev:11; )"
382,https://snort.org/rule_docs/1-382,['T1082'],"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Windows""; itype:8; content:""abcdefghijklmnop"",depth 16; metadata:ruleset community; classtype:misc-activity; sid:382; rev:11; )"
384,https://snort.org/rule_docs/1-384,['T1082'],"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING""; icode:0; itype:8; metadata:ruleset community; classtype:misc-activity; sid:384; rev:8; )"
408,https://snort.org/rule_docs/1-408,['T1018'],"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP Echo Reply""; icode:0; itype:0; metadata:ruleset community; classtype:misc-activity; sid:408; rev:8; )"
414,https://snort.org/rule_docs/1-414,['T1592'],"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP IPV6 Where-Are-You undefined code""; icode:>0; itype:33; metadata:ruleset community; classtype:misc-activity; sid:414; rev:10; )"
520,https://snort.org/rule_docs/1-520,['T1213'],"alert udp $EXTERNAL_NET any -> $HOME_NET 69 ( msg:""PROTOCOL-TFTP root directory""; flow:to_server; content:""|00 01|/"",depth 3; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0183; classtype:bad-unknown; sid:520; rev:13; )"
560,https://snort.org/rule_docs/1-560,['T1021'],"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""APP-DETECT VNC server response""; flow:established; content:""RFB 0"",depth 5; content:"".0"",depth 2,offset 7; metadata:ruleset community; classtype:misc-activity; sid:560; rev:9; )"
654,https://snort.org/rule_docs/1-654,['T1190'],"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""SERVER-MAIL RCPT TO overflow""; flow:to_server,established; content:""rcpt to|3A|"",nocase; isdataat:256,relative; pcre:""/^RCPT TO\x3a\s*\x3c?[^\n\x3e]{256}/im""; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; service:smtp; reference:bugtraq,2283; reference:bugtraq,43182; reference:bugtraq,9696; reference:cve,2001-0260; reference:cve,2003-0694; reference:cve,2008-0394; reference:cve,2009-0410; reference:cve,2010-2580; classtype:attempted-admin; sid:654; rev:29; )"
655,https://snort.org/rule_docs/1-655,['T1068'],"alert tcp $EXTERNAL_NET 113 -> $SMTP_SERVERS 25 ( msg:""SERVER-MAIL Sendmail 8.6.9 exploit""; flow:to_server,established; content:""|0A|D/""; metadata:ruleset community; service:smtp; reference:bugtraq,2311; reference:cve,1999-0204; classtype:attempted-admin; sid:655; rev:16; )"
809,https://snort.org/rule_docs/1-809,['T1571'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP whois_raw.cgi arbitrary command execution attempt""; flow:to_server,established; http_uri; content:""/whois_raw.cgi?""; pkt_data; content:""|0A|""; metadata:ruleset community; service:http; reference:bugtraq,304; reference:cve,1999-1063; reference:nessus,10306; T1065; classtype:web-application-attack; sid:809; rev:20; )"
862,https://snort.org/rule_docs/1-862,['T1204'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP csh access""; flow:to_server,established; http_uri; content:""/csh"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; reference:cve,1999-0509; reference:url,www.cert.org/advisories/CA-1996-11.html; classtype:attempted-recon; sid:862; rev:21; )"
885,https://snort.org/rule_docs/1-885,['T1204'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP bash access""; flow:to_server,established; http_uri; content:""/bash"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; reference:cve,1999-0509; reference:url,www.cert.org/advisories/CA-1996-11.html; classtype:web-application-activity; sid:885; rev:21; )"
895,https://snort.org/rule_docs/1-895,['T1154'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP redirect access""; flow:to_server,established; http_uri; content:""/redirect"",fast_pattern,nocase; metadata:ruleset community; service:http; reference:bugtraq,1179; reference:cve,2000-0382; classtype:attempted-recon; sid:895; rev:19; )"
969,https://snort.org/rule_docs/1-969,['T1498'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-IIS WebDAV file lock attempt""; flow:to_server,established; content:""LOCK "",depth 5; metadata:ruleset community; service:http; reference:bugtraq,2736; reference:nessus,10732; classtype:web-application-activity; sid:969; rev:13; )"
974,https://snort.org/rule_docs/1-974,['T1190'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-IIS Microsoft Windows IIS directory traversal attempt""; flow:to_server,established; content:""..|5C|.."",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; reference:bugtraq,2218; reference:cve,1999-0229; classtype:web-application-attack; sid:974; rev:23; )"
976,https://snort.org/rule_docs/1-976,['T1204'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP .bat? access""; flow:to_server,established; http_uri; content:"".bat?"",fast_pattern,nocase; content:""/cgi-bin/"",nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; reference:bugtraq,2023; reference:bugtraq,4335; reference:cve,1999-0233; reference:cve,2002-0061; reference:cve,2019-0232; reference:url,support.microsoft.com/support/kb/articles/Q148/1/88.asp; reference:url,support.microsoft.com/support/kb/articles/Q155/0/56.asp; classtype:web-application-activity; sid:976; rev:22; )"
1042,https://snort.org/rule_docs/1-1042,['T1119'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-IIS view source via translate header""; flow:to_server,established; http_header; content:""Translate|3A| F"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; reference:bugtraq,14764; reference:bugtraq,1578; reference:cve,2000-0778; reference:nessus,10491; classtype:web-application-activity; sid:1042; rev:26; )"
1054,https://snort.org/rule_docs/1-1054,['T1518'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP weblogic/tomcat .jsp view source attempt""; flow:to_server,established; http_uri; content:"".jsp"",nocase; pkt_data; pcre:!""/^\w+\s+[^\n\s\?]*\.jsp/ims""; metadata:ruleset community; service:http; reference:bugtraq,2527; classtype:web-application-attack; sid:1054; rev:14; )"
1071,https://snort.org/rule_docs/1-1071,['T1081'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP .htpasswd access attempt""; flow:to_server,established; http_uri; content:"".htpasswd"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; classtype:web-application-attack; sid:1071; rev:15; )"
1090,https://snort.org/rule_docs/1-1090,['T1505'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP Allaire Pro Web Shell attempt""; flow:to_server,established; http_uri; content:""/authenticate.cgi?PASSWORD"",fast_pattern,nocase; pkt_data; content:""config.ini""; metadata:ruleset community; service:http; T1100; classtype:web-application-attack; sid:1090; rev:18; )"
1122,https://snort.org/rule_docs/1-1122,['T1087'],"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP /etc/passwd file access attempt""; flow:to_server,established; http_uri; content:""/etc/passwd"",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; T1087; classtype:attempted-recon; sid:1122; rev:16; )"
