Sid,Response,Technique_id,True_labels
213,"[ContentBlock(text='Here is my best attempt at labeling the IDS rule with relevant MITRE ATT&CK techniques:\n\n{""Sid"": ""213"", ""Technique ID"": ""T1059.003"", ""Technique Name"": ""Command and Scripting Interpreter: Unix Shell"", ""Quotes"": ""\\""wh00t!\\"" is indicative of a Linux rootkit"", ""Explanation"": ""The rule detects the string \\""wh00t!\\"" which is associated with Linux rootkits. Rootkits operate at the user and kernel levels to hide malware, which aligns with technique T1059.003 under the Execution tactic.""}', type='text')]",['T1059.003'],['T1014']
214,"[ContentBlock(text='{""Sid"": ""214"", ""Technique ID"": ""T1098"", ""Technique Name"": ""Account Manipulation"", ""Quotes"": ""\\""lrkr0x\\"" indicates an attempt to install a Linux rootkit"", ""Explanation"": The rule detects an attempt to install a Linux rootkit named ""lrkr0x"". Rootkits are used to manipulate accounts and permissions to maintain access, which aligns with the Account Manipulation technique. The specific mention of a rootkit indicates privilege escalation attempts, which fall under this technique.}', type='text')]",['T1098'],['T1014']
215,"[ContentBlock(text='{\n  ""Sid"": ""215"",\n  ""Technique ID"": ""T1059.003"",\n  ""Technique Name"": ""Command and Scripting Interpreter: Unix Shell"",\n  ""Quotes"": ""\\""d13hh[\\"" in the content field indicates this rule is looking for a Linux rootkit command"",\n  ""Explanation"": ""The rule is detecting an attempt to run a Linux rootkit command, which involves using the Unix shell interpreter. The Unix shell technique in MITRE ATT&CK fits this behavior.""\n}', type='text')]",['T1059.003'],['T1014']
216,"[ContentBlock(text='{\n  ""Sid"": ""216"",\n  ""Technique ID"": ""T1059.003"",\n  ""Technique Name"": ""Command and Scripting Interpreter: Unix Shell"",\n  ""Quotes"": ""\\""content:\\""satori\\"";"",\n  ""Explanation"": ""The rule detects an attempt to access the Linux rootkit Satori, which is a type of malware that runs on Unix-based systems. The content keyword matches on the string \\""satori\\"" which is indicative of this malware. Since Satori runs via Unix shell commands and scripts, this maps to the MITRE ATT&CK T1059.003 technique for Command and Scripting Interpreter: Unix Shell.""\n}', type='text')]",['T1059.003'],['T1014']
233,"[ContentBlock(text='Here is my best attempt at labeling the MITRE ATT&CK techniques for the provided Snort IDS rule:\n\n{""Sid"": ""233"", ""Technique ID"": ""T1210"", ""Technique Name"": ""Exploitation of Remote Services"", ""Quotes"": ""\\""betaalmostdone\\"" content matches default password in Trin00 malware"", ""Explanation"": ""The rule detects an attacker sending the default Trin00 malware password to exploit the remote service. Exploiting vulnerabilities in remote services is T1210.""}', type='text')]",['T1210'],['T1078']
234,"[ContentBlock(text='{\n  ""Sid"": ""234"",\n  ""Technique ID"": ""T1210"",\n  ""Technique Name"": ""Exploitation of Remote Services"",\n  ""Quotes"": ""\\""content:\\""gOrave\\"";"",\n  ""Explanation"": ""The rule is detecting an attempt to exploit the Trin00 master-slave botnet malware using a default password. The content keyword matches on the default password ""gOrave"" which indicates an attempt to access the C&C server. This matches the Exploitation of Remote Services technique which involves exploiting services running on remote systems for initial access or privilege escalation.""\n}', type='text')]",['T1210'],['T1078']
235,"[ContentBlock(text='{\n  ""Sid"": ""235"",\n  ""Technique ID"": ""T1210"",\n  ""Technique Name"": ""Exploitation of Remote Services"",\n  ""Quotes"": ""\\""content:\\""killme\\"";"",\n  ""Explanation"": ""The rule detects an attempt to exploit the Trin00 DDoS tool default password to gain unauthorized access and control. This indicates an attempt to exploit a remote service vulnerability, which maps to the MITRE ATT&CK T1210 technique Exploitation of Remote Services.""\n}', type='text')]",['T1210'],['T1078']
237,"[ContentBlock(text='{\n  ""Sid"": ""237"",\n  ""Technique ID"": ""T1021.001"",\n  ""Technique Name"": ""Remote Services: Remote Desktop Protocol"",\n  ""Quotes"": ""\\""msg:\\""MALWARE-OTHER Trin00 Master to Daemon default password attempt\\"""",\n  ""Explanation"": ""The rule detects an attempt to use the default password \'l44adsl\' for the Trin00 malware, which uses Remote Desktop Protocol for command and control. So this matches the Remote Desktop Protocol technique under Remote Services in the MITRE ATT&CK framework.""\n}', type='text')]",['T1021.001'],['T1078']
613,"[ContentBlock(text='Here is my best attempt at labeling the MITRE ATT&CK techniques for the provided Snort IDS rule:\n\n{""Sid"": ""613"", ""Technique ID"": ""T1046"", ""Technique Name"": ""Network Service Scanning"", ""Quotes"": ""\\""flow:stateless\\"" indicates that the rule is looking for stateless scans of services"", ""Explanation"": ""The rule is looking for TCP SYN scans with no ACK flags set, high TTL values, and destination port 10101 which indicates an attacker is likely scanning for open network services. This matches the Network Service Scanning T1046 MITRE ATT&CK technique.""}', type='text')]",['T1046'],"['T1018', 'T1040', 'T1046']"
616,"[ContentBlock(text='Here is my best attempt at labeling the MITRE ATT&CK techniques for the provided Snort IDS rule:\n\n{""Sid"":""616"", ""Technique ID"":""T1046"", ""Technique Name"":""Network Service Scanning"", ""Quotes"":""Network service scanning refers to techniques that scan a network to gather information about what services are available on systems or the versions of those services."",""Explanation"":""The rule detects a TCP packet going from any external source port to home network port 113, which is the ident service. The content match on \'VERSION\\n\' indicates it is likely an attempt to probe the ident service to determine the version. This matches the description of T1046 Network Service Scanning.""}', type='text')]",['T1046'],"['T1018', 'T1040', 'T1046']"
