ID,Technique Name,Description
T1557,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access)"
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system"
T1557.002,ARP Cache Poisoning,Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices
T1557.003,DHCP Spoofing,Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the victim network
T1110,Brute Force,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained
T1110.001,Password Guessing,Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts
T1110.002,Password Cracking,"Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained"
T1110.003,Password Spraying,Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials
T1110.004,Credential Stuffing,Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap
T1555,Credentials from Password Stores,Adversaries may search for common password storage locations to obtain user credentials
T1555.001,Keychain,Adversaries may acquire credentials from Keychain
T1555.002,Securityd Memory,"An adversary may obtain root access (allowing them to read securityd’s memory), then they can scan through memory to find the correct sequence of keys in relatively few tries to decrypt the user’s logon keychain"
T1555.003,Credentials from Web Browsers,Adversaries may acquire credentials from web browsers by reading files specific to the target browser
T1555.004,Windows Credential Manager,Adversaries may acquire credentials from the Windows Credential Manager
T1555.005,Password Managers,Adversaries may acquire user credentials from third-party password managers
T1555.006,Cloud Secrets Management Stores,"Adversaries may acquire credentials from cloud-native secret management solutions such as AWS Secrets Manager, GCP Secret Manager, Azure Key Vault, and Terraform Vault"
T1212,Exploitation for Credential Access,Adversaries may exploit software vulnerabilities in an attempt to collect credentials
T1187,Forced Authentication,Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept
T1606,Forge Web Credentials,Adversaries may forge credential materials that can be used to gain access to web applications or Internet services
T1606.001,Web Cookies,Adversaries may forge web cookies that can be used to gain access to web applications or Internet services
T1606.002,SAML Tokens,An adversary may forge SAML tokens with any permissions claims and lifetimes if they possess a valid SAML token-signing certificate
T1056,Input Capture,Adversaries may use methods of capturing user input to obtain credentials or collect information
T1056.001,Keylogging,Adversaries may log user keystrokes to intercept credentials as the user types them
T1056.002,GUI Input Capture,Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt
T1056.003,Web Portal Capture,"Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service"
T1056.004,Credential API Hooking,Adversaries may hook into Windows application programming interface (API) functions to collect user credentials
T1556,Modify Authentication Process,Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts
T1556.001,Domain Controller Authentication,Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts
T1556.002,Password Filter DLL,Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated
T1556.003,Pluggable Authentication Modules,Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts
T1556.004,Network Device Authentication,"Adversaries may use Patch System Image to hard code a password in the operating system, thus bypassing of native authentication mechanisms for local accounts on network devices"
T1556.005,Reversible Encryption,An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems
T1556.006,Multi-Factor Authentication,Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts
T1556.007,Hybrid Identity,"Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts"
T1556.008,Network Provider DLL,Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process
T1111,Multi-Factor Authentication Interception,"Adversaries may target multi-factor authentication (MFA) mechanisms, (i"
T1621,Multi-Factor Authentication Request Generation,Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users
T1040,Network Sniffing,"Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network"
T1003,OS Credential Dumping,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software"
T1003.001,LSASS Memory,Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS)
T1003.002,Security Account Manager,Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored
T1003.003,NTDS,"Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights"
T1003.004,LSA Secrets,"Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts"
T1003.005,Cached Domain Credentials,Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable
T1003.006,DCSync,Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API)    to simulate the replication process from a remote domain controller using a technique called DCSync
T1003.007,Proc Filesystem,Adversaries may gather credentials from the proc filesystem or /proc
T1003.008,/etc/passwd and /etc/shadow,Adversaries may attempt to dump the contents of /etc/passwd and /etc/shadow to enable offline password cracking
T1528,Steal Application Access Token,Adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources
T1649,Steal or Forge Authentication Certificates,Adversaries may steal or forge certificates used for authentication to access remote systems or resources
T1558,Steal or Forge Kerberos Tickets,Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets to enable Pass the Ticket
T1558.001,Golden Ticket,"Adversaries who have the KRBTGT account password hash may forge Kerberos ticket-granting tickets (TGT), also known as a golden ticket"
T1558.002,Silver Ticket,Adversaries who have the password hash of a target service account (e
T1558.003,Kerberoasting,Adversaries may abuse a valid Kerberos ticket-granting ticket (TGT) or sniff network traffic to obtain a ticket-granting service (TGS) ticket that may be vulnerable to Brute Force
T1558.004,AS-REP Roasting,Adversaries may reveal credentials of accounts that have disabled Kerberos preauthentication by Password Cracking Kerberos messages
T1539,Steal Web Session Cookie,An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials
T1552,Unsecured Credentials,Adversaries may search compromised systems to find and obtain insecurely stored credentials
T1552.001,Credentials In Files,Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials
T1552.002,Credentials in Registry,Adversaries may search the Registry on compromised systems for insecurely stored credentials
T1552.003,Bash History,Adversaries may search the bash command history on compromised systems for insecurely stored credentials
