ID,Technique Name,Description
T1098,Account Manipulation,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems
T1098.001,Additional Cloud Credentials,Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment
T1098.002,Additional Email Delegate Permissions,Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account
T1098.003,Additional Cloud Roles,An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant
T1098.004,SSH Authorized Keys,Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host
T1098.005,Device Registration,Adversaries may register a device to an adversary-controlled account
T1098.006,Additional Container Cluster Roles,An adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system
T1197,BITS Jobs,Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks
T1547,Boot or Logon Autostart Execution,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems
T1547.001,Registry Run Keys / Startup Folder,Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key
T1547.002,Authentication Package,Adversaries may abuse authentication packages to execute DLLs when the system boots
T1547.003,Time Providers,Adversaries may abuse time providers to execute DLLs when the system boots
T1547.004,Winlogon Helper DLL,Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in
T1547.005,Security Support Provider,Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots
T1547.006,Kernel Modules and Extensions,Adversaries may modify the kernel to automatically execute programs on system boot
T1547.007,Re-opened Applications,Adversaries may modify plist files to automatically run an application when a user logs in
T1547.008,LSASS Driver,Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems
T1547.009,Shortcut Modification,Adversaries may create or modify shortcuts that can execute a program during system boot or user login
T1547.010,Port Monitors,Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation
T1547.012,Print Processors,Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation
T1547.013,XDG Autostart Entries,Adversaries may add or modify XDG Autostart Entries to execute malicious programs or commands when a user’s desktop environment is loaded at login
T1547.014,Active Setup,Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine
T1547.015,Login Items,Adversaries may add login items to execute upon user login to gain persistence or escalate privileges
T1037,Boot or Logon Initialization Scripts,Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence
T1037.001,Logon Script (Windows),Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence
T1037.002,Login Hook,Adversaries may use a Login Hook to establish persistence executed upon user logon
T1037.003,Network Logon Script,Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence
T1037.004,RC Scripts,Adversaries may establish persistence by modifying RC scripts which are executed during a Unix-like system’s startup
T1037.005,Startup Items,Adversaries may use startup items automatically executed at boot initialization to establish persistence
T1176,Browser Extensions,Adversaries may abuse Internet browser extensions to establish persistent access to victim systems
T1554,Compromise Client Software Binary,Adversaries may modify client software binaries to establish persistent access to systems
T1136,Create Account,Adversaries may create an account to maintain access to victim systems
T1136.001,Local Account,Adversaries may create a local account to maintain access to victim systems
T1136.002,Domain Account,Adversaries may create a domain account to maintain access to victim systems
T1136.003,Cloud Account,Adversaries may create a cloud account to maintain access to victim systems
T1543,Create or Modify System Process,Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence
T1543.001,Launch Agent,Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence
T1543.002,Systemd Service,Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence
T1543.003,Windows Service,Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence
T1543.004,Launch Daemon,Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence
T1546,Event Triggered Execution,Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events
T1546.001,Change Default File Association,Adversaries may establish persistence by executing malicious content triggered by a file type association
T1546.002,Screensaver,Adversaries may establish persistence by executing malicious content triggered by user inactivity
T1546.003,Windows Management Instrumentation Event Subscription,Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription
T1546.004,Unix Shell Configuration Modification,Adversaries may establish persistence through executing malicious commands triggered by a user’s shell
T1546.005,Trap,Adversaries may establish persistence by executing malicious content triggered by an interrupt signal
T1546.006,LC_LOAD_DYLIB Addition,Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries
T1546.007,Netsh Helper DLL,Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs
T1546.008,Accessibility Features,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features
T1546.009,AppCert DLLs,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes
T1546.010,AppInit DLLs,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes
T1546.011,Application Shimming,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims
T1546.012,Image File Execution Options Injection,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers
T1546.013,PowerShell Profile,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles
T1546.014,Emond,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond)
T1546.015,Component Object Model Hijacking,Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects
T1546.016,Installer Packages,Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content
T1133,External Remote Services,Adversaries may leverage external-facing remote services to initially access and/or persist within a network
T1574,Hijack Execution Flow,Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs
T1574.001,DLL Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load DLLs
T1574.002,DLL Side-Loading,Adversaries may execute their own malicious payloads by side-loading DLLs
T1574.004,Dylib Hijacking,Adversaries may execute their own payloads by placing a malicious dynamic library (dylib) with an expected name in a path a victim application searches at runtime
T1574.005,Executable Installer File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer
T1574.006,Dynamic Linker Hijacking,Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries
T1574.007,Path Interception by PATH Environment Variable,Adversaries may execute their own malicious payloads by hijacking environment variables used to load libraries
T1574.008,Path Interception by Search Order Hijacking,Adversaries may execute their own malicious payloads by hijacking the search order used to load other programs
T1574.009,Path Interception by Unquoted Path,Adversaries may execute their own malicious payloads by hijacking vulnerable file path references
T1574.010,Services File Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the binaries used by services
T1574.011,Services Registry Permissions Weakness,Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services
T1574.012,COR_PROFILER,Adversaries may leverage the COR_PROFILER environment variable to hijack the execution flow of programs that load the 
T1574.013,KernelCallbackTable,Adversaries may abuse the KernelCallbackTable of a process to hijack its execution flow in order to run their own payloads
T1525,Implant Internal Image,Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment
T1556,Modify Authentication Process,Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts
T1556.001,Domain Controller Authentication,Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts
T1556.002,Password Filter DLL,Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated
T1556.003,Pluggable Authentication Modules,Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts
T1556.004,Network Device Authentication,"Adversaries may use Patch System Image to hard code a password in the operating system, thus bypassing of native authentication mechanisms for local accounts on network devices"
T1556.005,Reversible Encryption,An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems
T1556.006,Multi-Factor Authentication,Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts
T1556.007,Hybrid Identity,"Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts"
T1556.008,Network Provider DLL,Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process
T1137,Office Application Startup,Adversaries may leverage Microsoft Office-based applications for persistence between startups
T1137.001,Office Template Macros,Adversaries may abuse Microsoft Office templates to obtain persistence on a compromised system
T1137.002,Office Test,"Adversaries may abuse the Microsoft Office ""Office Test"" Registry key to obtain persistence on a compromised system"
T1137.003,Outlook Forms,Adversaries may abuse Microsoft Outlook forms to obtain persistence on a compromised system
T1137.004,Outlook Home Page,Adversaries may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system
T1137.005,Outlook Rules,Adversaries may abuse Microsoft Outlook rules to obtain persistence on a compromised system
T1137.006,Add-ins,Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system
T1653,Power Settings,"Adversaries may impair a system's ability to hibernate, reboot, or shut down in order to extend access to infected machines"
T1542,Pre-OS Boot,Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system
T1542.001,System Firmware,Adversaries may modify system firmware to persist on systems
T1542.002,Component Firmware,Adversaries may modify component firmware to persist on systems
T1542.003,Bootkit,Adversaries may use bootkits to persist on systems
T1542.004,ROMMONkit,Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect
T1542.005,TFTP Boot,Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server
T1053,Scheduled Task/Job,Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code
T1053.002,At,Adversaries may abuse the at utility to perform task scheduling for initial or recurring execution of malicious code
T1053.003,Cron,Adversaries may abuse the cron utility to perform task scheduling for initial or recurring execution of malicious code
T1053.005,Scheduled Task,Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code
T1053.006,Systemd Timers,Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code
T1053.007,Container Orchestration Job,Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code
T1505,Server Software Component,Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems
T1505.001,SQL Stored Procedures,Adversaries may abuse SQL stored procedures to establish persistent access to systems
T1505.002,Transport Agent,Adversaries may abuse Microsoft transport agents to establish persistent access to systems
T1505.003,Web Shell,Adversaries may backdoor web servers with web shells to establish persistent access to systems
