SID: 21318, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 21442, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 22033, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 22034, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 23780, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 37245, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'],
SID: 24243, MITRE URLs: ['https://attack.mitre.org/techniques/T1001'] ,
SID: 50467, MITRE URLs: ['https://attack.mitre.org/techniques/T1003/'],
SID: 61893, MITRE URLs: ['https://attack.mitre.org/techniques/T1003/003/'],
SID: 20618, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 34944, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 39642, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 39930, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 44388, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 54704, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 57532, MITRE URLs: ['https://attack.mitre.org/techniques/T1003'],
SID: 6365, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 11250, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 13507, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 13625, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27956, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27957, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27958, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27959, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27960, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 27961, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
SID: 31070, MITRE URLs: ['https://attack.mitre.org/techniques/T1014'],
