Sid,Response,Technique_id,True_labels
213,"{""Rules"": [{""Sid"": ""213"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": null, ""Explanation"": ""The rule looks for the word \""wh00t!\"" which is part of a known rootkit""}, {""Sid"": ""213"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": null, ""Explanation"": ""The rule looks for the word \""wh00t!\"" which is part of a known brute force attack""}]}{""ruleset"": ""community"", ""rules"": [{""Sid"": ""213"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [], ""Explanation"": ""The rule detects attempts to connect to a telnet server on port 23 with the payload \""wh00t!\"", which is often associated with rootkit activity.""}, {""Sid"": ""213"", ""Technique ID"": ""T1608"", ""Technique Name"": ""Stage Capabilities"", ""Quotes"": [], ""Explanation"": ""The rule may indicate an attempt to set up capabilities for further exploitation or persistence on the target system.""}]}{""Rows"": [
   {
     ""Sid"": ""213"",
     ""Technique ID"": ""T1014"",
     ""Technique Name"": ""Rootkit"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers an alert when a connection is established to a telnet server and contains the string \""wh00t!\"". This string is commonly associated with the \""wh00t\"" rootkit, which is a type of malware that hides its presence on a system.""
   }
 ]}","['T1014', 'T1110']",['T1014']
214,"
 {}
 {""214"": [{""Sid"": ""214"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": ""Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components"", ""Explanation"": ""The rule looks for the presence of the string \""lrkr0x\"" in the content of TCP traffic destined to a Telnet server port. This string is associated with a rootkit that hides the presence of malicious components on the system.""}]}{
   ""214"": [
     {
       ""Sid"": ""214"",
       ""Technique ID"": ""T1014"",
       ""Technique Name"": ""Rootkit"",
       ""Quotes"": ""Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components"",
       ""Explanation"": ""The rule triggers when the content \""lrkr0x\"" is present in the traffic. Rootkits are often used to hide malicious activities on a system, so the presence of \""lrkr0x\"" in the traffic could indicate that a rootkit is being used.""
     }
   ]
 }",['T1014'],['T1014']
215,"{}{""Sid"": ""215"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [], ""Explanation"": ""The rule triggers on a rootkit attempt on Linux}{""Sid"": ""215"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [""Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components""], ""Explanation"": ""\""d13hh[\"" is a known rootkit.}",['T1014'],['T1014']
216,"{""T1014"": {""Sid"": ""216"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [
 ""Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components""
 ], ""Explanation"": ""The rule looks for the string \""satori\"", which is related to the Linux \""satori\"" rootkit.""}}{""Rules"": [{""Sid"": ""216"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [], ""Explanation"": ""The rule detects attempts to use the Satori rootkit, which is a type of malware that can hide the presence of programs, files, network connections, services, drivers, and other system components.""}, {""Sid"": ""216"", ""Technique ID"": ""T1518"", ""Technique Name"": ""Software Discovery"", ""Quotes"": [], ""Explanation"": ""The rule detects attempts to use the Satori rootkit, which can be used to get a listing of software and software versions that are installed on a system.""}]}{""Techniques"": [{""Sid"": ""216"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [], ""Explanation"": ""The rule triggers on attempts to connect to Telnet servers and contains the string \""satori,\"" suggesting that this rule may be looking for connections to systems infected by the Satori rootkit.""}, {""Sid"": ""216"", ""Technique ID"": ""T1574"", ""Technique Name"": ""Hijack Execution Flow"", ""Quotes"": [], ""Explanation"": ""The rule triggers on attempts to connect to Telnet servers and contains the string \""satori,\"" suggesting that this rule may be looking for connections to systems infected by the Satori malware, which is known to hijack execution flow.""}]}","['T1014', 'T1518']",['T1014']
233,"{""Rule_id"": ""233"", ""Techniques"": [{""Sid"": ""233"", ""Technique ID"": ""T1498"", ""Technique Name"": ""Network Denial of Service"", ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"", ""Explanation"": ""The rule triggers when a connection is established using port 27665 which is used by Trin00, which is a type of DoS attack.""}]}{""Rules"": [{""Sid"": ""233"", ""Technique ID"": ""T1498"", ""Technique Name"": ""Network Denial of Service"", ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"", ""Explanation"": ""The rule detects Trin00 attacks, which are a type of DoS attack.""}]}{
   ""Rules"": [
     {
       ""Sid"": ""233"",
       ""Technique ID"": ""T1498"",
       ""Technique Name"": ""Network Denial of Service"",
       ""Quotes"": [
         ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users""
       ],
       ""Explanation"": ""The rule detects Trino00, a denial-of-service (DoS) attack that targets the default startup password for the Trin00 service.""
     }
   ]
 }",['T1498'],['T1078']
234,"{""Rule_Sid"": ""234"",
  ""Techniques"": [
   {
    ""Sid"": ""234"",
    ""Technique ID"": ""T1040"",
    ""Technique Name"": ""Network Sniffing"",
    ""Quotes"": [
     ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network""
    ],
    ""Explanation"": ""The rule triggers on a specific string ""gOrave"" within network traffic, suggesting that the rule is designed to detect network sniffing activity.""
   }
  ]
 }
 {}
 
 {}
 ",['T1040'],['T1078']
235,"{""Techniques"": [{""Sid"": ""235"", ""Technique ID"": ""T1040"", ""Technique Name"": ""Network Sniffing"", ""Quotes"": ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network"", ""Explanation"": ""The rule looks for the string 'killme' in the network traffic, which could be used by an adversary to sniff network traffic and capture authentication material.""}]}{""235"": {""Technique ID"": ""T1040"", ""Technique Name"": ""Network Sniffing"", ""Quotes"": ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network"", ""Explanation"": ""The rule looks for the \""killme\"" string in the content of TCP packets coming from the internet and going to port 27665 on the internal network. This suggests that the rule is trying to detect a Trin00 attack, which is a type of network sniffing attack.""}}{}",['T1040'],['T1078']
237,"{
 ""237"": {
 ""Technique ID"": ""T1498"",
 ""Technique Name"": ""Network Denial of Service"",
 ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"",
 ""Explanation"": ""The rule detects Trin00 Master to Daemon default password attempts, which could be used to perform a denial of service attack by flooding the target with excessive traffic.""
 }
 }{""Sid"": ""237"", ""Technique ID"": ""T1498"", ""Technique Name"": ""Network Denial of Service"", ""Quotes"": [""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users""], ""Explanation"": ""The rule detects an attempted Trin00 master to daemon default password attack. Trin00 is a Denial of Service (DoS) tool that exploits a flaw in the Transmission Control Protocol (TCP). The attack can be used to flood a target system with TCP packets, causing it to become unavailable.""}{""Sid"": ""237"", ""Technique ID"": ""T1498"", ""Technique Name"": ""Network Denial of Service"", ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users"", ""Explanation"": ""The rule is for 'attempted-dos'. The rule monitors for the Trin00 Master to Daemon default password, which is used to launch denial of service attacks.""}",['T1498'],['T1078']
613,"{""Sid"": ""613"", ""Technique ID"": ""T1010"", ""Technique Name"": ""Application Window Discovery"", ""Quotes"": ""Adversaries may attempt to get a listing of open application windows"", ""Explanation"": ""The rule detects a scan of port 10101, which is commonly used by Microsoft Windows for remote management and may be used to enumerate open application windows.""}{""Rules"": [{""Sid"": ""613"", ""Technique ID"": ""T1010"", ""Technique Name"": ""Application Window Discovery"", ""Quotes"": ""Adversaries may attempt to get a listing of open application windows"", ""Explanation"": ""The rule flags SYN packets with TTL  220 and no ACK flag set, which may indicate an attempt to discover open application windows on the target network.""}]}{""Techniques"": [{""Sid"": ""613"", ""Technique ID"": ""T1010"", ""Technique Name"": ""Application Window Discovery"", ""Quotes"": ""Adversaries may attempt to get a listing of open application windows"", ""Explanation"": ""The rule looks for connections from an external network to a port on the home network that is not typically used by applications, and the flags field indicates that the connection is a SYN packet, which is the first packet in a TCP connection. This suggests that the adversary is attempting to discover open application windows on the home network.""}]}",['T1010'],"['T1018', 'T1040', 'T1046']"
616,"{""Techniques"": [{""Sid"": ""616"", ""Technique ID"": ""T1592"", ""Technique Name"": ""Gather Victim Host Information"", ""Quotes"": [""Adversaries may gather information about the victim's hosts that can be used during targeting""], ""Explanation"": ""The rule matches ident version request, an attacker can obtain system information by requesting version information of a service (ident) running on a host.""}]}
 {}
 {""Techniques"": [{""Sid"": ""616"", ""Technique ID"": ""T1046"", ""Technique Name"": ""Network Service Discovery"", ""Quotes"": ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation"", ""Explanation"": ""The rule looks for ident version requests, which can be used to discover services running on a remote host. This information can be used to target vulnerabilities in those services.""}]}","['T1592', 'T1046']","['T1018', 'T1040', 'T1046']"
