Sid,Response,Technique_id,True_labels
50094,"[
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1598.003"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"'Web Shell' is a common technique for maintaining persistent access to a compromised system, enabling the attacker to execute malicious commands remotely. The rule triggers when the HTTP traffic contains a specific string associated with Responder, a common web shell used to perform unauthorized remote administration tasks."""",
     ""Explanation"": ""This event is generated when activity relating to web shells is detected.""
   }
 ]",['T1598.003'],['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1071"",
     ""Technique name"": ""Data Encrypted for Impact"",
     ""Quotes"": """"Data Encrypted for Impact techniques involve encrypting data to evade detection or analysis. The rule includes a condition that checks for encrypted data ('pkt_data; content:""""404 Not Found<"""",fast_pattern,nocase; content:"""" requested URL / was not found """"') within the network traffic, indicating an attempt to conceal malicious activity through encryption."""",
     ""Explanation"": ""Rule checks for encrypted data in the network traffic.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1083"",
     ""Technique name"": ""File and Directory Discovery"",
     ""Quotes"": """"File and Directory Discovery techniques involve searching for and identifying files and directories on a system. The rule includes a condition that checks for the presence of a specific file ('content:""404 Not Found<"""",fast_pattern,nocase; content:"""" requested URL / was not found """"') in the network traffic, indicating an attempt to locate and access sensitive files or directories."""",
     ""Explanation"": ""Rule checks for specific files or directories in the network traffic.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""T1105"",
     ""Quotes"": """"Network Sniffing techniques involve capturing and analyzing network traffic to identify and exploit vulnerabilities. The rule includes a condition that checks for network traffic ('pkt_data; content:""""404 Not Found<"""",fast_pattern,nocase; content:"""" requested URL / was not found """"') matching a specific pattern ('content:""404 Not Found<"""",fast_pattern,nocase; content:"""" requested URL / was not found """"'), indicating an attempt to monitor and intercept sensitive information transmitted over the network."""",
     ""Explanation"": ""Rule checks for suspicious network traffic patterns.""
   }
 ]","['T1056', 'T1071', 'T1083', 'T1105', 'T1105']",['T1056']
976,"[
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": """"Drive-by Compromise is a technique in which a threat actor tricks a user into visiting a malicious website, often through a link in an email, and then exploits a browser vulnerability to compromise the user's computer."""",
     ""Explanation"": ""This event is generated when a web server is accessed with a '.bat' file, which could be an indicator of a drive-by compromise attempt.""
   },
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1574.002"",
     ""Technique name"": ""Browser Exploitation"",
     ""Quotes"": """"Browser Exploitation is a technique in which a threat actor exploits a vulnerability in a web browser to execute arbitrary code or gain access to sensitive data."",
     ""Explanation"": ""This event is generated when a web server is accessed with a '.bat' file, which could be an indicator of a browser exploitation attempt.""
   }
 ]","['T1189', 'T1574.002']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Indirect Command Execution"",
     ""Quotes"": """"Indirect Command Execution techniques involve executing commands via an intermediary script, application, or service, rather than directly executing the command on the target system. The rule looks for access to .htaccess files, which can be used to execute commands on web servers, suggesting that this event may involve an attempt at indirect command execution."""",
     ""Explanation"": ""This event may involve an attempt at indirect command execution.""
   }
 ]",['T1170'],['T1218']
27967,"[
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique Name"": ""Web Shell"",
     ""Quotes"": """"Web Shell techniques involve using web shells, which are malicious scripts, to execute arbitrary commands on a compromised system. This rule identifies a connection to a known backdoor (Chopper), which typically uses a web shell to provide remote access and control to the attacker."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]",['T1100'],"['T1505', 'T1219']"
29869,"[
     {
         ""Sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": """"Phishing attacks attempt to trick users into revealing sensitive information by impersonating a legitimate entity. This rule detects traffic related to the Win.Trojan.Napolar phishing attack, which often involves fake emails or websites designed to deceive users into providing confidential information, such as login credentials or credit card details."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]",['T1192'],['T1566']
31807,"[
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique Name"": ""Exfiltration Over Command and Control Channel"",
         ""Quotes"": """"Exfiltration Over Command and Control Channel techniques involve using command and control channels to transfer exfiltrated data outside of the victim environment"""",
         ""Explanation"": ""This rule seems to be related to the exfiltration of data over a command and control channel, which is a common technique used by malware to send stolen data back to its controllers.""
     }
 ]",['T1048'],['T1020']
58751,"[
         ""sid"": ""58751"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""\""Exploit Public-Facing Application techniques involve targeting publicly accessible applications on an organization's network to gain access to the organization's internal network.\"""",
         ""Explanation"": ""This rule is triggered when a server attempts to execute a remote code on Apache Log4j, which is a common technique used to exploit publicly-facing applications.""
     ],
     [
         ""sid"": ""58751"",
         ""Technique ID"": ""T1210"",
         ""Technique name"": ""Exploitation for Client Execution"",
         ""Quotes"": ""\""Exploitation for Client Execution techniques involve exploiting a vulnerability in a client-side application (e.g., a browser, email client, or other software) to execute arbitrary code on the client machine.\"""",
         ""Explanation"": ""This rule is triggered when a server attempts to execute a remote code on Apache Log4j, which can be used to exploit client-side applications.""
     ]","['T1190', 'T1210']",['T1190']
36100,"[
         ""sid"": ""36100"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Credential Dumping"",
         ""Quotes"": """"Credential Dumping techniques involve obtaining credentials from a compromised system or account to gain access to other systems or resources. The rule identifies an attempt to authenticate to ManageEngine OpManager using default credentials, implying the presence of weak credentials or malicious activity aimed at credential theft."""",
         ""Explanation"": ""This event is generated when activity relating to attempted credential access is detected.""
     ]",['T1110'],['T1078']
10096,"[
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule triggers on the presence of the string ""KEY"" in a network packet, which could indicate the presence of a keylogger that is capturing keystrokes."""",
     ""Explanation"": ""This event is generated by the detection of a known malicious pattern.""
   }
 ]",['T1056'],['T1056']
