Sid,Response,Technique_id,True_labels
22938,"[
         ""sid"": ""22938"",
         ""Technique ID"": ""T1543"",
         ""Technique name"": ""Data Encapsulation"",
         ""Quotes"": ""Data Encapsulation techniques involve wrapping or encoding data with another data structure."",
         ""Explanation"": ""This IDS rule detects attempts to use an encapsulated object to perform a Responder poisoning attack, which involves manipulating DNS responses to redirect users to malicious websites.""
     ]",['T1543'],['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.\"""",
     ""Explanation"": ""This rule looks for activity related to the Win.Trojan.GateKeylogger malware, which is known to use fake 404 responses to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.""
   }
 ]",['T1056'],['T1056']
976,"[
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique Name"": ""Drive-by Compromise"",
     ""Quotes"": ""\""Drive-by Compromise\"" techniques involve exploiting a vulnerability in a browser or browser plug-in by luring a victim to a malicious website."",
     ""Explanation"": ""This signature matches WEB_SHELL activity by identifying attempts to access .bat (batch) files via HTTP requests containing \""/cgi-bin/\""""
   },
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1496"",
     ""Technique Name"": ""Resource Hijacking"",
     ""Quotes"": ""\""Resource Hijacking\"" techniques involve redirecting the victim to a malicious website or resource."",
     ""Explanation"": ""This signature matches WEB_SHELL activity by identifying attempts to access .bat (batch) files via HTTP requests containing \""/cgi-bin/\""""
   }
 ]","['T1189', 'T1496']",['T1204']
1129,"[
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Vulnerability Scanning"",
         ""Quotes"": ""Vulnerability scanning refers to identifying and enumerating vulnerabilities in specific systems or software. Detection involves identifying activities that actively probe and interrogate the system to detect vulnerabilities."",
         ""Explanation"": ""This event is generated when activity relating to vulnerability scanning of .htaccess files is detected.""
     }
 ]",['T1170'],['T1218']
27967,"[
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": ""Adversaries can leverage web shells to execute arbitrary code and perform various malicious operations on a compromised system."",
         ""Explanation"": ""This rule looks for web shells of the 'Chopper' family, which are known to be used by attackers to gain control of compromised systems.""
     ]",['T1100'],"['T1505', 'T1219']"
29869,"[
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": ""Phishing involves creation and delivery of fraudulent messages designed to trick users into revealing confidential information."",
         ""Explanation"": ""The rule detects a Trojan using 'facebook.com.exe' in an attempt to phish credentials.""
     ]",['T1192'],['T1566']
31807,"[
         ""sid"": ""31807"",
         ""Technique ID"": ""T1567"",
         ""Technique name"": ""Exfiltration Over C3 Channel"",
         ""Quotes"": null,
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ]",['T1567'],['T1020']
58751,"[
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""Lookup\"" functionality.""
   }
 ]",['T1190'],['T1190']
36100,"[
         ""sid"": ""36100"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute Force"",
         ""Quotes"": ""Adversaries may attempt to gain access to a system by guessing common default or weak credentials."",
         ""Explanation"": ""This rule looks for an attempt to log into ManageEngine OpManager using the default credentials.""
     }
 ]",['T1110'],['T1078']
10096,"[
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the detection of a keylogger (win32.remotekeylog.b) that captures keystrokes, which is a common method used to steal sensitive information.\"""",
     ""Explanation"": ""This rule is triggered when a keylogger is detected. Specifically, it looks for the presence of the string \""KEY\"" in network traffic, which is indicative of keylogging activity.""
   }
 ]",['T1056'],['T1056']
