Sid,Response,Technique_id,True_labels
50094,"[
     ""sid"": ""50094"",
     ""Technique ID"": ""T1580"",
     ""Technique name"": ""Compromise Infrastructure"",
     ""Quotes"": ""Adversaries may use compromised infrastructure to conduct malicious operations within a target network."",
     ""Explanation"": ""This event is generated when an attacker tries to poison a Responder proxy server by sending a request with a specially crafted image tag that points to a local file on the proxy server.""
 ]",['T1580'],['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""This rule looks for a fake \""404 Not Found\"" response from a Trojan (GateKeylogger), which is a common method used by keyloggers to stealthily capture input data (T1056: Input Capture).""
   }
 ]",['T1056'],['T1056']
976,"[
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.\"""",
     ""Explanation"": ""This rule looks for access to .bat files, which could indicate an attempt to exploit a vulnerability in a web application.""
   }
 ]",['T1190'],['T1204']
1129,"[
   {
     ""Sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""Exploit Web Server"",
     ""Quotes"": ""An attacker may attempt to exploit a vulnerability in a web server to compromise a system or service."",
     ""Explanation"": ""Web server attacks involve attempting to exploit vulnerabilities in web services or applications to gain unauthorized access or control.""
   }
 ]",['T1170'],['T1218']
27967,"[
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web shells are scripts that provide remote access and administrative control of a compromised system through a web interface. The rule triggers on a request containing the 'caidao=' string, which is a common parameter used by the Chooper backdoor to execute web shell commands."",
         ""Explanation"": ""This specific IDS rule is designed to detect the presence of Chooper, a well-known backdoor tool.""
     ]",['T1100'],"['T1505', 'T1219']"
29869,"[
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": """"Phishing attacks attempt to trick individuals into providing sensitive information (i.e., credentials, financial data) through fraudulent emails or websites designed to appear legitimate.""""
         ""Explanation"": ""This rule detects phishing attacks targeting the social media platform Facebook. It looks for the presence of an executable file named 'facebook.com.exe' in the network traffic, which is indicative of a phishing attempt.""
     ]",['T1192'],['T1566']
31807,"[
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Data Exfiltration"",
     ""Quotes"": ""Data from the targeted environment is exfiltrated using various methods, including email, web services, and cloud services."",
     ""Explanation"": ""This rule alerts on data exfiltration attempts by the Win.Trojan.Nighthunter malware, which uses email to send exfiltrated data.""
 ]",['T1041'],['T1020']
58751,"[
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.\"""",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""Lookup\"" functionality.""
   }
 ]",['T1190'],['T1190']
36100,"[
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Credential Dumping"",
     ""Quotes"": ""Credential Dumping is the act of copying or extracting credentials, such as usernames and passwords, from a compromised system."",
     ""Explanation"": ""This event is generated when an attempt is made to authenticate to ManageEngine OpManager using default credentials.""
   }
 ]",['T1110'],['T1078']
10096,"[
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
     ""Explanation"": ""This event is generated when activity relating to malware is detected..""
   }
 ]",['T1056'],['T1056']
37245,"[
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1001"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": null,
     ""Explanation"": ""This rule detects a web shell that is used to execute commands.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Remote Access Software"",
     ""Quotes"": null,
     ""Explanation"": ""This rule detects the use of web shells which could be used for remote access.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1132"",
     ""Technique name"": ""Scripting"",
     ""Quotes"": null,
     ""Explanation"": ""This rule detects the use of a web shell that is executed through a scripting language.""
   }
 ]","['T1001', 'T1100', 'T1132']","['T1001', 'T1219']"
56606,"[
         {
           ""Sid"": ""56606"",
           ""Technique ID"": ""T1003"",
           ""Technique Name"": ""Command and Control"",
           ""Quotes"": ""Adversaries may maintain persistent control over victim systems by establishing command and control (C2) channels with an attacker-controlled server."",
           ""Explanation"": ""This rule looks for inbound command attempts from a known Rat.Tool.CSBundleUSATodayServer malware variant, indicating that a victim system is communicating with an attacker-controlled C2 server.""
         }
       ]",['T1003'],['T1071']
