Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Limit_Prompt_Without_Competition_With_Limit_Return,Without_Limit_Prompt_With_Competition_Without_Limit_Return,Without_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"[
         ""sid"": ""50094"",
         ""Technique ID"": ""T1535"",
         ""Technique Name"": ""Phishing"",
         ""Quotes"": """"Phishing is an attempt to acquire sensitive information such as user credentials, typically through malicious emails or websites. The rule indicates an HTTP request containing an 'img' tag that loads content from an external source (RespProxySrv), which is a common technique used in phishing emails to track user activity or deliver malicious content."""",
         ""Explanation"": ""This event is generated when an attempt to poison Responder is detected.""
     ],
     [
         ""sid"": ""50094"",
         ""Technique ID"": ""T1190"",
         ""Technique Name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploitation of public-facing applications is a common attack vector, especially for web servers. The rule indicates an attempt to exploit a vulnerability in a web server by sending a specially crafted HTTP request that references an external file (RespProxySrv/pictures/logo.jpg)."""",
         ""Explanation"": ""This event is generated when an attempt to exploit a public-facing application is detected.""
     ]
 ][
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1190"",
         ""Technique Name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\"""",
         ""Explanation"": ""HTTP traffic pattern indicates an attempt to exploit a web server vulnerability using a specially crafted image tag with an embedded URI to a malicious file hosted on a Responder poisoner server.""
     },
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1490"",
         ""Technique Name"": ""Inhibit System Recovery"",
         ""Quotes"": ""\""Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery\"""",
         ""Explanation"": ""The attack could attempt to disable system recovery mechanisms to prevent forensic analysis or system restoration.""
     }
 ][
         ""sid"": ""50094"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""An adversary may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""The rule involves an attack against a web server through an HTTP GET request that attempts to retrieve a file from a specific location. This indicates the exploitation of a vulnerability in a web application, which aligns with the T1190 technique.""
     ]","['T1490', 'T1546', 'T1190', 'T1539', 'T1559', 'T1659', 'T1491']","['T1190', 'T1559']","['T1535', 'T1190', 'T1490']","['T1190', 'T1535']",['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1083"",
     ""Technique Name"": ""File and Directory Discovery"",
     ""Quotes"": [
       ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""
     ],
     ""Explanation"": ""This rule detects a Win.Trojan.GateKeylogger fake 404 response, indicating that the malware may be attempting to establish a connection to a command and control server and potentially exfiltrating data.""
   }
 ][
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1113"",
         ""Technique name"": ""Screen Capture"",
         ""Quotes"": ""Screen Capture techniques involve taking screenshots of the desktop to gather information over the course of an operation. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which could involve capturing screenshots as part of its surveillance activities."",
         ""Explanation"": ""This event is generated when activity relating to malware is detected and captures screenshots as part of its surveillance activities.""
     }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected that uses Input Capture.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1113"",
     ""Technique Name"": ""Screen Capture"",
     ""Quotes"": ""\""Screen Capture techniques involve capturing screenshots of the user's desktop or other visual output to gather information over the course of an operation. The rule mentions 'screen capture', indicating that the malware may be attempting to capture screenshots as part of its reconnaissance or data exfiltration activities.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected that uses Screen Capture.""
   }
 ]","['T1083', 'T1071', 'T1056', 'T1105', 'T1593', 'T1113', 'T1529', 'T1080', 'T1205', 'T1537', 'T1550']","['T1071', 'T1056']","['T1083', 'T1113', 'T1056']","['T1083', 'T1113']",['T1056']
976,"[
         ""sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application techniques involve exploiting a weakness in an Internet-facing host or system to initially access a network."""",
         ""Explanation"": ""This rule detects attempts to access .bat files on web servers, which could be an indication of an attacker trying to exploit a vulnerability in a web application.""
     ][
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploit Public-Facing Application techniques involve exploiting vulnerabilities in publicly accessible systems or applications to gain initial access to a network."""",
     ""Explanation"": ""The rule targets attempts to access .bat files, which could indicate an attempt to exploit a vulnerability in a web server or web application to execute arbitrary code.""
   }
 ][
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique Name"": ""Drive-by Compromise"",
     ""Quotes"": [
       ""\""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing\""""
     ],
     ""Explanation"": ""The rule triggers when a client attempts to access a URL containing \"".bat?\"" and \""/cgi-bin/\"", which could indicate an attempt to exploit a vulnerable web application via a drive-by compromise.""
   }
 ]","['T1189', 'T1059', 'T1112', 'T1559', 'T1591', 'T1137', 'T1190', 'T1068', 'T1069', 'T1078']","['T1189', 'T1059']","['T1190', 'T1189']","['T1190', 'T1189']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Credential Harvest: Htaccess Misconfiguration"",
     ""Quotes"": """"Credential Harvest: Htaccess Misconfiguration technique targets misconfigured "".htaccess"" files, which are commonly used to control access to web applications. Adversaries exploit such misconfigurations to access sensitive information, such as credentials"""",
     ""Explanation"": ""This event is generated when a request for a .htaccess file is detected. Attackers can exploit a misconfigured .htaccess file to obtain credentials or other sensitive information.""
   }
 ][
     {
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application techniques involve attacking applications and services that are accessible via the internet or other public-facing networks. This rule triggers when an attempt is made to access a .htaccess file, which is a configuration file often used by web servers to control access and configuration, suggesting a potential reconnaissance attempt to exploit vulnerabilities or gain unauthorized access to the web application."""",
         ""Explanation"": ""This event is generated when activity relating to reconnaissance is detected.""
     }
 ][
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploit Public-Facing Application techniques involve identifying and exploiting vulnerabilities in publicly accessible applications, such as web servers, to gain access to sensitive data or to execute arbitrary code. The rule specifically mentions accessing "".htaccess"", which is a common file used to configure access control and security settings for web servers."""",
     ""Explanation"": ""This event is generated when an attempt to access .htaccess is detected""
 ]",[],[],['T1170'],['T1170'],['T1218']
27967,"[
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web Shell techniques abuse legitimate web functionality to execute arbitrary commands on a system or retrieve data"""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ][
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web shells provide remote code execution and command-and-control capabilities to adversaries who have successfully compromised a web application or web server. The rule matches specific patterns in HTTP traffic associated with the Chopper web shell, indicating that the adversary is attempting to establish a remote connection to the compromised system."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ]
 {}
 ",['T1105'],['T1105'],['T1100'],['T1100'],"['T1505', 'T1219']"
29869,"[
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique Name"": ""Phishing"",
         ""Quotes"": """"Phishing techniques involve sending fraudulent communications that appear to come from a legitimate source, such as a trusted organization or person, to trick users into disclosing confidential information or taking actions that could compromise their systems. In this case, the rule indicates the presence of a phishing attack targeting users with a Trojan (Win.Trojan.Napolar) that impersonates Facebook through an 'exe' file, demonstrating the use of social engineering and deception to lure victims to malicious content."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ][
   {
     ""Sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": """"Phishing attacks attempt to obtain sensitive information such as credentials by masquerading as a legitimate entity. The rule specifically mentions a 'phishing attack' involving a Trojan (Napolar) and 'facebook.com.exe', which is a common phishing tactic to trick users into providing their credentials for phishing purposes."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
     {
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": """"Phishing techniques involve sending fraudulent emails or messages designed to trick recipients into clicking malicious links or providing sensitive information. The rule indicates the presence of Win.Trojan.Napolar, which is associated with phishing campaigns and aims to steal user credentials and financial data."""",
         ""Explanation"": ""The alert is triggered when an attempt to connect to a malicious domain associated with phishing is observed.""
     }
 ]",[],[],['T1192'],['T1192'],['T1566']
31807,"[
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""\""Data exfiltration techniques involve the transfer of data from a victim machine to a remote system controlled by the adversary. In this case, the rule detects an attempt by the Nighthunter Trojan to exfiltrate data over an existing command and control channel using SMTP, indicating that the adversary is trying to steal or gather sensitive information from the compromised system.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Adversaries may steal data by exfiltrating it over an existing command and control channel. The rule detects an attempt to exfiltrate data over port 2525, which is a common method used by malware such as Nighthunter to stealthily communicate with a command and control server."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1589"",
         ""Technique name"": ""Gather Victim Identity Information"",
         ""Quotes"": """"Adversaries may gather information about the victim's identity that can be used during targeting. The rule includes the string \\\""Execution Confirmation\\\"" in its content match, which suggests that the malware is sending information about the victim's system back to the attacker."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]
 {}
 ","['T1133', 'T1495', 'T1589', 'T1041', 'T1048', 'T1567', 'T1559', 'T1071', 'T1612', 'T1056']","['T1071', 'T1056']","['T1041', 'T1589']","['T1041', 'T1589']",['T1020']
58751,"[""sid"": ""58751"",
         ""Technique ID"": ""T1040"",
         ""Technique name"": ""Exploitation for Client Execution"",
         ""Quotes"": ""Adversaries may exploit software vulnerabilities in client-side software, such as Java Runtime Environment (JRE), to achieve remote code execution and gain a foothold on a target system."",
         ""Explanation"": ""This event is generated when an attempt to exploit a remote code execution vulnerability in Apache Log4j is detected. The rule specifically looks for the exploitation of JNDI, lower, and upper functions to execute arbitrary code on the target system.""
     ][
     {
         ""sid"": ""58751"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application involves adversaries attempting to exploit a weakness in an Internet-facing host or system to access the network."""",
         ""Explanation"": ""The rule triggers when an Apache Log4j logging remote code execution attempt is detected on port 25, which is typically used by SMTP servers and can indicate an attempt to exploit a vulnerability in the application.""
     },
     {
         ""sid"": ""58751"",
         ""Technique ID"": ""T1210"",
         ""Technique name"": ""Exploitation of Remote Services"",
         ""Quotes"": """"Exploitation of Remote Services techniques focus on exploiting vulnerabilities in remote services to gain unauthorized access to internal systems."""",
         ""Explanation"": ""The rule specifically targets exploitation attempts on SMTP servers, which are remote services commonly exposed to external networks.""
     }
 ][
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\"""",
     ""Explanation"": ""The rule is triggered when an Apache Log4j logging remote code execution attempt is detected on port 25 (SMTP), which is a common attack vector for exploiting public-facing web servers.""
   },
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1210"",
     ""Technique Name"": ""Exploitation of Remote Services"",
     ""Quotes"": ""\""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network\"""",
     ""Explanation"": ""The rule specifically targets the exploitation of a remote service (SMTP) to gain unauthorized access to the internal network.""
   }
 ]","['T1190', 'T1211', 'T1210', 'T1105', 'T1499']","['T1190', 'T1105']","['T1040', 'T1190', 'T1210']","['T1190', 'T1040']",['T1190']
36100,"[
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute Force"",
         ""Quotes"": """"Brute Force techniques involve attempting to gain access to systems or accounts by repeatedly trying different combinations of usernames and passwords."""",
         ""Explanation"": ""The rule indicates an attempt to log into a ManageEngine OpManager web application using default credentials, suggesting a brute-force attack.""
     },
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1589"",
         ""Technique name"": ""Gather Victim Identity Information"",
         ""Quotes"": """"Adversaries may gather information about the victim's identity that can be used during targeting."""",
         ""Explanation"": ""The rule includes gathering login credentials, which can be used to identify the victim and target them.""
     }
 ]
 {}
 [
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1589"",
     ""Technique Name"": ""Gather Victim Identity Information"",
     ""Quotes"": ""\""Adversaries may gather information about the victim's identity that can be used during targeting\"""",
     ""Explanation"": ""This event is generated when ManageEngine OpManager's default credentials are used to authenticate. This might indicate that the adversary is attempting to gather information about the victim's environment, such as the presence of ManageEngine OpManager and its configuration, which could be used during targeting for further attacks.""
   },
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique name"": ""Brute Force"",
     ""Quotes"": ""\""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown\"""",
     ""Explanation"": ""This event is generated when an attempt to authenticate to ManageEngine OpManager using default credentials is detected. Brute force attacks involve repeatedly attempting to authenticate with different credentials until the correct ones are found.""
   }
 ]","['T1110', 'T1212', 'T1550', 'T1589', 'T1525', 'T1587']","['T1110', 'T1550']","['T1110', 'T1589']","['T1110', 'T1589']",['T1078']
10096,"[
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. This rule detects traffic related to 'keylogger' activity, which is a common method of capturing keystrokes and other sensitive input data."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ][
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the detection of a keylogger (win32.remotekeylog.b), which is a type of malware that captures keystrokes, a common method used by keyloggers to stealthily capture input data."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]",['T1056'],['T1056'],['T1056'],['T1056'],['T1056']
