Sid,Response,With_Limit_Prompt_Without_Competition_Without_Limit_Return,With_Limit_Prompt_Without_Competition_With_Limit_Return,With_Limit_Prompt_With_Competition_Without_Limit_Return,With_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"[
         ""sid"": ""50094"",
         ""Technique ID"": ""T1185"",
         ""Technique name"": ""Browser Session Hijacking"",
         ""Quotes"": """"Browser Session Hijacking techniques involve manipulating browser sessions in order to steal authentication cookies, session tokens, or other sensitive information. The rule detects an HTTP attack attempt involving a responder poisoner. Responder poisoning attacks aim to intercept and manipulate legitimate traffic, which aligns with the tactics used in Browser Session Hijacking."""",
         ""Explanation"": ""This rule is triggered when the attack attempts to poison a DNS response.""
     },
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1550"",
         ""Technique name"": ""Use Alternate Authentication Material"",
         ""Quotes"": """"Use Alternate Authentication Material techniques involve leveraging authentication tokens, such as Kerberos tickets or session cookies, to bypass normal access controls. The rule indicates an HTTP attack attempt involving a responder poisoner, suggesting the potential use of stolen authentication tokens or credentials to gain unauthorized access."""",
         ""Explanation"": ""This rule is triggered when the attack attempts to poison a DNS response.""
     }
 ][
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1105"",
     ""Technique name"": ""Ingress Tool Transfer"",
     ""Quotes"": ""Techniques involving the transfer of tools or other files from an external system into a compromised environment can often be used to facilitate lateral movement."",
     ""Explanation"": ""Ingress tool transfer technique involves transferring tools or files from an external system into a compromised environment. In this case, the rule detects an attempt to load an image from an external file path, which could be an attempt to download and execute malicious tools or files.""
   },
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes..."",
     ""Explanation"": ""Input capture technique involves capturing user input data. The rule detects an attempt to load an image from an external file path, which could be an attempt to trick the user into providing sensitive information or credentials.""
   }
 ][
 ""sid"": ""50094"",
         ""Technique ID"": ""T1115"",
         ""Technique name"": ""Clipboard Data"",
         ""Quotes"": ""\""Clipboard Data techniques involve accessing clipboard data, often for the purpose of retrieving sensitive information or credentials.\"" The rule triggers when a specific HTTP request containing a reference to a local file ('RespProxySrv/pictures/logo.jpg') is observed. This behavior is indicative of a Responder poisoning attack, where the attacker aims to hijack victim traffic and redirect it to their own malicious server. One of the tactics used in this type of attack is to modify the clipboard data of the victim to trick them into accessing the attacker-controlled website."",
         ""Explanation"": ""This event is generated when traffic is attempted.""
     },
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""\""Ingress Tool Transfer techniques involve transferring malicious tools or other files into a compromised environment from an external system.\"" The rule specifically mentions the presence of a file ('logo.jpg') that is being requested from a local file path ('RespProxySrv/pictures/logo.jpg'). This behavior is consistent with an attacker attempting to transfer malicious tools or data into the victim's system during the Responder poisoning attack."",
         ""Explanation"": ""This event is generated when traffic is attempted.""
     }
 ]","['T1190', 'T1574', 'T1056', 'T1490', 'T1491', 'T1530', 'T1543', 'T1550', 'T1568', 'T1105', 'T1185', 'T1115']","['T1190', 'T1056']","['T1185', 'T1550', 'T1105', 'T1056', 'T1115']","['T1056', 'T1550']",['T1187']
38563,"[
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1113"",
         ""Technique name"": ""Screen Capture"",
         ""Quotes"": """"Screen Capture techniques involve taking screenshots of the victim's desktop or specific windows to capture sensitive information, such as passwords, login credentials, or confidential documents."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
     ""sid"": ""38563"",
     ""Technique ID"": ""T1036"",
     ""Technique name"": ""Masquerading"",
     ""Quotes"": """"Masquerading techniques involve modifying artifacts to appear legitimate or benign. In this case, the Trojan uses a '404 Not Found' page to mask its malicious behavior, potentially evading security controls."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   ]
 {}
 ","['T1021', 'T1113', 'T1018', 'T1574', 'T1485', 'T1588', 'T1056', 'T1036', 'T1498', 'T1037', 'T1102', 'T1497', 'T1059']","['T1021', 'T1056']","['T1113', 'T1036']","['T1113', 'T1036']",['T1056']
976,"[
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": """"Drive-by Compromise techniques allow adversaries to gain access to a system through a user visiting a website over the normal course of browsing. The rule identifies attempts to access .bat files, which can be used to execute malicious code, suggesting a potential drive-by compromise attempt."""",
         ""Explanation"": "".bat files are commonly used for executing malicious code.""
     },
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application techniques involve attempting to exploit a weakness in an Internet-facing host or system to initially access a network. The rule detects attempts to access .bat files through HTTP, which may indicate an attempt to exploit a vulnerability in a web server or application to gain access to the network."""",
         ""Explanation"": ""The rule is trying to detect malicious traffic targeting a web server.""
     }
 ][
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": ""Drive-by Compromise is a technique where a user is unintentionally and automatically infected when visiting a website."",
         ""Explanation"": ""This event is generated when activity relating to web application is detected. The rule indicates the detection of accessing .bat files, which may be related to drive-by download attacks.""
     },
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1068"",
         ""Technique name"": ""Exploitation for Privilege Escalation"",
         ""Quotes"": ""Exploitation for Privilege Escalation is the use of a vulnerability in a program or system to execute code that gives the adversary elevated privileges, often for the purpose of compromising other systems."",
         ""Explanation"": ""This rule has the goal of detecting and blocking access to .bat files, which is commonly used to compromise systems by executing malicious code and escalating privileges.""
     }
 ][
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploitation of Public-Facing Applications involves identifying and exploiting vulnerabilities in applications that are exposed to the Internet or external networks. The rule here is related to the detection of attempts to access .bat files through HTTP, which is a common technique used to exploit vulnerabilities in web applications."""",
         ""Explanation"": ""The rule is related to exploiting web applications.""
     },
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1204"",
         ""Technique name"": ""User Execution"",
         ""Quotes"": """"User Execution techniques rely on specific actions taken by users to gain execution. The rule triggers when a user attempts to access a .bat file, which could indicate an attempt to execute malicious code."""",
         ""Explanation"": ""The rule is related to user actions.""
     }
 ]","['T1189', 'T1110', 'T1068', 'T1204', 'T1105', 'T1548', 'T1036', 'T1190', 'T1566', 'T1048', 'T1203', 'T1484']","['T1189', 'T1204']","['T1189', 'T1190', 'T1068', 'T1204']","['T1189', 'T1190']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Password Spraying"",
     ""Quotes"": """"Password spraying attacks involve credential stuffing techniques whereby a large number of usernames are paired with common or pre-determined passwords to enumerate valid user accounts, often including the password hash. A spray-style approach often occurs alongside brute force attacks attempting to log in to hundreds or thousands of accounts at once."""",
     ""Explanation"": ""This rule detects an enumeration of valid user accounts via password spraying attacks.""
   }
 ][
     {
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""User Execution"",
         ""Quotes"": """"User Execution techniques involve tricking a victim into executing commands or scripts on their own system. The rule triggers on access to .htaccess files, which could indicate an attempt to modify or view configuration data on a web server. Attackers may access .htaccess files to gain insights into web server configurations or to exploit vulnerabilities in web applications."""",
         ""Explanation"": ""This rule is triggered when a web server tries to access a .htaccess file. This could be an indication of an attempt to modify or view configuration data on a web server. Attackers may access .htaccess files to gain insights into web server configurations or to exploit vulnerabilities in web applications.""
     }
 ][
     {
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Credential Harvesting"",
         ""Quotes"": """"Credential Harvesting techniques involve gathering credentials from user accounts on a system or through user input."""",
         ""Explanation"": ""This rule detects an attempt to gain access to a web application's .htaccess file, which may contain sensitive information such as user credentials.""
     },
     {
         ""sid"": ""1129"",
         ""Technique ID"": ""T1592"",
         ""Technique name"": ""Resource Hijacking"",
         ""Quotes"": """"Resource Hijacking techniques involve redirecting a resource request to a different resource that is controlled by an adversary. In this case, the adversary is attempting to redirect the web browser to a malicious website or web application."""",
         ""Explanation"": ""This rule detects an attempt to redirect the web browser to a malicious website or web application.""
     }
 ]","['T1110', 'T1059', 'T1040', 'T1484']","['T1059', 'T1110']","['T1170', 'T1592']","['T1170', 'T1592']",['T1218']
27967,"[
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web shells are attacker-installed scripts that provide a remote interface to a compromised web server. The rule identifies a connection to a web shell associated with the 'Win.Backdoor.Chopper' malware, which uses HTTP headers to communicate with its command and control server."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a web shell that accepts commands embedded in HTTP post parameters (e.g., 'caidao=Response'), which can be used to execute arbitrary commands on the compromised web server."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web shells are malicious scripts that provide adversaries remote access to a compromised web server or web application. The rule identifies a connection to a web shell (Win.Backdoor.Chopper) based on specific HTTP headers and client body content. Web shells often use parameters such as 'caidao' to execute commands on the target system."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1102"",
         ""Technique name"": ""Web Service"",
         ""Quotes"": """"Web services provide a means for transferring data over the Internet. The rule indicates the use of HTTP-based communication, which is commonly used by web services. Adversaries may leverage web services to exfiltrate sensitive data or establish a persistent connection to the target system."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"Adversaries may use a web shell, a malicious script that provides a remote command interface on a compromised web server, to interact with a remote system."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ]","['T1565', 'T1048', 'T1105', 'T1106', 'T1203', 'T1110', 'T1102', 'T1040']","['T1102', 'T1048']","['T1100', 'T1056', 'T1102']","['T1100', 'T1056']","['T1505', 'T1219']"
29869,"[
 ""sid"": ""29869"",
 ""Technique ID"": ""T1192"",
 ""Technique name"": ""Phishing"",
 ""Quotes"": """"Phishing techniques attempt to obtain sensitive information, such as passwords or financial data, by impersonating a legitimate entity. The rule shows the detection of an active phishing campaign targeting Facebook users using a Trojan (Napolar) to deliver phishing content through an 'facebook.com.exe' file. This technique is commonly used in phishing attacks to lure victims into revealing their credentials."""",
 ""Explanation"": ""Phishing is a technique that attempts to gain access to sensitive information, such as passwords and financial data, by impersonating a legitimate entity. The rule indicates the presence of a Trojan (Napolar) that is targeting Facebook users through phishing attacks.""
 ]{}[
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": """"Phishing techniques involve the use of fraudulent emails or websites to trick users into inputting sensitive information, such as passwords or financial data. The rule's message field indicates that it detects phishing attempts associated with the 'Win.Trojan.Napolar' malware, which often uses phishing attacks as a means to compromise victims."""",
     ""Explanation"": ""This event is generated when phishing activity, typically involving malicious links or attachments, is detected.""
   }
 ]",['T1562'],[],['T1192'],['T1192'],['T1566']
31807,"[
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Exfiltration techniques involve transferring data out of a network. This rule indicates the presence of a Trojan (Win.Trojan.Nighthunter) attempting to exfiltrate data over email (SMTP), a common C2 channel used by malware to communicate with external servers."""",
         ""Explanation"": ""This event is generated when the subject of an email matches the pattern 'Limitless Logger |3A 20 3A| Execution Confirmation', which is associated with the Nighthunter Trojan.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1071"",
         ""Technique name"": ""Application Layer Protocol"",
         ""Quotes"": """"Application Layer Protocol techniques involve using protocols at the application layer of the OSI model to communicate. This rule triggers when an attempt is made to establish a connection to ports 587 or 2525, which are commonly used by email servers, indicating the use of an application-layer protocol (SMTP) for data exfiltration."""",
         ""Explanation"": ""The rule triggers when activity relating to malware is detected communicating over SMTP ports.""
     }
 ][
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Exfiltration Over C2 Channel involves the use of an existing command and control (C2) channel for data exfiltration, typically stealthily. The event indicates a communication pattern consistent with data exfiltration over SMTP, with the subject line containing encoded data and the message body containing confirmation of execution, suggesting that an existing C2 channel is being used for data exfiltration."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": """"Exfiltration Over Alternative Protocol techniques involve the use of alternate protocols for data exfiltration to bypass detection and filtering mechanisms. The event indicates data exfiltration over SMTP, an alternative protocol to HTTP or FTP, which is often used for stealthy data exfiltration."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """""",fast_pattern,nocase; content:""""Subject|3A| Limitless Logger |3A 20 3A| Execution Confirmation"""","""""",
         ""Explanation"": ""This event is generated when an attempt to execute a file by a trojan has been detected.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": """""",fast_pattern,nocase; content:""""Subject|3A| Limitless Logger |3A 20 3A| Execution Confirmation"""","""""",
         ""Explanation"": ""This event is generated when an attempt to execute a file by a trojan has been detected.""
     }
 ]","['T1048', 'T1041', 'T1204', 'T1530', 'T1102', 'T1566', 'T1572', 'T1010', 'T1105', 'T1485', 'T1484', 'T1531', 'T1071']","['T1071', 'T1204']","['T1041', 'T1071', 'T1048']","['T1041', 'T1505']",['T1020']
58751,"[
 {
 ""sid"": ""58751"",
 ""Technique ID"": ""T1190"",
 ""Technique name"": ""Exploit Public-Facing Application"",
 ""Quotes"": ""Exploit Public-Facing Application techniques involve attempting to exploit a weakness in an Internet-facing host or system to initially access a network. The rule is triggered when an attempt is made to exploit a remote code execution vulnerability in the Apache Log4j component, which is commonly used in public-facing web applications."",
 ""Explanation"": ""This event alerts on attempts to exploit a vulnerability in the Apache Log4j component, which could allow remote code execution. Exploitation of this vulnerability could provide an attacker with initial access to a network.""
 },
 {
 ""sid"": ""58751"",
 ""Technique ID"": ""T1210"",
 ""Technique name"": ""Exploitation of Remote Services"",
 ""Quotes"": ""Exploitation of Remote Services techniques involve exploiting remote services to gain unauthorized access to internal systems once inside of a network. The rule is triggered when an attempt is made to exploit a remote code execution vulnerability in the Apache Log4j component, which is commonly used in web applications and servers."",
 ""Explanation"": ""The exploitation of this vulnerability could allow an attacker to gain unauthorized access to internal systems, escalate privileges, and execute arbitrary code.""
 }
 ][
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network"",
     ""Explanation"": ""The rule triggers when it detects an attempt to exploit a vulnerability in the Apache Log4j logging library, which is a common component in Java-based applications.""
   },
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1210"",
     ""Technique name"": ""Exploitation of Remote Services"",
     ""Quotes"": ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network"",
     ""Explanation"": ""The rule monitors traffic to SMTP servers, which are often exposed to the internet and can be targeted by attackers to gain access to internal systems.""
   }
 ][
         {
             ""sid"": ""58751"",
             ""Technique ID"": ""T1511"",
             ""Technique name"": ""Logging and Monitoring"",
             ""Quotes"": """"Logging mechanisms are a source of information that can be used for hunting and threat detection."""",
             ""Explanation"": ""Apache Log4j remote code execution attempt detected""
         },
         {
             ""sid"": ""58751"",
             ""Technique ID"": ""T1484"",
             ""Technique name"": ""Remote System Discovery"",
             ""Quotes"": """"Remote System Discovery techniques detect or discover remote systems and may reveal targets for capabilities such as Network Scanning and Exploitation. The rule is triggered by an attempt to discover remote systems through the exploitation of a vulnerability in Apache Log4j."""",
             ""Explanation"": ""Apache Log4j remote code execution attempt detected""
         }
     ]","['T1190', 'T1210', 'T1203', 'T1213', 'T1105', 'T1202', 'T1040']","['T1190', 'T1203']","['T1190', 'T1210', 'T1511', 'T1484']","['T1190', 'T1210']",['T1190']
36100,"[
         ""sid"": ""36100"",
         ""Technique ID"": ""T1598"",
         ""Technique name"": ""Phishing for Information"",
         ""Quotes"": """"Phishing for Information techniques involve sending phishing messages to elicit sensitive information that can be used during targeting. The rule suggests an authentication attempt to the ManageEngine OpManager web application using default credentials. Phishing often involves requesting and tricking users into providing such credentials."""",
         ""Explanation"": ""This event is generated when an attempt to authenticate to the ManageEngine OpManager web application using default credentials is detected.""
     ],
     [
         ""sid"": ""36100"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application techniques involve targeting Internet-facing hosts or systems to initially access a network. The rule indicates an attempted authentication to the ManageEngine OpManager web application, which is likely Internet-facing and accessible from the outside."""",
         ""Explanation"": ""This event is generated when an attempt to authenticate to the ManageEngine OpManager web application is detected.""
     ]
 ][
         ""sid"": ""36100"",
         ""Technique ID"": ""T1585"",
         ""Technique Name"": ""Establish Accounts"",
         ""Quotes"": """"Establish Accounts techniques involve adversaries creating and cultivating accounts with services that can be used during targeting. The rule specifically identifies an attempt to authenticate to the ManageEngine OpManager application using default credentials, indicating that an adversary is attempting to establish a foothold within the target network by compromising a user account."""",
         ""Explanation"": ""This event is generated when a ManageEngine OpManager server is scanned for default credentials.""
     ],
     ""sid"": ""36100"",
     ""Technique ID"": ""T1484"",
     ""Technique Name"": ""Domain Policy Modification"",
     ""Quotes"": """"Domain Policy Modification techniques involve adversaries modifying the configuration settings of a domain to evade defenses and/or escalate privileges in domain environments. The rule matches attempts to access the 'jsp/Login.do' URI and provides credentials for a user with the 'IntegrationUser' user name and 'plugin' password. This suggests that the adversary is attempting to exploit a configuration issue or weakness in the ManageEngine OpManager application to gain unauthorized access to the system."""",
     ""Explanation"": ""This event is generated when a user attempts to log in to a ManageEngine OpManager server using default credentials.""
 ]
 {}
 ","['T1110', 'T1588', 'T1585', 'T1559', 'T1525', 'T1598', 'T1484', 'T1190', 'T1580']","['T1190', 'T1559']","['T1598', 'T1190', 'T1585', 'T1484']","['T1598', 'T1190']",['T1078']
10096,"[
     {
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of malware (win32.remotekeylog.b) that is designed to capture keystrokes, which is a classic method for keyloggers to obtain sensitive data."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""10096"",
         ""Technique ID"": ""T1136"",
         ""Technique name"": ""Create Account"",
         ""Quotes"": """"Create Account techniques involve creating a user account on a compromised system. The rule indicates the presence of malware (win32.remotekeylog.b) that may attempt to create a user account on the victim system in order to maintain access or persistence."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
    {
       ""Sid"": ""10096"",
       ""Technique ID"": ""T1056"",
       ""Technique name"": ""Input Capture"",
       ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of the Win32.RemoteKeylog.B keylogger, which is known to capture and transmit keystrokes to a remote server."""",
       ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
       ""Sid"": ""10096"",
       ""Technique ID"": ""T1033"",
       ""Technique name"": ""System Owner/User Discovery"",
       ""Quotes"": """"System Owner/User Discovery techniques involve identifying users that commonly use a system. The rule indicates the detection of a keylogger, which often requires identifying and targeting specific users or systems to capture their keystrokes."""",
       ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]
 {}
 ","['T1056', 'T1018', 'T1113', 'T1136', 'T1033', 'T1564', 'T1036', 'T1574', 'T1049', 'T1115']","['T1056', 'T1574']","['T1056', 'T1136', 'T1033']","['T1056', 'T1136']",['T1056']
