Sid,Response,With_Limit_Prompt_Without_Competition_Without_Limit_Return,With_Limit_Prompt_Without_Competition_With_Limit_Return,With_Limit_Prompt_With_Competition_Without_Limit_Return,With_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"[
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1495"",
     ""Technique name"": ""Firmware Corruption"",
     ""Quotes"": ""Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system"",
     ""Explanation"": ""This event is generated when a Responder poisoner HTTP attack is detected, which can involve modifying firmware in order to disrupt or interfere with the normal operation of a device.""
   },
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1529"",
     ""Technique name"": ""System Shutdown/Reboot"",
     ""Quotes"": ""Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems"",
     ""Explanation"": ""This event is generated when there is an attempt to shutdown/reboot a system, which could be a malicious attempt to disrupt access to the system or destroy it.""
   },
 ]
 {}
 [
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing."",
         ""Explanation"": ""This rule looks for attempts to exploit a vulnerability in the Responder service that could allow an attacker to redirect traffic to a malicious website and potentially compromise the system.""
     },
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1574"",
         ""Technique name"": ""Hijack Execution Flow"",
         ""Quotes"": ""Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs."",
         ""Explanation"": ""This rule looks for attempts to inject malicious code into a legitimate program and execute it, which could allow an attacker to gain control of the system.""
     }
 ]","['T1190', 'T1218', 'T1189', 'T1529', 'T1591', 'T1547', 'T1567', 'T1574', 'T1495', 'T1187', 'T1497']","['T1189', 'T1190']","['T1495', 'T1529', 'T1189', 'T1574']","['T1495', 'T1529']",['T1187']
38563,"[
         ""sid"": ""58738"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."""",
         ""Explanation"": ""The rule detects a 404 Not Found error in HTTP traffic, indicating a potential attempt to exploit the CVE-2021-44228 vulnerability in Apache Log4j.""
     ][
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1056"",
         ""Technique Name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1564"",
         ""Technique Name"": ""Hide Artifacts"",
         ""Quotes"": """"Hide Artifacts techniques involve concealing the existence of artifacts or obstructing the ability of defensive tools to locate and retrieve them."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected. The malware is attempting to hide its artifacts by mimicking a '404 Not Found' error.""
     }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1564"",
     ""Technique Name"": ""Hide Artifacts"",
     ""Quotes"": ""Adversaries may attempt to hide artifacts associated with their behaviors to evade detection."",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]","['T1056', 'T1564']",['T1056'],"['T1056', 'T1564']","['T1056', 'T1564']",['T1056']
976,"[
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1114"",
     ""Technique name"": ""Email Collection"",
     ""Quotes"": ""Adversaries may target user email to collect sensitive information"",
     ""Explanation"": ""This rule looks for attempts to access .bat files, which could be used to collect email addresses or other sensitive information.""
   },
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule looks for attempts to access .bat files, which could be used to drive-by download malware or other malicious content.""
   }
 ][
         ""sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
         ""Explanation"": ""This rule detects attempts to access .bat files, which can be used to execute arbitrary commands on the web server.""
     },
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1498"",
         ""Technique name"": ""Network Denial of Service"",
         ""Quotes"": ""Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users."",
         ""Explanation"": ""This rule can also be used to launch Denial of Service attacks by sending large numbers of requests to the web server.""
     }
 ][
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule matches requests for .bat files on a web server. This could indicate an attempt to exploit a vulnerability that allows arbitrary code execution through a web application.""
 ]","['T1190', 'T1609', 'T1114', 'T1498', 'T1105', 'T1189', 'T1495', 'T1110', 'T1499', 'T1203', 'T1106']","['T1189', 'T1190']","['T1114', 'T1189', 'T1190', 'T1498']","['T1189', 'T1114']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1046"",
     ""Technique name"": ""Network Service Discovery"",
     ""Quotes"": ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation"",
     ""Explanation"": ""The event is related to reconnaissance activity, specifically an attempt to access the .htaccess file on a web server. Discovering .htaccess files can provide valuable information, such as the presence of sensitive configuration settings.""
   }
 ][
   ""sid"": ""1129"",
   ""Technique ID"": ""T1046"",
   ""Technique name"": ""Network Service Discovery"",
   ""Quotes"": ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation"",
   ""Explanation"": ""This rule checks for requests to access the \"".htaccess\"" file, which contains server configuration information and may be used by adversaries to gain insight into the target system's web server configuration.""
 ][
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Query Directory Listing"",
         ""Quotes"": ""Adversaries may attempt to obtain a directory listing of files and directories on web servers as a means of information gathering, which can aid in identifying sensitive information or exploitable files."",
         ""Explanation"": ""This rule detects attempts to access .htaccess files, which can contain sensitive configuration information for web applications.""
     ]","['T1046', 'T1049', 'T1497', 'T1190', 'T1484']","['T1190', 'T1046']","['T1046', 'T1170']","['T1046', 'T1170']",['T1218']
27967,"[
 ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": ""Web shells are malicious scripts that are uploaded to a compromised website to provide remote access to an adversary"",
         ""Explanation"": ""The rule looks for web shell activity, which is a technique commonly used by adversaries to maintain remote access to compromised systems.""
     ][
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique Name"": ""Web Shell"",
     ""Quotes"": """"Web shells are scripts that provide an adversary with remote access to a web server and can be used to execute commands, modify files, and perform other malicious activities."""",
     ""Explanation"": ""This rule looks for traffic that contains the string ""caidao="" which is associated with the Chopper web shell. The web shell is often used by attackers to gain remote access to a web server and perform malicious activities.""
   },
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1105"",
     ""Technique Name"": ""Ingress Tool Transfer"",
     ""Quotes"": """"Adversaries may transfer tools or other files from an external system into a compromised environment."""",
     ""Explanation"": ""The rule looks for web shell connection attempts. Web shells are malicious scripts that allow remote access to a web server. This technique involves transferring a web shell to the target system, which can be used to execute commands, modify files, and perform other malicious activities.""
   }
 ][
         ""sid"": ""27967"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment."",
         ""Explanation"": ""This rule detects the presence of the Chopper backdoor, which is a web shell that allows an attacker to remotely execute commands on the compromised system.""
     ],
     [
         ""sid"": ""27967"",
         ""Technique ID"": ""T1490"",
         ""Technique name"": ""Inhibit System Recovery"",
         ""Quotes"": ""Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery."",
         ""Explanation"": ""The Chopper backdoor has the ability to disable system recovery mechanisms, making it difficult to restore the system to a previous state.""
     ]
 ]","['T1560', 'T1105', 'T1490', 'T1102', 'T1203']","['T1102', 'T1203']","['T1100', 'T1105', 'T1490']","['T1100', 'T1105']","['T1505', 'T1219']"
29869,"[
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""Phishing is the fraudulent practice of sending emails purporting to be from reputable companies in order to induce individuals to reveal personal information, such as passwords and credit card numbers."",
     ""Explanation"": ""This rule looks for phishing attacks that attempt to trick users into downloading and executing malware.""
   }
 ][
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique Name"": ""Phishing"",
     ""Quotes"": ""Adversaries may send phishing messages to gain access to victim systems"",
     ""Explanation"": ""This rule detects phishing attempts that use the ""facebook.com.exe"" file as a lure to trick users into providing sensitive information.""
   },
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1566"",
     ""Technique Name"": ""Phishing"",
     ""Quotes"": ""Adversaries may send phishing messages to gain access to victim systems"",
     ""Explanation"": ""This rule detects phishing attempts that use the ""facebook.com.exe"" file as a lure to trick users into providing sensitive information.""
   }
 ][
         ""sid"": ""29869"",
         ""Technique ID"": ""T1566"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": """",
         ""Explanation"": ""This rule looks for phishing attacks that attempt to trick users into providing sensitive information by mimicking a legitimate website (in this case, Facebook).""
     ]","['T1566', 'T1056']","['T1566', 'T1056']","['T1192', 'T1566']","['T1192', 'T1566']",['T1566']
31807,"[
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": [
       ""Adversaries may steal data by exfiltrating it over an existing command and control channel.""
     ],
     ""Explanation"": ""Data exfiltration attempts via a Trojan (Nighthunter) are being detected.""
   },
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1078"",
     ""Technique name"": ""Valid Accounts"",
     ""Quotes"": [
       ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.""
     ],
     ""Explanation"": ""The rule looks for a compromised system contacting a C2 server using valid accounts.""
   }
 ][
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel"",
         ""Explanation"": ""This rule detects the exfiltration of data over SMTP as the adversary attempts to send an email with the subject line \""Limitless Logger\"" that contains the stolen data.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
         ""Explanation"": ""This rule detects the exfiltration of data over the established SMTP connection that is typically used as a command and control channel.""
     }
 ][
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
     ""Explanation"": ""This rule detects exfiltration attempts by a known Trojan variant over an established connection on ports 587 and 2525, which are commonly used for SMTP traffic.""
   },
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1071"",
     ""Technique name"": ""Application Layer Protocol"",
     ""Quotes"": ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic"",
     ""Explanation"": ""The rule matches specific content within SMTP traffic, indicating that the adversary is using an application layer protocol to exfiltrate data while attempting to blend in with legitimate communication.""
   }
 ]","['T1048', 'T1102', 'T1041', 'T1537', 'T1078', 'T1567', 'T1021', 'T1071']","['T1071', 'T1102']","['T1041', 'T1078', 'T1048', 'T1071']","['T1041', 'T1078']",['T1020']
58751,"[
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's ""Lookup"" functionality.""
 ][
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's ""Lookup"" functionality over SMTP.""
 ][
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's ""Lookup"" functionality.""
   }
 ]","['T1190', 'T1583', 'T1210', 'T1497']",['T1190'],['T1190'],['T1190'],['T1190']
36100,"
 {}
 [
         ""sid"": ""36100"",
         ""Technique ID"": ""T1078"",
         ""Technique name"": ""Valid Accounts"",
         ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."",
         ""Explanation"": ""This rule detects exploitation attempts that target ManageEngine's default 'IntegrationUser' account.""
     ][
     ""sid"": ""36100"",
     ""Technique ID"": ""T1078"",
     ""Technique name"": ""Valid Accounts"",
     ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"",
     ""Explanation"": ""This rule detects the use of default credentials to access a ManageEngine OpManager instance, indicating an attempt to leverage valid accounts for unauthorized access.""
 ],
     ""sid"": ""36100"",
     ""Technique ID"": ""T1550"",
     ""Technique name"": ""Use Alternate Authentication Material"",
     ""Quotes"": ""Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."",
     ""Explanation"": ""This rule detects an attacker attempting to authenticate with default credentials, which can be used to bypass normal authentication mechanisms and gain unauthorized access.""
 ]","['T1110', 'T1078', 'T1598', 'T1552', 'T1591', 'T1654', 'T1588', 'T1190', 'T1556', 'T1569', 'T1550', 'T1590']","['T1078', 'T1190']","['T1078', 'T1550']","['T1078', 'T1550']",['T1078']
10096,"[
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information."",
         ""Explanation"": ""This rule looks for the presence of Win32.RemoteKeyLog.b, a keylogger that captures keystrokes. This aligns with the T1056 technique, as the malware is capturing user input to obtain sensitive information.""
     ],
     [
         ""sid"": ""10096"",
         ""Technique ID"": ""T1565"",
         ""Technique name"": ""Data Manipulation"",
         ""Quotes"": ""Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data."",
         ""Explanation"": ""The rule detects when Win32.RemoteKeyLog.b sends keystroke logs to an external server. This action modifies data (keystrokes) to hide malicious activity, aligning with the T1565 technique.""
     ][
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""This rule detects a Keylogger, which captures user keystrokes.""
     ][
 {
 ""sid"": ""10096"",
 ""Technique ID"": ""T1056"",
 ""Technique name"": ""Input Capture"",
 ""Quotes"": ""\""Input Capture involves intercepting and capturing user input data, such as keystrokes, to obtain sensitive information\"""",
 ""Explanation"": ""The rule looks for a 'KEY' string in the traffic, which is a common technique used by keyloggers to capture keystrokes.""
 },
 {
 ""sid"": ""10096"",
 ""Technique ID"": ""T1497"",
 ""Technique name"": ""System Reconnaissance"",
 ""Quotes"": ""\""System Reconnaissance: Adversaries may gather information about a system to identify weaknesses and potential targets.\"""",
 ""Explanation"": ""The rule looks for a 'KEY' string in the traffic, which is a common technique used by adversaries to gather system information. By capturing keystrokes, adversaries can potentially access sensitive information like passwords or authentication tokens.""}
     ]","['T1056', 'T1565', 'T1588', 'T1574', 'T1055', 'T1195', 'T1083']","['T1056', 'T1574']","['T1056', 'T1565', 'T1497']","['T1056', 'T1565']",['T1056']
