Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Limit_Prompt_Without_Competition_With_Limit_Return,Without_Limit_Prompt_With_Competition_Without_Limit_Return,Without_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"
 {
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1583"",
   ""Technique Name"": ""Acquire Infrastructure"",
   ""Quotes"": [],
   ""Explanation"": ""The rule is for an HTTP attack attempt, which could use infrastructure to launch the attack.""
 }
 
 {
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1180"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attack attempt on a public-facing HTTP server, which is a common target for exploitation.""
 }
 
 {
   ""50094"": {
     ""Technique ID"": ""T1185"",
     ""Technique Name"": ""Browser Session Hijacking"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for a specific pattern in HTTP traffic that is typically used in browser session hijacking attacks.""
   }
 }
 ","['T1124', 'T1129', 'T1189', 'T1105', 'T1195', 'T1120', 'T1190', 'T1040', 'T1185', 'T1583', 'T1114']","['T1189', 'T1190']","['T1583', 'T1180', 'T1185']","['T1583', 'T1180']",['T1187']
38563,"
 [
   {
     ""Sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": [
       ""Adversaries may use methods of capturing user input to obtain credentials or collect information""
     ],
     ""Explanation"": ""The rule looks for a 404 response with a body containing the string \""requested URL / was not found \"". This suggests that an adversary is attempting to capture user input by sending a malformed request to a web server, and then parsing the response to extract the user's input.""
   }
 ]
 
 {
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""Adversaries may use methods of capturing user input to obtain credentials or collect information""
   ],
   ""Explanation"": ""The rule looks for a 404 response from a web server that includes the string \""requested URL / was not found \"". This suggests that the server is attempting to capture user input, which could be used to obtain credentials or other sensitive information.""
 }
 
 [
   {
     ""Sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": [
       ""\""Adversaries may use methods of capturing user input to obtain credentials or collect information\""""
     ],
     ""Explanation"": ""The Snort rule triggers on a HTTP response with the string \""404 Not Found< ... requested URL / was not found \"" which indicates that a web server is returning a fake 404 response, which could be an attempt to capture user input, such as a password or other sensitive information.""
   }
 ]
 ",['T1056'],['T1056'],['T1056'],['T1056'],['T1056']
976,"{
   ""Sid"": ""976"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on HTTP traffic containing \"".bat?\"" and \""/cgi-bin/\"", indicating an attempt to exploit a web application vulnerability using a BAT file or CGI script.""
 }
 {
   ""Sid"": ""976"",
   ""Technique ID"": ""T1040"",
   ""Technique Name"": ""Network Sniffing"",
   ""Quotes"": [
     ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network""
   ],
   ""Explanation"": ""The rule triggers on traffic containing '.bat?' and '/cgi-bin/',""
   "" which are often used in web application attacks and may indicate an attempt to capture authentication material passed over the network.""
 }
 
 [
   {
     ""Sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique Name"": ""Web Shell"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects access to a .bat file, which could be used to upload a web shell.""
   }
 ]
 ","['T1047', 'T1113', 'T1114', 'T1036', 'T1195', 'T1137', 'T1190', 'T1203', 'T1040', 'T1110', 'T1071', 'T1136', 'T1005', 'T1039', 'T1025']","['T1071', 'T1047']","['T1190', 'T1040', 'T1189']","['T1190', 'T1040']",['T1204']
1129,"
 {
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1170"",
   ""Technique Name"": ""Password Spraying"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for a .htaccess file access, which can be used to obtain sensitive information about the web server configuration (e.g., usernames and passwords). Password spraying attempts to compromise multiple user accounts with a single password.""
 }
 
 {
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1170"",
   ""Technique Name"": ""Web Server Discovery"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when a request includes '.htaccess' in the URI, which is a common file used for server configuration. This indicates that the attacker is attempting to discover more information about the server's configuration and potential vulnerabilities.""
 }
 
 {}
 ",[],[],['T1170'],['T1170'],['T1218']
27967,"
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1105"",
   ""Technique Name"": ""Ingress Tool Transfer"",
   ""Quotes"": [
     ""Adversaries may transfer tools or other files from an external system into a compromised environment""
   ],
   ""Explanation"": ""The rule detects a web shell connection, which is a tool that can be used to transfer files from an external system into a compromised environment. This matches the definition of Ingress Tool Transfer.""
 }
 
 [
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1134"",
     ""Technique Name"": ""Access Token Manipulation"",
     ""Quotes"": [],
     ""Explanation"": ""This rule detects a web shell connection for the Win.Backdoor.Chopper malware. The malware uses a technique called access token manipulation to modify access tokens and operate under a different user or system security context to perform actions and bypass access controls.""
   }
 ]
 
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1133"",
   ""Technique Name"": ""External Remote Services"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects a web shell connection to a remote server, indicating that an adversary may be using an external remote service to access the network.""
 }
 ","['T1105', 'T1133', 'T1190', 'T1211', 'T1134']","['T1190', 'T1133']","['T1105', 'T1134', 'T1133']","['T1105', 'T1134']","['T1505', 'T1219']"
29869,"{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1566"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Adversaries may send phishing messages to gain access to victim systems""
   ],
   ""Explanation"": ""The rule contains the string \""facebook.com.exe\"" which is a common phishing technique.""
 }{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1192"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Adversaries may send phishing messages to gain access to victim systems""
   ],
   ""Explanation"": ""The Snort rule contains the keyword \""phishing\"" and triggers when a Facebook executable is downloaded. Phishing attacks often use social engineering tactics to trick victims into clicking on malicious links or downloading malware, which can lead to the compromise of victim systems.""
 }
 {
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1566"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Adversaries may send phishing messages to gain access to victim systems""
   ],
   ""Explanation"": ""The rule contains the term \""phishing\"", which is a keyword associated with the T1566 technique. The rule also mentions \""facebook.com.exe\"", which could be a phishing attempt to trick users into downloading malware or providing their personal information.""
 }
 ",['T1566'],['T1566'],"['T1566', 'T1192']","['T1566', 'T1192']",['T1566']
31807,"
 {
   ""Sid"": ""31807"",
   ""Technique ID"": ""T1040"",
   ""Technique Name"": ""Network Sniffing"",
   ""Quotes"": null,
   ""Explanation"": ""The rule uses content matching to detect exfiltration attempts by matching on the subject of the email, which indicates that the adversary is using network sniffing to capture information about the environment, including authentication material passed over the network.""
 }
 
 [
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": [],
     ""Explanation"": ""The rule uses network sniffing to capture information about an environment, including authentication material passed over the network.""
   },
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attempt to exfiltrate data over an existing command and control channel.""
   }
 ]
 
 [
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": [],
     ""Explanation"": ""The rule uses network sniffing to capture information about the environment, including authentication material passed over the network.""
   },
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects data exfiltration over an existing command and control channel.""
   },
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1560"",
     ""Technique Name"": ""Archive Collected Data"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects data that is compressed and/or encrypted prior to exfiltration.""
   }
 ]
 ","['T1078', 'T1102', 'T1029', 'T1041', 'T1036', 'T1569', 'T1588', 'T1083', 'T1040', 'T1059', 'T1560']","['T1078', 'T1102']","['T1040', 'T1041', 'T1560']","['T1040', 'T1041']",['T1020']
58751,"
 {
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1212"",
   ""Technique Name"": ""Exploitation for Credential Access"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for attempts to exploit vulnerabilities in Apache Log4j to execute remote code, which could lead to credential access.""
 }
 
 {
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on an attempt to exploit Apache Log4j, a public-facing web application.""
 }
 
 [
   {
     ""Sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers if Apache Log4j remote code execution attempt is detected, which can result in exploitation of a public-facing application.""
   }
 ]
 ","['T1127', 'T1047', 'T1190', 'T1105', 'T1518', 'T1543', 'T1212', 'T1659', 'T1001']","['T1047', 'T1190']","['T1212', 'T1190']","['T1212', 'T1190']",['T1190']
36100,"{
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1552"",
   ""Technique Name"": ""Unsecured Credentials"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on an attempted authentication to ManageEngine OpManager using default credentials, which suggests that unsecured credentials are being used.""
 }{""Sid"": ""36100"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": [], ""Explanation"": ""The rule looks for an authentication attempt to a ManageEngine OpManager instance using default credentials. This indicates that an attacker is trying to use a brute-force technique to gain access to the system.""}{""Sid"": ""36100"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": null, ""Explanation"": ""The rule looks for attempts to authenticate to ManageEngine OpManager using default credentials, which suggests a brute force attack.""}","['T1552', 'T1593', 'T1546', 'T1036', 'T1556', 'T1190', 'T1112', 'T1110', 'T1547', 'T1136', 'T1555']","['T1190', 'T1110']","['T1552', 'T1110']","['T1552', 'T1110']",['T1078']
10096,"
 [
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1113"",
     ""Technique Name"": ""Screen Capture"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for the presence of the string \""KEY\"" in the traffic, which could indicate that a keylogger is attempting to capture keystrokes.""
   },
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1036"",
     ""Technique Name"": ""Masquerading"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for the presence of the string \""KEY\"" in the traffic, which could indicate that an adversary is attempting to masquerade as a legitimate user by capturing their keystrokes.""
   }
 ]
 
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1036"",
   ""Technique Name"": ""Masquerading"",
   ""Quotes"": [],
   ""Explanation"": ""Keyloggers often attempt to disguise themselves as legitimate system processes or benign activities to evade detection.""
 }
 
 [
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1074"",
     ""Technique Name"": ""Data Staged"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for the string 'KEY' in the content of the packet, which could indicate that a keylogger is attempting to send collected data to a remote server. The 'Data Staged' technique involves staging collected data in a central location or directory prior to exfiltration, which is consistent with the behavior described in the rule.""
   }
 ]
 ","['T1047', 'T1113', 'T1573', 'T1036', 'T1007', 'T1219', 'T1083', 'T1092', 'T1020', 'T1074']","['T1219', 'T1020']","['T1113', 'T1036', 'T1074']","['T1036', 'T1113']",['T1056']
