Sid,Response,With_Limit_Prompt_Without_Competition_Without_Limit_Return,With_Limit_Prompt_Without_Competition_With_Limit_Return,With_Limit_Prompt_With_Competition_Without_Limit_Return,With_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"[
   {
     ""Sid"": ""50094"",
     ""Technique ID"": ""T1195"",
     ""Technique Name"": ""Supply Chain Compromise"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attack that attempts to poison the DNS responder by sending a specially crafted HTTP request with an embedded image tag that points to a malicious file hosted on a compromised web server. This technique involves manipulating a product or product delivery mechanism prior to receipt by a final consumer for the purpose of data or system compromise, which aligns with the definition of Supply Chain Compromise.""
   },
   {
     ""Sid"": ""50094"",
     ""Technique ID"": ""T1189"",
     ""Technique Name"": ""Drive-by Compromise"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attack that attempts to poison the DNS responder by sending a specially crafted HTTP request with an embedded image tag that points to a malicious file hosted on a compromised web server. This technique involves gaining access to a system through a user visiting a website over the normal course of browsing, which aligns with the definition of Drive-by Compromise.""
   }
 ]{""Sid"": ""50094"", ""Technique ID"": ""T1189"", ""Technique Name"": ""Drive-by Compromise"", ""Quotes"": [], ""Explanation"": ""The rule triggers when a malicious script is embedded in an image tag on a website, which could lead to a drive-by compromise attack.""}{
 ""Sid"": ""50094"",
 ""Technique ID"": ""T1190"",
 ""Technique Name"": ""Exploit Public-Facing Application"",
 ""Quotes"": null,
 ""Explanation"": ""The rule looks for HTTP requests containing a URL that references a file on a remote server, which could be an attempt to exploit a web application vulnerability.""
 }
 {
 ""Sid"": ""50094"",
 ""Technique ID"": ""T1189"",
 ""Technique Name"": ""Drive-by Compromise"",
 ""Quotes"": null,
 ""Explanation"": ""The rule looks for HTTP requests containing a URL that references a file on a remote server, which could be an attempt to exploit a web browser vulnerability.""
 }","['T1220', 'T1129', 'T1189', 'T1105', 'T1195', 'T1608', 'T1566', 'T1190', 'T1083', 'T1135', 'T1027', 'T1092', 'T1557', 'T1132']","['T1189', 'T1220']","['T1195', 'T1189', 'T1190']","['T1189', 'T1195']",['T1187']
38563,"
 {
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""Adversaries may use methods of capturing user input to obtain credentials or collect information""
   ],
   ""Explanation"": ""The rule triggers an alert when a client receives a fake 404 response from a server, which may be an attempt to trick the user into inputting their credentials. This is related to Input Capture because the adversary is attempting to capture user input in order to obtain credentials.""
 }
 
 [
   {
     ""Sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": [
       ""Adversaries may use methods of capturing user input to obtain credentials or collect information""
     ],
     ""Explanation"": ""The rule looks for a fake 404 response from a malware CNC, which could be an attempt to capture user input, such as credentials.""
   }
 ]
 
 {}
 ","['T1056', 'T1114', 'T1113', 'T1083', 'T1495']","['T1056', 'T1083']",['T1056'],['T1056'],['T1056']
976,"
 {
   ""Sid"": 976,
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Brute Force"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for HTTP traffic containing \"".bat?\"" and \""/cgi-bin/\"". This type of traffic could be used in brute-force attacks against web applications.""
 }
 
 {
   ""Sid"": ""976"",
   ""Technique ID"": ""T1048"",
   ""Technique Name"": ""Exfiltration Over Alternative Protocol"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for .bat files being accessed over HTTP, which could be an indication of data exfiltration over an alternative protocol.""
 }
 
 [
   {
     ""Sid"": ""976"",
     ""Technique ID"": ""T1114"",
     ""Technique Name"": ""Email Collection"",
     ""Quotes"": [],
     ""Explanation"": ""The rule searches for a specific string in the HTTP URI, including “.bat?”, which is an indicator of malicious activity. This technique is about collecting sensitive information from user email, which could include the keywords present in the rule.""
   },
   {
     ""Sid"": ""976"",
     ""Technique ID"": ""T1102"",
     ""Technique Name"": ""Web Service"",
     ""Quotes"": [],
     ""Explanation"": ""The rule searches for a specific string in the HTTP URI, including \""/cgi-bin/\"", which is an indicator of malicious activity. This technique involves using a legitimate external Web service to facilitate data relay, which could be the purpose of the suspicious URI.""
   }
 ]
 ","['T1047', 'T1102', 'T1021', 'T1053', 'T1114', 'T1048', 'T1534', 'T1007', 'T1012', 'T1563', 'T1203', 'T1211', 'T1040', 'T1027', 'T1110', 'T1197', 'T1119', 'T1530']","['T1047', 'T1102']","['T1110', 'T1048', 'T1114', 'T1102']","['T1110', 'T1048']",['T1204']
1129,"
 {}
 {json}
 {}
 
 [
   {
     ""Sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""System Information Discovery"",
     ""Quotes"": [
       ""\""Adversaries may try to gather information about the operating system, hardware architecture, and user accounts on a system\""""
     ],
     ""Explanation"": ""The rule alerts on access to \"".htaccess\"" files, which could be an attempt by an adversary to gather information about the web application's configuration.""
   },
   {
     ""Sid"": ""1129"",
     ""Technique ID"": ""T1048"",
     ""Technique Name"": ""Exfiltration Over Alternative Protocol"",
     ""Quotes"": [
       ""\""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel\""""
     ],
     ""Explanation"": ""The rule includes the string \"".htaccess\"" in its detection pattern, which is what might contain credentials and other secrets. Thus, the rule is also likely to detect attempts to exfiltrate data over an HTTP connection.""
   }
 ]
 ","['T1048', 'T1007']",['T1048'],"['T1170', 'T1048']","['T1170', 'T1048']",['T1218']
27967,"[
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1102"",
     ""Technique Name"": ""Web Service"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects a connection to a specific port range and checks for specific content in the HTTP header and body. This technique is used to detect a web shell connection, which is a type of backdoor that allows an attacker to execute commands on a web server. The rule also includes a reference to the MITRE ATT&CK technique T1100, which is related to web shell activity.""
   },
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Brute Force"",
     ""Quotes"": [],
     ""Explanation"": ""The rule checks for specific content in the HTTP header and body. Brute force is a technique used to gain access to accounts by trying different combinations of usernames and passwords.""
   }
 ][
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1102"",
     ""Technique Name"": ""Web Service"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects a web shell connection to a remote host, which is a technique commonly used by adversaries to establish a command and control channel.""
   },
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1106"",
     ""Technique Name"": ""Native API"",
     ""Quotes"": [],
     ""Explanation"": ""The rule also includes a pcre operation that looks for specific strings within the HTTP client body, which could indicate that the attacker is using native API calls to execute commands on the compromised system.""
   }
 ]
 [
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1102"",
     ""Technique Name"": ""Web Service"",
     ""Quotes"": ""Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system"",
     ""Explanation"": ""The rule detects a web shell using the HTTP header \""X-Forwarded-For\"" and the HTTP client body containing the string \""caidao\"". Adversaries may use an existing, legitimate external Web service to relay data to/from a compromised system, which could include using a web shell to execute commands on the compromised system.""
   },
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1104"",
     ""Technique Name"": ""Multi-Stage Channels"",
     ""Quotes"": ""Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions"",
     ""Explanation"": ""The rule detects a web shell that uses multiple stages for command and control. The first stage is the web shell itself, which is used to establish a connection to the adversary's command and control server. The second stage is the payload, which is executed by the web shell and used to perform malicious activities on the compromised system.""
   }
 ]
 ","['T1102', 'T1550', 'T1105', 'T1082', 'T1187', 'T1104', 'T1106', 'T1110', 'T1092', 'T1136']","['T1102', 'T1187']","['T1102', 'T1110', 'T1106', 'T1104']","['T1102', 'T1110']","['T1505', 'T1219']"
29869,"[
   {
     ""Sid"": ""29869"",
     ""Technique ID"": ""T1566"",
     ""Technique Name"": ""Phishing"",
     ""Quotes"": [
       ""Adversaries may send phishing messages to gain access to victim systems""
     ],
     ""Explanation"": ""The rule contains \""facebook.com.exe\"" string which is commonly used in phishing attacks. The technique T1566 involves sending phishing messages to gain access to victim systems, which aligns with the rule's purpose of detecting phishing attacks.""
   }
 ]{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1566"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Adversaries may send phishing messages to gain access to victim systems""
   ],
   ""Explanation"": ""The rule mentions 'phishing attack' which is related to phishing emails.""
 }{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1566"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Adversaries may send phishing messages to gain access to victim systems""
   ],
   ""Explanation"": ""The rule triggers when traffic contains the string \""facebook.com.exe\"". Phishing attacks often involve sending emails or messages with malicious links or attachments that appear to be from legitimate sources, such as banks or social media platforms. The goal of these attacks is to trick victims into clicking on the links or opening the attachments, which can lead to the installation of malware on their systems. In this case, the rule is likely detecting a phishing attack that is attempting to trick victims into downloading and executing the Napolar trojan.""
 }","['T1566', 'T1580']",['T1566'],['T1566'],['T1566'],['T1566']
31807,"[
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": [
       ""Adversaries may steal data by exfiltrating it over an existing command and control channel""
     ],
     ""Explanation"": ""\""MALWARE-CNC Win.Trojan.Nighthunter data exfiltration attempt\"" indicates that the alert involves a Trojan attempting to exfiltrate data, which is a tactic commonly associated with C2 communication.""
   },
   {
     ""Sid"": ""31807"",
     ""Technique ID"": ""T1027"",
     ""Technique Name"": ""Obfuscated Files or Information"",
     ""Quotes"": [
       ""Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit""
     ],
     ""Explanation"": ""The alert mentions \""Subject|3A| Limitless Logger |3A 20 3A| Execution Confirmation\"" in the content pattern, which suggests that the Trojan may be attempting to obfuscate its communication or payload.""
   }
 ]{}
 {
   ""Sid"": ""31807"",
   ""Technique ID"": ""T1041"",
   ""Technique Name"": ""Exfiltration Over C2 Channel"",
   ""Quotes"": [
     ""Adversaries may steal data by exfiltrating it over an existing command and control channel""
   ],
   ""Explanation"": ""The rule triggers when the SMTP service detects the \""Limitless Logger\"" string in the subject line of an email, indicating an attempt to exfiltrate data over an existing command and control channel.""
 }
 ","['T1078', 'T1047', 'T1029', 'T1593', 'T1041', 'T1570', 'T1528', 'T1563', 'T1048', 'T1040', 'T1027', 'T1586', 'T1020', 'T1005', 'T1039']","['T1020', 'T1078']","['T1041', 'T1027']","['T1041', 'T1027']",['T1020']
58751,"{
  ""Sid"": ""58751"",
  ""Technique ID"": ""T1190"",
  ""Technique Name"": ""Exploit Public-Facing Application"",
  ""Quotes"": [],
  ""Explanation"": ""The rule triggers when an HTTP request contains a string that matches the regular expression \""^[\w\x2d\x20]+\x3a[^\r\n]*?\x24\x7b(jndi|lower|upper)\x3a/im\"". This regular expression matches strings that contain the substring \""jndi:\"", \""lower:\"", or \""upper:\"", which are commonly used in Java Naming and Directory Interface (JNDI) attacks. JNDI attacks exploit vulnerabilities in Java applications to execute arbitrary code on the target system. By matching these strings, the rule can detect and block potential JNDI attacks that target public-facing web applications.""
 }
 {
  ""Sid"": ""58751"",
  ""Technique ID"": ""T1040"",
  ""Technique Name"": ""Network Sniffing"",
  ""Quotes"": [],
  ""Explanation"": ""The rule triggers when an HTTP request contains a string that matches the regular expression \""^[\w\x2d\x20]+\x3a[^\r\n]*?\x24\x7b(jndi|lower|upper)\x3a/im\"". This regular expression matches strings that contain the substring \""jndi:\"", \""lower:\"", or \""upper:\"", which are commonly used in Java Naming and Directory Interface (JNDI) attacks. By matching these strings, the rule can detect and block potential JNDI attacks that target public-facing web applications.""
 }
 {}
 {
     ""Sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attempt to exploit a vulnerability in a public-facing SMTP server using a remote code execution payload.""
 }","['T1497', 'T1190', 'T1210', 'T1114', 'T1048', 'T1105', 'T1036', 'T1518', 'T1012', 'T1212', 'T1040', 'T1499', 'T1087', 'T1134', 'T1140']","['T1190', 'T1048']","['T1190', 'T1040']","['T1190', 'T1040']",['T1190']
36100,"
 [
   {
     ""Sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Brute Force"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers when an attacker attempts to authenticate to ManageEngine OpManager using the default credentials 'IntegrationUser' and 'plugin'. This suggests that the attacker is using a brute-force technique to gain access to the system.""
   },
   {
     ""Sid"": ""36100"",
     ""Technique ID"": ""T1552"",
     ""Technique Name"": ""Unsecured Credentials"",
     ""Quotes"": [],
     ""Explanation"": ""The rule also indicates that the system is using default credentials, which are considered insecure. This makes the system more vulnerable to brute-force attacks.""
   }
 ]
 {""Sid"": ""36100"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": [], ""Explanation"": ""The rule looks for attempts to authenticate to ManageEngine OpManager using default credentials. Brute force is a technique that involves trying a large number of possible passwords or passphrases until the correct one is found.""}{""Sid"": ""36100"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": ""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained"", ""Explanation"": ""The rule is looking for a specific HTTP request to a ManageEngine OpManager login page, with a username of \""IntegrationUser\"" and a password of \""plugin\"". This suggests that the adversary is attempting to brute-force the password for the \""IntegrationUser\"" account.""}, {""Sid"": ""36100"", ""Technique ID"": ""T1566"", ""Technique Name"": ""Phishing"", ""Quotes"": ""Adversaries may send phishing messages to gain access to victim systems"", ""Explanation"": ""The rule is looking for a specific HTTP request to a ManageEngine OpManager login page, with a username of \""IntegrationUser\"" and a password of \""plugin\"". This suggests that the adversary is sending a phishing email to the \""IntegrationUser\"" account, in an attempt to trick the user into providing their credentials.""}","['T1552', 'T1204', 'T1021', 'T1114', 'T1525', 'T1528', 'T1566', 'T1190', 'T1212', 'T1110', 'T1197', 'T1555']","['T1204', 'T1021']","['T1110', 'T1552', 'T1566']","['T1110', 'T1552']",['T1078']
10096,"
 [
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects network traffic containing the string \""KEY\"", which could be indicative of a keylogger attempting to exfiltrate captured keystrokes. Network sniffing involves capturing network traffic, which could include keystrokes being transmitted over the network.""
   },
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1027"",
     ""Technique Name"": ""Obfuscated Files or Information"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for the string \""KEY\"" in network traffic, which could be indicative of an attempt to obfuscate or hide malicious content. Obfuscated files or information involves encrypting, encoding, or otherwise disguising malicious content to evade detection.""
   }
 ]
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1113"",
   ""Technique Name"": ""Screen Capture"",
   ""Quotes"": [],
   ""Explanation"": ""This Snort rule detects keylogging activity, which could be used to capture screenshots of the user's desktop.""
 }
 [
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1123"",
     ""Technique Name"": ""Audio Capture"",
     ""Quotes"": [
       ""An adversary can leverage a computer's peripheral devices (""
     ],
     ""Explanation"": ""The rule is looking for a 'KEY' in the content, which is related to audio capture.""
   },
   {
     ""Sid"": ""10096"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": [
       ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network""
     ],
     ""Explanation"": ""The rule is looking for a 'KEY' in the content of the network traffic, which is related to network sniffing.""
   }
 ]
 ","['T1047', 'T1113', 'T1114', 'T1036', 'T1564', 'T1016', 'T1012', 'T1203', 'T1040', 'T1027', 'T1659', 'T1123', 'T1030']","['T1047', 'T1027']","['T1040', 'T1027', 'T1113', 'T1123']","['T1040', 'T1027']",['T1056']
