Sid,Response,Technique_id,True_labels
50094,"[
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1105"",
     ""Technique Name"": ""Injection"",
     ""Quotes"": ""Adversaries may inject code into a system to cause effects on the host system, such as modifying the behavior of system processes or data."",
     ""Explanation"": ""This rule detects an attempt to poison a Responder host by injecting malicious data into an HTTP request.""
   },
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1521"",
     ""Technique Name"": ""Defacement"",
     ""Quotes"": ""Adversaries may modify content on a website or webpage as a means of disrupting normal operations or spreading propaganda."",
     ""Explanation"": ""The attack involves poisoning the Responder host, which could lead to defacing of websites or other malicious activities.""[
         ""sid"": ""50094"",
         ""Technique ID"": ""T1484"",
         ""Technique name"": ""Deobfuscate/Decode Files or Information"",
         ""Quotes"": """"Deobfuscation techniques restore encoded or encrypted files or information to a usable format. The rule detects an attack attempt using the Responder poisoner, which often involves decoding or deobfuscating encoded content to execute malicious actions"""",
         ""Explanation"": ""The rule detects an attack attempt using the Responder poisoner, which often involves decoding or deobfuscating encoded content to execute malicious actions.""
     ],
     [
 
         ""sid"": ""50094"",
         ""Technique ID"": ""T1114"",
         ""Technique name"": ""Email Collection"",
         ""Quotes"": """"Email Collection involves collecting email addresses from a variety of sources"""",
         ""Explanation"": ""The rule triggers when it detects an attempt to exploit the Responder poisoner attack, which commonly uses email addresses to spread malware or conduct phishing attacks.""
     ],
     [
         ""sid"": ""50094"",
         ""Technique ID"": ""T1068"",
         ""Technique name"": ""Subvert Trust Controls"",
         ""Quotes"": """"Adversaries may attempt to subvert trust controls, such as digital certificates, to gain access to trusted systems or resources"""",
         ""Explanation"": ""Responder poisoner attacks often involve exploiting trust relationships to gain access to trusted systems or resources.""
     ]
 ][
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1568"",
     ""Technique name"": ""Poisoning"",
     ""Quotes"": ""Poisoning involves modifying data to cause errors, crashes, information disclosure, or some other unintended behavior."",
     ""Explanation"": ""This rule looks for attempts to poison the cache of a DNS server by sending a specially crafted DNS response.""
   }
 ]","['T1105', 'T1521']",['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."""",
     ""Explanation"": ""This rule detects when a web server returns a fake 404 Not Found response, which is a technique used by malware to disguise its communication with a command and control server.""
   }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""The rule looks for a '404 Not Found' error message in HTTP traffic, which could be an indicator of a keylogger attempting to blend in with legitimate traffic""
   }
 ]",['T1056'],['T1056']
976,"[
         ""sid"": ""976"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing."",
         ""Explanation"": ""This rule looks for access to .bat files over HTTP, which could be used for drive-by compromise.""
     ][
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule looks for attempts to access .bat files, which could be used to execute malicious code on the web server.""
 ][
   {
     ""Sid"": ""976"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [
       ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.""
     ],
     ""Explanation"": ""This Snort rule detects attempts to access .bat files over HTTP, which could be an indication of an attacker trying to exploit a vulnerability in a web application.""
   }
 ]","['T1189', 'T1190']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Hidden Files and Directories"",
     ""Quotes"": ""Adversaries may attempt to use hidden directories or files to avoid detection of malicious content."",
     ""Explanation"": ""This rule looks for access to a hidden file named "".htaccess"" which can be used to modify the configuration of a web server and possibly execute arbitrary code.""
   }
 ][
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Validate Credentials"",
     ""Quotes"": ""Adversaries may attempt to obtain a valid account on the target network by validating credentials."",
     ""Explanation"": ""This rule detects attempts to access a '.htaccess' file, which is used to control access to a web directory. Attackers might try to access this file to validate credentials for a web application.""
   }
 ][
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Traffic Shaping"",
     ""Quotes"": ""Adversaries may modify network traffic to maintain anonymity, to evade detection, and to deliver malicious content."",
     ""Explanation"": ""This rule detects access to a '.htaccess' file, which can be used to modify the behaviour of a web server and can be used by attackers to gain access to sensitive information or to launch attacks.""
   }
 ]",['T1170'],['T1218']
27967,"
 {}
 [
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": ""\""Web shells are malicious scripts that attackers implant on web servers to facilitate remote code execution, command and control, and data exfiltration. The rule detects the presence of Chopper web shell, which is commonly used to create a backdoor on compromised web servers.\"""",
     ""Explanation"": ""This rule triggers when a web shell is detected, which can be used to execute commands or gain access to the webserver""
   }
 ]
 {}
 ",['T1100'],"['T1505', 'T1219']"
29869,"[
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1566"",
     ""Technique Name"": ""Phishing"",
     ""Quotes"": [
       ""Phishing techniques involve sending fraudulent emails or messages to trick victims into revealing sensitive information or clicking on malicious links.""
     ],
     ""Explanation"": ""The rule triggers when it detects a phishing attack involving a Trojan (Napolar) pretending to be from Facebook.""
   },
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1589"",
     ""Technique Name"": ""Gather Victim Identity Information"",
     ""Quotes"": [
       ""Gather Victim Identity Information techniques involve collecting information about the victim's identity to use in targeting or exploitation.""
     ],
     ""Explanation"": ""The rule suggests the presence of a Trojan that may attempt to gather user information.""
   }
 ][
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1566"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": """"Phishing techniques involve sending fraudulent messages to trick individuals into divulging sensitive information or taking actions that could compromise their systems. The rule detects a phishing attack related to a Trojan known as 'Napolar' that impersonates Facebook to deceive users into executing malware."""",
     ""Explanation"": """"
   },
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1589"",
     ""Technique name"": ""Gather Victim Identity Information"",
     ""Quotes"": """"Gather Victim Identity Information techniques involve methods used to collect information about the victim's identity, such as their name, email address, or other personal data. The phishing attack detected by the rule gathers the user's credentials by tricking them into interacting with a fake Facebook login page."""",
     ""Explanation"": """"
   }
 ][
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1566"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""\""Phishing is a common delivery method in social engineering attacks, and is frequently used to distribute malware. By providing an email or message that appears to come from a legitimate or familiar source attacker can often fool users into giving up credentials, or opening attachments or links to malicious payloads."""",
     ""Explanation"": ""The rule flags an email containing a link to \""facebook.com.exe\"", this link is crafted to look like the legitimate facebook website, but in reality is a malicious attempt to deliver the Win.Trojan.Napolar malware.""
   }
 ]","['T1566', 'T1589']",['T1566']
31807,"[
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1020"",
     ""Technique Name"": ""Automated Exfiltration"",
     ""Quotes"": """"Automated Exfiltration techniques involve using automated processes to exfiltrate data from a system after it has been gathered. The rule detects an attempt by the Nighthunter Trojan to exfiltrate data by sending an email with the subject 'Limitless Logger', which is a common method used by malware to automatically exfiltrate sensitive information."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1029"",
     ""Technique Name"": ""Scheduled Transfer"",
     ""Quotes"": """"Scheduled Transfer techniques involve scheduling data exfiltration to be performed only at certain times of day or at certain intervals. The rule detects an attempt by the Nighthunter Trojan to exfiltrate data at a specific time, which is a common method used by malware to avoid detection."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
     {
         ""Sid"": ""31807"",
         ""Technique ID"": ""T1020"",
         ""Technique Name"": ""Automated Exfiltration"",
         ""Quotes"": """"Automated Exfiltration techniques involve the use of automated processes to exfiltrate data after it has been gathered. This rule detects an attempt by the Nighthunter Trojan to exfiltrate data via an SMTP connection, which is a common method for adversaries to exfiltrate data in an automated fashion."""",
         ""Explanation"": ""The rule triggers based on specific content (a confirmation message) sent by the Nighthunter Trojan over SMTP, indicating an exfiltration attempt.""
     },
     {
         ""Sid"": ""31807"",
         ""Technique ID"": ""T1113"",
         ""Technique Name"": ""Screen Capture"",
         ""Quotes"": """"Screen Capture techniques involve taking screenshots of the desktop to gather information. This rule detects an attempt by the Nighthunter Trojan to send data over SMTP, which could potentially include screenshots or other visual data."""",
         ""Explanation"": ""The Nighthunter Trojan is known to use screen capture techniques to gather data, which could be sent via the detected SMTP connection.""
     }
 ][
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1020"",
     ""Technique Name"": ""Automated Exfiltration"",
     ""Quotes"": ""\""Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection\"""",
     ""Explanation"": ""The rule detects an attempt by malware (Win.Trojan.Nighthunter) to exfiltrate data using the SMTP protocol. Automated Exfiltration techniques may be used to exfiltrate gathered data.""
   },
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1029"",
     ""Technique Name"": ""Scheduled Transfer"",
     ""Quotes"": ""\""Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals\"""",
     ""Explanation"": ""The rule detects an attempt by malware (Win.Trojan.Nighthunter) to exfiltrate data using the SMTP protocol at a specific time or interval, which aligns with the Scheduled Transfer technique.""
   }
 ]","['T1020', 'T1029']",['T1020']
58751,"[
   ""sid"": ""58751"",
   ""Technique ID"": ""T1190"",
   ""Technique name"": ""Exploit Public-Facing Application"",
   ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
   ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""Lookup\"" functionality on SMTP servers.""
 ]
 {}
 [
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.\"""",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's \""Lookup\"" functionality on an SMTP server.""
   }
 ]",['T1190'],['T1190']
36100,"[
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1589"",
         ""Technique name"": ""Gather Victim Identity Information"",
         ""Quotes"": ""Adversaries may gather information about the victim's identity that can be used during targeting"",
         ""Explanation"": ""This rule looks for login attempts to ManageEngine OpManager using default credentials."",
         ""Additional Information"": """"
     },
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1586"",
         ""Technique name"": ""Compromise Accounts"",
         ""Quotes"": ""Adversaries may compromise accounts with services that can be used during targeting"",
         ""Explanation"": ""This rule looks for login attempts to ManageEngine OpManager using default credentials."",
         ""Additional Information"": """"
     }
 ][
         ""sid"": ""36100"",
         ""Technique ID"": ""T1589"",
         ""Technique name"": ""Gather Victim Identity Information"",
         ""Quotes"": ""Adversaries may gather information about the victim's identity that can be used during targeting."",
         ""Explanation"": ""This rule looks for attempts to authenticate to ManageEngine OpManager using default credentials, which could indicate an attempt to gather information about the victim's network or systems.""
     ],
     ""sid"": ""36100"",
     ""Technique ID"": ""T1586"",
     ""Technique name"": ""Compromise Accounts"",
     ""Quotes"": ""Adversaries may compromise accounts with services that can be used during targeting."",
     ""Explanation"": ""This rule looks for attempts to authenticate to ManageEngine OpManager using default credentials, which could indicate an attempt to compromise an account on the target network.""
 ][
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1589"",
     ""Technique name"": ""Gather Victim Identity Information"",
     ""Quotes"": ""Adversaries may gather information about the victim's identity that can be used during targeting."",
     ""Explanation"": ""This rule detects attempts to authenticate to the ManageEngine OpManager web application using default credentials, which could indicate an attacker attempting to gather information about potential victims.""
   },
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1586"",
     ""Technique name"": ""Compromise Accounts"",
     ""Quotes"": ""Adversaries may compromise accounts with services that can be used during targeting."",
     ""Explanation"": ""This rule detects attempts to authenticate to the ManageEngine OpManager web application using default credentials, which could indicate an attacker attempting to compromise an account for use in further attacks.""
   },
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique name"": ""Brute Force"",
     ""Quotes"": ""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained."",
     ""Explanation"": ""This rule detects attempts to authenticate to the ManageEngine OpManager web application using default credentials, which could indicate an attacker attempting to brute-force an account.""
   }
 ]","['T1589', 'T1586']",['T1078']
10096,"
 {}
 [
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates that the traffic matches signatures for keylogger malware (win32.remotekeylog.b), which is a type of malware that can capture keystrokes."""",
     ""Explanation"": """"T1056 (Input Capture) is a technique that involves capturing user input, such as keystrokes, in order to gain access to sensitive information. In this case, the alert detects activity related to a keylogger which is used to capture user input.""""""
   }
 ][
     {
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. This rule is triggered when the payload contains the string 'KEY', which suggests that a keylogger may be attempting to capture keystrokes."""",
         ""Explanation"": ""This rule detects the presence of a keylogger that is attempting to capture keystrokes.""
     }
 ]",['T1056'],['T1056']
