Sid,Response,Technique_id,True_labels
50094,"{}{""Techniques"": [{""Sid"": ""50094"", ""Technique ID"": ""T1047"", ""Technique Name"": ""Windows Management Instrumentation"", ""Quotes"": [""Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads""], ""Explanation"": ""The rule looks for the content \""<img src=|27|file://RespProxySrv/pictures/logo.jpg|27|\"" in HTTP traffic. This content is an attempt to use Windows Management Instrumentation (WMI) to execute a malicious command.""}, {""Sid"": ""50094"", ""Technique ID"": ""T1040"", ""Technique Name"": ""Network Sniffing"", ""Quotes"": [""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network""], ""Explanation"": ""The rule looks for the content \""<img src=|27|file://RespProxySrv/pictures/logo.jpg|27|\"" in HTTP traffic. This content is an attempt to sniff network traffic to capture information about the environment.""}]}{""Rules"": [{""Sid"": ""50094"", ""Technique ID"": ""T1659"", ""Technique Name"": ""Content Injection"", ""Quotes"": [""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic""], ""Explanation"": ""The rule detects attempts to inject malicious content into HTTP traffic, which is consistent with the technique of content injection.""}]}","['T1047', 'T1040']",['T1187']
38563,"{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information"", ""Explanation"": ""The rule is looking for a fake 404 response that contains the string 'requested URL / was not found '. This suggests that the adversary is attempting to capture user input in order to obtain credentials or collect information.""}{""Rules"": [{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": null, ""Explanation"": ""The rule is capable of detecting Win.Trojan.GateKeylogger malware which uses methods of capturing user input to obtain credentials or collect information.""}]}{""Rule_ID"":""38563"", ""Rule_Name"":""MALWARE-CNC Win.Trojan.GateKeylogger fake 404 response"", ""Techniques"":[{""Sid"":""38563-1"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information"", ""Explanation"": ""The rule is designed to detect fake 404 responses from a Win.Trojan.GateKeylogger malware, which could be used to capture user input and credentials.""}]}",['T1056'],['T1056']
976,"[]{""Matches"": [
   {
     ""Sid"": ""976"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for a .bat file in the URI, which could be an attempt to sniff network traffic""
   }
 ]}{}",['T1040'],['T1204']
1129,{}[]{},[],['T1218']
27967,"
 {}
 {""Rules"": [
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1105"",
     ""Technique Name"": ""Ingress Tool Transfer"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attempt to transfer a tool or file from an external system into the compromised environment using an HTTP connection.""
   }
 ]}{""techniques"": [{""Sid"": ""27967"", ""Technique ID"": ""T1105"", ""Technique Name"": ""Ingress Tool Transfer"", ""Quotes"": [], ""Explanation"": ""The rule triggers when an attacker tries to transfer tools or other files from an external system into a compromised environment.""}, {""Sid"": ""27967"", ""Technique ID"": ""T1195"", ""Technique Name"": ""Supply Chain Compromise"", ""Quotes"": [], ""Explanation"": ""The rule triggers when an attacker tries to manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.""}]}","['T1105', 'T1195']","['T1505', 'T1219']"
29869,"
 {}
 {}[]",[],['T1566']
31807,"{""Rules"": [{""Sid"": ""31807"", ""Technique ID"": ""T1020"", ""Technique Name"": ""Automated Exfiltration"", ""Quotes"": ""Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection"", ""Explanation"": ""The rule detects an attempt to exfiltrate data via SMTP, which is a common method used by malware to send data to a remote server.""}, {""Sid"": ""31807"", ""Technique ID"": ""T1041"", ""Technique Name"": ""Exfiltration Over C2 Channel"", ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"", ""Explanation"": ""The rule detects communication with a known C2 server, which is often used by malware to send data back to the attacker.""}]}{""Rules"": [{""Sid"": ""31807"", ""Technique ID"": ""T1020"", ""Technique Name"": ""Automated Exfiltration"", ""Quotes"": [
         """"
     ], ""Explanation"": ""The rule detects the exfiltration of data from a compromised system using an automated process.""}, {""Sid"": ""31807"", ""Technique ID"": ""T1041"", ""Technique Name"": ""Exfiltration Over C2 Channel"", ""Quotes"": [
         """"
     ], ""Explanation"": ""The rule detects the exfiltration of data from a compromised system over an existing command and control channel.""}]}{""31807"": [{""Sid"": ""31807"", ""Technique ID"": ""T1020"", ""Technique Name"": ""Automated Exfiltration"", ""Quotes"": ""Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection"", ""Explanation"": ""The rule description states \""MALWARE-CNC Win.Trojan.Nighthunter data exfiltration attempt\"", indicating that the rule is trying to detect when malware is attempting to exfiltrate data. Automated Exfiltration is a technique that can be used to steal data from a system by using automated scripts or programs to gather and exfiltrate the data.""}, {""Sid"": ""31807"", ""Technique ID"": ""T1041"", ""Technique Name"": ""Exfiltration Over C2 Channel"", ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"", ""Explanation"": ""The rule description states \""MALWARE-CNC\"" which indicates that the rule is related to Command and Control. Exfiltration Over C2 Channel is a technique that can be used to exfiltrate data from a system over an existing command and control channel.""}]}","['T1020', 'T1041']",['T1020']
58751,"{""Rules"": [{""Sid"": ""58751"", ""Technique ID"": ""T1111"", ""Technique Name"": ""Multi-Factor Authentication Interception"", ""Quotes"": null, ""Explanation"": ""The rule is looking for a specific pattern in the content of the traffic, which is consistent with an attempt to exploit a vulnerability in Apache Log4j. This vulnerability can be used to execute arbitrary code on the target system by exploiting a flaw in the way the logging library handles JNDI lookups. Successful exploitation of this vulnerability could allow an attacker to gain unauthorized access to the system, including the ability to exfiltrate data or execute malicious code.""}, {""Sid"": ""58751"", ""Technique ID"": ""T1040"", ""Technique Name"": ""Network Sniffing"", ""Quotes"": null, ""Explanation"": ""The rule is looking for a specific pattern in the content of the traffic, which is consistent with an attempt to exploit a vulnerability in Apache Log4j. This vulnerability can be used to execute arbitrary code on the target system by exploiting a flaw in the way the logging library handles JNDI lookups. Successful exploitation of this vulnerability could allow an attacker to gain unauthorized access to the system, including the ability to exfiltrate data or execute malicious code.""}]}
 {}
 {""Techniques"": [{""Sid"": ""58751"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": [], ""Explanation"": ""The rule detects attempts to exploit the Apache Log4j vulnerability, which can be used to gain remote code execution on vulnerable systems. Brute force attacks are a common method for exploiting vulnerabilities, and this rule is designed to detect and block such attacks.""}, {""Sid"": ""58751"", ""Technique ID"": ""T1203"", ""Technique Name"": ""Exploitation for Client Execution"", ""Quotes"": [], ""Explanation"": ""The rule detects attempts to exploit the Apache Log4j vulnerability, which can be used to gain remote code execution on vulnerable systems. This technique is used to exploit software vulnerabilities in client applications to execute code.""}]}","['T1111', 'T1040']",['T1190']
36100,"{""36100"": [{""Sid"": ""36100"", ""Technique ID"": ""T1110"", ""Technique Name"": ""Brute Force"", ""Quotes"": ""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained"", ""Explanation"": ""The rule detects ManageEngine OpManager default credentials authentication attempts, which suggests that adversaries are using brute force techniques to gain access to accounts.""}]}{}{
   ""Rules"": [
     {
       ""Sid"": ""36100"",
       ""Technique ID"": ""T1110"",
       ""Technique Name"": ""Brute Force"",
       ""Quotes"": [
         ""Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained""
       ],
       ""Explanation"": ""The rule looks for attempts to authenticate to ManageEngine OpManager using the default credentials, which is a common brute-force technique.""
     },
     {
       ""Sid"": ""36100"",
       ""Technique ID"": ""T1550"",
       ""Technique Name"": ""Use Alternate Authentication Material"",
       ""Quotes"": [
         ""Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls""
       ],
       ""Explanation"": ""The rule looks for attempts to authenticate to ManageEngine OpManager using the default credentials, which could be used to gain access to the system and bypass normal authentication controls.""
     }
   ]
 }","['T1110', 'T1550']",['T1078']
10096,"{""T1056"": {""Sid"": 10096, ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [""Adversaries may use methods of capturing user input to obtain credentials or collect information""], ""Explanation"": ""The rule contains the content string \""KEY\"" which indicates that the rule is detecting keystrokes. This could be an indication of an attempt to capture user input.""}}{""T1056"": {""Sid"": ""10096"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule uses the content keyword 'KEY' to detect keylogging activities.""}, ""T1005"": {""Sid"": ""10096"", ""Technique ID"": ""T1005"", ""Technique Name"": ""Data from Local System"", ""Quotes"": [], ""Explanation"": ""The rule looks for keylog-related data in the local system.""}}{""Rules"": [{""Sid"": ""10096"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information"", ""Explanation"": ""The rule triggers on the content of the data package - \""KEY\"", likely meaning that the captured data contains some form of key logging behavior, such as capturing credentials or other user input.""}]}","['T1056', 'T1005']",['T1056']
37245,"
 {}
 [
   {
     ""Sid"": ""37245"",
     ""Technique ID"": ""T1132"",
     ""Technique Name"": ""Data Encoding"",
     ""Quotes"": [
       ""Adversaries may encode data to make the content of command and control traffic more difficult to detect""
     ],
     ""Explanation"": ""The rule looks for web shells that use base64 encoding to obfuscate command and control traffic, suggesting that the adversary is attempting to evade detection by encoding the data.""
   },
   {
     ""Sid"": ""37245"",
     ""Technique ID"": ""T1001"",
     ""Technique Name"": ""Data Obfuscation"",
     ""Quotes"": [
       ""Adversaries may obfuscate command and control traffic to make it more difficult to detect""
     ],
     ""Explanation"": ""The rule looks for web shells that use base64 encoding to obfuscate command and control traffic, suggesting that the adversary is attempting to evade detection by obfuscating the data.""
   }
 ]{""Sid"": ""37245"", ""Technique ID"": ""T1001"", ""Technique Name"": ""Data Obfuscation"", ""Quotes"": [""Adversaries may obfuscate command and control traffic to make it more difficult to detect""], ""Explanation"": ""The rule uses `base64_decode` function to decode the data, which is a technique to obfuscate the data and make it more difficult to detect.""}","['T1001', 'T1132']","['T1001', 'T1219']"
