Sid,Response,Technique_id,True_labels
213,"{""Sid"": ""213"", ""Technique ID"": ""T1114"", ""Technique Name"": ""Email Collection"", ""Quotes"": [], ""Explanation"": ""This rule is for catching a Linux rootkit attempt. Rootkits are often used to collect emails and other sensitive data.""}{}{}{}{}{}{}{""Sid"": ""213"", ""Technique ID"": ""T1525"", ""Technique Name"": ""Implant Internal Image"", ""Quotes"": [""""], ""Explanation"": ""The rule triggers when a Linux rootkit attempt is detected, which can be associated with implanting a malicious cloud or container image to establish persistence.""}{}{
   ""Sid"": ""213"",
   ""Technique ID"": ""T1014"",
   ""Technique Name"": ""Rootkit"",
   ""Quotes"": [
     ""Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components""
   ],
   ""Explanation"": ""The rule detects the 'wh00t!' string, which is commonly associated with the Linux 'wh00t' rootkit. The rule triggers when suspicious traffic is detected on port 23 (telnet) and the content of the traffic matches the 'wh00t!' string. The relationship is unambiguous because rootkits share common characteristics with this alert.""
 }{}","['T1114', 'T1525', 'T1014']",['T1014']
214,"{}{}{""Sid"": 214, ""Technique ID"": ""T1106"", ""Technique Name"": ""Native API"", ""Quotes"": [], ""Explanation"": ""The provided rule uses the 'content' keyword to check for the presence of the string 'lrkr0x' within the network traffic. Adversaries may interact with the native OS application programming interface (API) to execute behaviors. The rule checks for a specific string that may be related to a known rootkit, suggesting that the rule is designed to detect attempts to interact with the native OS API for malicious purposes.""}{}{}{}{}{}{}{""Sid"":""214"", ""Technique ID"":""T1014"", ""Technique Name"":""Rootkit"", ""Quotes"":[], ""Explanation"":""The rule triggers on the content 'lrkr0x', which is an indicator of a rootkit. Rootkits are used by adversaries to hide their presence on a system.""}{""214"": {""Technique ID"": ""T1132"", ""Technique Name"": ""Data Encoding"", ""Quotes"": [], ""Explanation"": ""The rule uses `content:""lrkr0x"";` to detect possible attempts to connect to a malicious backdoor. This backdoor may use data encoding to make its commands difficult to detect.""}}","['T1106', 'T1132']",['T1014']
215,"{}{}{""Sid"": ""215"", ""Technique ID"": ""T1027"", ""Technique Name"": ""Obfuscated Files or Information"", ""Quotes"": [], ""Explanation"": ""The rule looks for an unusual behavior of ""d13hh["" which is an encoded or encrypted command and this is consistent with attackers attempting to hide their activities by obfuscating their code""}{}{}{}{}{}{}{""Sid"": ""215"", ""Technique ID"": ""T1014"", ""Technique Name"": ""Rootkit"", ""Quotes"": [], ""Explanation"": ""The rule looks for a sequence of bytes (\""d13hh[...\"") that may indicate an attempt to install a rootkit on a Linux system through a Telnet connection.""}{""Sid"": ""215"", ""Technique ID"": ""T1001"", ""Technique Name"": ""Data Obfuscation"", ""Quotes"": [""Adversaries may obfuscate command and control traffic to make it more difficult to detect""], ""Explanation"": ""The rule checks for data with a specific pattern \""d13hh[\"" that could potentially be obfuscated command and control traffic""}","['T1027', 'T1014', 'T1001']",['T1014']
216,"{}{}{}{}{""Sid"": ""216"", ""Technique ID"": ""T1187"", ""Technique Name"": ""Forced Authentication"", ""Quotes"": [""Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept""], ""Explanation"": ""The rule triggers when an attempt is made to connect to a Telnet server on port 23 from an external network. The attacker may try to force authentication by sending a 'satori' command, a known rootkit attempt for Linux systems.""}{""Sid"": ""216"", ""Technique ID"": ""T1566"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule is trying to detect phishing attempts that are being made by using the satori payload. Phishing is a technique that is used by adversaries to send malicious messages to gain access to victim systems.""}{""Sid"": ""216"", ""Technique ID"": ""T1078"", ""Technique Name"": ""Valid Accounts"", ""Quotes"": [], ""Explanation"": ""The rule triggers on the word \""satori\"", which is likely to be a rootkit. The rootkit is likely to be attempting to use a valid account to gain access to the system.""}{}{""Rules"": [{""Sid"": ""216"", ""Technique ID"": ""T1531"", ""Technique Name"": ""Account Access Removal"", ""Quotes"": [""""], ""Explanation"": ""The rule triggers an alert when the content of the traffic contains 'satori,' which is related to the Linux rootkit satori. The rootkit attempts to remove or manipulate access to accounts on the compromised system.""}]}{}{""T1132"": {""Sid"": ""216"", ""Technique ID"": ""T1132"", ""Technique Name"": ""Data Encoding"", ""Quotes"": [], ""Explanation"": ""The rule identifies a possible attempt by the malware backdoor satori. It suggests that the adversary has encoded data to make the content of command and control traffic more difficult to detect.""}}","['T1187', 'T1566', 'T1078', 'T1531', 'T1132']",['T1014']
233,"
 []
 {}{
   ""Sid"": ""233"",
   ""Technique ID"": ""T1498"",
   ""Technique Name"": ""Network Denial of Service"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when Trin00 is attempting to attack and launch a Denial of Service attack using default startup password.""
 }{}{}{}{}{}{}{}{""Sid"": ""233"", ""Technique ID"": ""T1555"", ""Technique Name"": ""Credentials from Password Stores"", ""Quotes"": [], ""Explanation"": ""The rule is looking for the password \""betaalmostdone\"" which could be used to access a system if found in a password store.""}","['T1498', 'T1555']",['T1078']
234,{}{}{}{}{}{}{}{}{}{}{},[],['T1078']
235,"{
   ""Sid"": ""235"",
   ""Technique ID"": ""T1499"",
   ""Technique Name"": ""Endpoint Denial of Service"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attempt to execute a Trin00 attack, which can cause a denial of service on the target system.""
 }{}{""235"": {""Technique ID"": ""T1571"", ""Technique Name"": ""Non-Standard Port"", ""Quotes"": ""Adversaries may communicate using a protocol and port pairing that are typically not associated"", ""Explanation"": ""The rule triggers on traffic to port 27665, which is not a standard port for any common service.""}}{}{}{}{}{}{}
 {
   ""235"": {
     ""Technique ID"": ""T1021"",
     ""Technique Name"": ""Remote Services"",
     ""Quotes"": [
       ""Adversaries may use Valid Accounts to log into a service that accepts remote connections, such as telnet, SSH, and VNC""
     ],
     ""Explanation"": ""The rule detects an attempt to connect to port 27665, which is commonly used by the Trin00 Trojan. This Trojan can be used to launch DoS attacks, steal information, and control the infected system remotely.""
   }
 }
 {""Sid"": ""235"", ""Technique ID"": ""T1136"", ""Technique Name"": ""Create Account"", ""Quotes"": [""Adversaries may create an account to maintain access to victim systems""], ""Explanation"": ""The rule is looking for connections to port 27665, which is often used by Trin00, a distributed denial-of-service (DDoS) attack tool. The rule also looks for the presence of the string \""killme\"" in the traffic. This combination of factors suggests that the rule is detecting an attempt to create an account on the target system for the purpose of launching a DDoS attack.""}","['T1499', 'T1571', 'T1021', 'T1136']",['T1078']
237,{}{}{}{}{}{}{}{}{}{}{},[],['T1078']
613,"{}{}{}{""Sid"": ""613"", ""Technique ID"": ""T1217"", ""Technique Name"": ""Browser Information Discovery"", ""Quotes"": ""Adversaries may enumerate information about browsers to learn more about compromised environments"", ""Explanation"": ""The rule looks for scans of port 10101, which is often used by web browsers to discover proxy servers. This technique is used by adversaries to gather information about the target environment, including the types of browsers being used and their settings.""}{""Sid"": ""613"", ""Technique ID"": ""T1495"", ""Technique Name"": ""Firmware Corruption"", ""Quotes"": [], ""Explanation"": ""The rule looks for packets with a TTL greater than 220, which is often associated with spoofed packets. Adversaries may use spoofed packets to execute remote commands or exploit vulnerabilities in firmware, such as T1495.""}{}{
 ""Rules"": [
 {
 ""Sid"": ""613"",
 ""Technique ID"": ""T1124"",
 ""Technique Name"": ""System Time Discovery"",
 ""Quotes"": ""An adversary may gather the system time and/or time zone from a local or remote system"",
 ""Explanation"": ""The rule detects suspicious network activity that could be used to gather system time and/or time zone information from the target system, which could be used for a variety of malicious purposes, such as planning attacks or exfiltrating data.""
 }
 ]
 }{}{}{""T1018"": {""Sid"": ""613"", ""Technique ID"": ""T1018"", ""Technique Name"": ""Remote System Discovery"", ""Quotes"": [], ""Explanation"": ""The alert triggers when a SYN packet is received on port 10101 from an external network to a host on the internal network. This technique involves adversaries attempting to enumerate systems on a network, which could include port scanning, as seen in the rule.""}}{}","['T1217', 'T1495', 'T1124', 'T1018']","['T1018', 'T1040', 'T1046']"
616,"{}{}{}{}{}{}{}{}{}{}{
   ""Rules"": [
     {
       ""Sid"": ""616"",
       ""Technique ID"": ""T1136"",
       ""Technique Name"": ""Create Account"",
       ""Quotes"": [
         ""Adversaries may create an account to maintain access to victim systems""
       ],
       ""Explanation"": ""The rule detects ident version requests, which are often used to create accounts on target systems.""
     }
   ]
 }",['T1136'],"['T1018', 'T1040', 'T1046']"
619,"{}{}{}{}{""Sid"": ""619"", ""Technique ID"": ""T1133"", ""Technique Name"": ""External Remote Services"", ""Quotes"": [""Adversaries may leverage external-facing remote services to initially access and/or persist within a network""], ""Explanation"": ""The rule looks for the presence of cybercop, a reconnaissance tool, being used to scan a network for vulnerabilities and other information. Since this rule is looking for external scan attempts, the external remote services technique is the most appropriate.""}{}{}{}{}{}{}",['T1133'],"['T1018', 'T1040', 'T1046']"
