Sid,Response,Technique_id,True_labels
50094,"
 [
   {
     ""Sid"": ""50094"",
     ""Technique ID"": ""T1659"",
     ""Technique Name"": ""Content Injection"",
     ""Quotes"": [
       ""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic""
     ],
     ""Explanation"": ""The rule detects an attempt to inject malicious content into a system through an HTTP request. The malicious content is embedded in an image tag and is likely intended to compromise the system.""
   }
 ]
 []{
   ""50094"": [
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1190"",
       ""Technique Name"": ""Exploit Public-Facing Application"",
       ""Quotes"": [
         ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""
       ],
       ""Explanation"": ""This rule detects an attempt to exploit a vulnerability in a public-facing HTTP server by sending a malicious request that includes an embedded image with a file URI pointing to a remote server. This technique is commonly used by adversaries to gain initial access to a network by exploiting a known vulnerability in a web application or service.""
     }
   ]
 }{
   ""50094"": [
     {
       ""Technique ID"": ""T1021"",
       ""Technique Name"": ""Remote Services"",
       ""Quotes"": [],
       ""Explanation"": ""The rule will trigger on content indicative of a Responder poisoner HTTP attack, where an adversary may use a web service (HTTP) to poison a network host's ARP cache.""
     }
   ]
 }{}{}{}{}{}{""Sid"": ""50094"", ""Technique ID"": ""T1135"", ""Technique Name"": ""Network Share Discovery"", ""Quotes"": ""Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement"", ""Explanation"": ""The rule looks for an HTTP request that includes a file:// path to a file on the system. This could be an attempt to access a file share on the system, which is a common technique used by adversaries to gather information or move laterally within a network.""}{}","['T1659', 'T1190', 'T1021', 'T1135']",['T1187']
38563,"{}{}{}{}{}{}{}{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": [], ""Explanation"": ""The rule looks for a 200 status code with an OK message and the content is not found page. This looks like input capture because the attacker is trying to capture the input of the user.""}{""Sid"": ""38563"", ""Technique ID"": ""T1056"", ""Technique Name"": ""Input Capture"", ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information"", ""Explanation"": ""The rule looks for input in the form of a requested URL and may be used to capture user input to obtain credentials or collect information.""}{}{}","['T1056', 'T1056']",['T1056']
976,"{}{}{}{}{}{}{}{
   ""976"": {
     ""Technique ID"": ""T1137"",
     ""Technique Name"": ""Office Application Startup"",
     ""Quotes"": [
       ""Adversaries may leverage Microsoft Office-based applications for persistence between startups""
     ],
     ""Explanation"": ""The rule contains `content:\"".bat?\"",` which indicates that it is looking for a `.bat` file. This technique is about leveraging Office applications for persistence, and `.bat` files can be used to execute commands on Windows systems. Therefore, this rule is related to this technique.""
   }
 }{}[]{}",['T1137'],['T1204']
1129,"{""Sid"": ""1129"", ""Technique ID"": ""T1170"", ""Technique Name"": ""Server Web Request"", ""Quotes"": [], ""Explanation"": ""The rule looks for requests to \"".htaccess\"" files, which are commonly used by web servers to control access to directories and files. Adversaries may attempt to access \"".htaccess\"" files to gain information about the web server configuration or to modify the configuration to gain unauthorized access to the server.""}{}{}
 []
 {}{}{""Sid"": ""1129"", ""Technique ID"": ""T1170"", ""Technique Name"": ""Web Server Discovery"", ""Quotes"": [], ""Explanation"": ""The rule checks for access to \"".htaccess\"" files, which are commonly used to configure web servers. This suggests that the adversary is attempting to discover the web server configuration, which could potentially lead to further attacks.""}{""Sid"": ""1129"", ""Technique ID"": ""T1170"", ""Technique Name"": ""Web Server Discovery"", ""Quotes"": [], ""Explanation"": ""The rule triggers when a .htaccess file is accessed, which is a configuration file commonly associated with web servers. This suggests that the adversary may be attempting to gather information about the web server, such as its version or configuration.""}{}{}{}","['T1170', 'T1170', 'T1170']",['T1218']
27967,"{""27967"": [{""Sid"": ""27967"", ""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quote"": null, ""Explanation"": ""The rule is detecting a web shell connection, typically used by adversaries to maintain remote access to a compromised system, which relates to the T1100 technique.""}]}{""Sid"": ""27967"", ""Technique ID"": ""T1114"", ""Technique Name"": ""Email Collection"", ""Quotes"": [], ""Explanation"": ""The rule triggers when there is a web shell connection, and adversaries may target user email to collect sensitive information.""}{""27967"": [{""Sid"": ""27967"", ""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quotes"": [], ""Explanation"": ""The rule looks for a web shell connection using the Chopper backdoor. Web shells are often used by adversaries to maintain access to a compromised system and to execute commands remotely.""}]}{}{
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1100"",
   ""Technique Name"": ""Web Shell"",
   ""Quotes"": [
     ""Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system""
   ],
   ""Explanation"": ""The Snort rule detects web shell connections, which are often used by adversaries to control compromised systems remotely. The rule looks for specific patterns in HTTP traffic that are indicative of web shell activity, such as the presence of the \""X-Forwarded-For\"" header and the \""caidao\"" parameter in the HTTP body.""
 }{""Sid"": ""27967"", ""Technique ID"": ""T1136"", ""Technique Name"": ""Create Account"", ""Quotes"": [], ""Explanation"": ""The rule triggers when a web shell connection is made to a compromised system with the header \""X-Forwarded-For\"". This header is commonly used by adversaries to spoof their IP address and create an account on the system.""}{""27967"": [{""Sid"": ""27967"", ""Technique ID"": ""T1100"", ""Technique Name"": ""Web Shell"", ""Quotes"": [], ""Explanation"": ""The rule detects a web shell connection, which is a technique used by adversaries to establish a persistent backdoor on a compromised system. The technique allows the adversary to execute commands and control the system remotely.""}]}{
   ""27967"": [
     {
       ""Sid"": ""27967"",
       ""Technique ID"": ""T1563"",
       ""Technique Name"": ""Remote Service Session Hijacking"",
       ""Quotes"": [],
       ""Explanation"": ""The rule detects a web shell connection, which is a common technique used by adversaries to establish an interactive command and control channel to target systems within networks.""
     }
   ]
 }{}
 [
   {
     ""Sid"": ""27967"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Sniffing"",
     ""Quotes"": ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network"",
     ""Explanation"": ""The rule uses content matching to detect HTTP traffic with a specific pattern, which could be used by an adversary to sniff network traffic and capture authentication material.""
   }
 ]
 {}","['T1100', 'T1114', 'T1100', 'T1100', 'T1136', 'T1100', 'T1563', 'T1040']","['T1505', 'T1219']"
29869,"{}{}{""Sid"": ""29869"", ""Technique ID"": ""T1192"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule detects a phishing attack by matching a specific content pattern associated with the Win.Trojan.Napolar trojan, which is known to use phishing techniques.""}{}{""Sid"": ""29869"", ""Technique ID"": ""T1192"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule detects a phishing attack by detecting the presence of \""facebook.com.exe\"" in the traffic, which is a common technique used in phishing attacks to trick users into providing their credentials or other sensitive information.""}{}{}{""Sid"": ""29869"", ""Technique ID"": ""T1566"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule detects phishing attacks by Win.Trojan.Napolar, which typically involves sending phishing messages to gain access to victim systems.""}{}{""Sid"": ""29869"", ""Technique ID"": ""T1192"", ""Technique Name"": ""Phishing"", ""Quotes"": [], ""Explanation"": ""The rule detects a phishing attack by Win.Trojan.Napolar that targets Facebook users. Phishing is a technique commonly used by adversaries to obtain user credentials or other sensitive information by masquerading as a trustworthy entity.""]{}","['T1192', 'T1192', 'T1566', 'T1192']",['T1566']
31807,"{}{
   ""Rules"": [
     {
       ""Sid"": ""31807"",
       ""Technique ID"": ""T1041"",
       ""Technique Name"": ""Exfiltration Over C2 Channel"",
       ""Quotes"": null,
       ""Explanation"": ""The rule is matching \""Limitless Logger\"" word in the data exfiltration attempts, which is a known trojan, that is trying to exfiltrate data over the command and control channel.""
     }
   ]
 }{}{}{}{}{}{}{}{""Sid"": ""31807"", ""Technique ID"": ""T1040"", ""Technique Name"": ""Network Sniffing"", ""Quotes"": [""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network""], ""Explanation"": ""The rule uses content matching on \""Subject: Limitless Logger 20: Execution Confirmation\"" which can be found in the subject line of an email sent by malware after a successful data exfiltration. This indicates that the malware is attempting to exfiltrate data over the network, and network sniffing can be used to capture this traffic and identify the exfiltrated data.""}{}","['T1041', 'T1040']",['T1020']
58751,"{}{}{""58751"": {""Technique ID"": ""T1203"", ""Technique Name"": ""Exploitation for Client Execution"", ""Quotes"": [""Adversaries may exploit software vulnerabilities in client applications to execute code""], ""Explanation"": ""The provided rule searches for a pattern that is indicative of an exploitation attempt of a JNDI vulnerability in Apache Log4j. The Apache Log4j vulnerability is a remote code execution vulnerability. An attacker can exploit the vulnerability to execute arbitrary code on a target system using a crafted Java class or other supported object. Successful exploitation could lead to full control of the vulnerable system.""}}{}{}{}{}{
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1542"",
   ""Technique Name"": ""Pre-OS Boot"",
   ""Quotes"": null,
   ""Explanation"": ""The IDS rule detects attempts to exploit a remote code execution vulnerability in Apache Log4j. Pre-OS Boot techniques are used to establish persistence on a system.""
 }{}{}{}","['T1203', 'T1542']",['T1190']
36100,"
 []
 {}{}{}{""36100"": [{""Sid"": ""36100"", ""Technique ID"": ""T1550"", ""Technique Name"": ""Use Alternate Authentication Material"", ""Quotes"": null, ""Explanation"": ""The rule detects an attempt to authenticate to a ManageEngine OpManager instance using default credentials. This technique is used by adversaries to move laterally within an environment and bypass normal system access controls.""}]}{}{}{}{}{}{
   ""Sid"": 36100,
   ""Technique ID"": ""T1518"",
   ""Technique Name"": ""Software Discovery"",
   ""Quotes"": [
     ""Adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment""
   ],
   ""Explanation"": ""The rule looks for ManageEngine OpManager default credentials, which could be used to gain access to the system and discover software and software versions installed on it.""
 }","['T1550', 'T1518']",['T1078']
10096,"{}{}{}{}{}{}{}{}{
 ""Sid"": ""10096"",
 ""Technique ID"": ""T1056"",
 ""Technique Name"": ""Input Capture"",
 ""Quotes"": [],
 ""Explanation"": ""The rule looks for the string \""KEY\"" in TCP traffic, which could indicate an attempt to capture keystrokes.""
 }{}{}",['T1056'],['T1056']
