Sid,Response,Technique_id,True_labels
50094,"[
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Attackers use vulnerabilities in public-facing applications (e.g., web servers, email servers, etc.) to gain initial access to the target's network.\"""",
     ""Explanation"": ""The rule triggers an alert when an HTTP request to a public-facing web server contains a file path to \""RespProxySrv/pictures/logo.jpg\"" within a malicious image tag. This is a potential reconnaissance or exploitation attempt of a web application vulnerability.""
   },
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1191"",
     ""Technique Name"": ""Drive-by Compromise"",
     ""Quotes"": ""\""In a drive-by compromise, attackers infect a website with malicious content designed to exploit a user's browser or browser plug-ins. When the user visits the compromised website, their system is infected without their knowledge or consent.\"""",
     ""Explanation"": ""The rule can detect HTTP requests that contain a malicious image tag attempting to exploit vulnerabilities in a victim's web browser. If successful, this can lead to a drive-by compromise attack.""
   }
 ]","['T1190', 'T1191']",['T1187']
38563,"[
     ""sid"": ""38563"",
     ""Technique ID"": ""T1040"",
     ""Technique name"": ""Network Sniffing"",
     ""Quotes"": """"This event is generated when activity relating to malware is detected. The rule uses network sniffing to gather information about the network, and the data gathered is used to launch attacks."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ]",['T1040'],['T1056']
976,"[
         {
         ""sid"": ""976"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Drive-by Compromise"",
         ""Quotes"": """"In a drive-by compromise, the attack is facilitated through an action taken by a previously compromised system. In this rule, the access to '.bat' files and '/cgi-bin/' directory suggests suspicious activity attempting to leverage webserver vulnerabilities to compromise HTTP servers."""",
         ""Explanation"": ""This event is generated when an attempt to access a '.bat' file or '/cgi-bin/' directory is detected.""
     },
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application technique involves identifying and exploiting vulnerabilities in externally accessible applications or services. By targeting HTTP servers, attackers can attempt to exploit web application vulnerabilities to gain unauthorized access to the server."""",
         ""Explanation"": ""This event is generated when an attempt to access a '.bat' file or '/cgi-bin/' directory is detected.""
     }
 ]","['T1189', 'T1190']",['T1204']
1129,"[
         {
             ""sid"": ""1129"",
             ""Technique ID"": ""T1170"",
             ""Technique Name"": ""Password Spraying"",
             ""Quotes"": "".htaccess files are often targeted by attackers to gain access to sensitive information or to compromise the server. By monitoring for access to .htaccess files, this rule can help detect potential password spraying attacks."",
             ""Explanation"": ""This event is generated when an attempt to access a .htaccess file is detected.""
         },
         {
             ""sid"": ""1129"",
             ""Technique ID"": ""T1048"",
             ""Technique Name"": ""Exfiltration Over Command and Control Channel"",
             ""Quotes"": ""Attackers may attempt to exfiltrate sensitive information over the command and control channel established during a successful password spraying attack."",
             ""Explanation"": ""This event is generated when an attempt to access a .htaccess file is detected, which could be an indication of an attempt to exfiltrate sensitive information over the command and control channel.""
         }
     ]","['T1170', 'T1048']",['T1218']
27967,"[
         {
             ""sid"": ""27967"",
             ""Technique ID"": ""T1100"",
             ""Technique name"": ""Web Shell"",
             ""Quotes"": """"Web shells are malicious scripts that allow remote attackers to execute arbitrary commands on a webserver. The rule triggers when it detects a connection to a web shell that belongs to the Win.Backdoor.Chopper family. The attacker is attempting to access the web shell using specific parameters (e.g., ""caidao=""), which is a common technique for executing commands."""",
             ""Explanation"": ""This event is generated when activity relating to malware is detected.""
         }
     ]",['T1100'],"['T1505', 'T1219']"
29869,"[
     {
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique Name"": ""Phishing"",
         ""Quotes"": """"Phishing actors often use social engineering techniques to trick users into revealing sensitive information or clicking malicious links, often through email, text messages, or social media posts containing email addresses or links associated with the phishing campaign."""",
         ""Explanation"": ""This rule is looking for phishing emails that contain the string 'facebook.com.exe'. This type of email would likely be used to trick the user into clicking on a link that would download malware onto their computer.""
     }
 ]",['T1192'],['T1566']
31807,"[
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique Name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Techniques involving exfiltration of data over a command and control channel are used by adversaries to steal sensitive information from a victim system. The rule detects the presence of a trojan (Nighthunter) attempting to exfiltrate data using the Subject line in an SMTP communication, which is a common method used by adversaries to hide data exfiltration activities within seemingly legitimate traffic."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     },
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1102"",
         ""Technique Name"": ""Data Encrypted for Impact"",
         ""Quotes"": """"Data Encrypted for Impact techniques involve encrypting data, such as sensitive files or credentials, to evade detection or tamper with its contents. The rule indicates the use of encrypted data in the SMTP communication, as the Subject line includes 'Limitless Logger |3A 20 3A| Execution Confirmation', which suggests that the data being exfiltrated is encrypted using a custom encryption mechanism."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]","['T1041', 'T1102']",['T1020']
58751,"[
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploit Public-Facing Application techniques involve exploiting publicly accessible software applications that are exposed to the Internet to gain access to a network or system.'"""",
     ""Explanation"": ""The rule is triggered when an attempt is made to exploit a vulnerability in the Apache Log4j logging library, which is a Java-based logging framework. This vulnerability allows an attacker to execute arbitrary code on a vulnerable system by sending a specially crafted log message to the Log4j server.""
   },
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1210"",
     ""Technique name"": ""Exploitation for Client Execution"",
     ""Quotes"": """"Exploitation for Client Execution techniques involve exploiting a client-side application, such as a web browser or email client, to execute malicious code on a user's system."""",
     ""Explanation"": ""The rule is triggered when an attempt is made to exploit a vulnerability in the Apache Log4j logging library, which is a Java-based logging framework. This vulnerability allows an attacker to execute arbitrary code on a vulnerable system by sending a specially crafted log message to the Log4j server.""
   }
 ]","['T1190', 'T1210']",['T1190']
36100,"[
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Credential Access"",
     ""Quotes"": """"Credential Access techniques involve activities that obtain, access, or manipulate credentials, including password harvesting, pass-the-hash, and credential dumping."""",
     ""Explanation"": ""This rule is related to credential access, specifically the use of default credentials.""
   }
 ]",['T1110'],['T1078']
10096,"[
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a keylogger (win32.remotekeylog.b) that monitors and records keystrokes, allowing adversaries to capture input data such as passwords and sensitive information."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]",['T1056'],['T1056']
