Sid,Response,Technique_id,True_labels
50094,"
 {
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Responder Poisoning"",
   ""Quotes"": [
     ""\""Responder Poisoning occurs when network responders, such as DHCP and DNS servers, are tricked into providing fake IP addresses and hostnames to other devices on the network.\"""",
     ""\""The adversary can then control which devices are able to communicate with each other, allowing them to intercept and manipulate data.\""""
   ],
   ""Explanation"": ""The rule detects an HTTP request containing a file data content that tries to access a file from a Responder Proxy Server (RespProxySrv). Responder poisoning is a technique that involves poisoning a network's DNS or DHCP server to redirect traffic to a malicious server.""
 }
 {
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1574"",
   ""Technique Name"": ""Data Encoding"",
   ""Quotes"": [
     ""\""Data encoding is a technique used by adversaries to obscure the contents of data by converting it into a different format.\"""",
     ""\""This can be done for a variety of reasons, such as to evade detection by security tools or to make it more difficult for analysts to interpret the data.\""""
   ],
   ""Explanation"": ""The rule detects an HTTP request containing a file data content that is encoded. Data encoding is a technique that can be used to evade detection by security tools or to make it more difficult for analysts to interpret the data.""
 }
 ","['T1190', 'T1574']",['T1187']
38563,"
 {
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [""404 Not Found<"", "" requested URL / was not found ""],
   ""Explanation"": ""The rule detects malicious traffic from a compromised host communicating with a command and control server. The traffic is disguised as a fake 404 response to evade detection.""
 }
 ",['T1056'],['T1056']
976,"
 {
   ""Sid"": ""976"",
   ""Technique ID"": ""T1061"",
   ""Technique Name"": ""Web Shell"",
   ""Quote"": ""Accesses a remote command prompt through an application or unauthenticated interface via a web shell."",
   ""Explanation"": ""The rule checks for the presence of the \"".bat?\"" parameter in the HTTP URI, which is a common way of accessing a web shell.""
 }
 ",['T1061'],['T1204']
1129,"
 [
   {
     ""Sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""Server Web Request"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers on an HTTP request containing a URI that includes the string \"".htaccess\"". This is often used in reconnaissance to identify web servers running Apache and to check for misconfigured Apache configurations that allow access to sensitive configuration files.""
   },
   {
     ""Sid"": ""1129"",
     ""Technique ID"": ""T1595"",
     ""Technique Name"": ""Web Application Attack"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers on an HTTP request containing a URI that includes the string \"".htaccess\"". This could be part of an attack against a web application that is running on the web server.""
   }
 ]
 ","['T1170', 'T1595']",['T1218']
27967,"
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1100"",
   ""Technique Name"": ""Web Shell"",
   ""Quotes"": [
     ""Web shells are often used by attackers to maintain access to a compromised system and execute commands remotely.""
   ],
   ""Explanation"": ""The rule looks for web shell activity by detecting a specific pattern in the HTTP header and client body, indicating the presence of a web shell used for remote command execution.""
 },
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1026"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [
     ""Command and control (C2) is the method by which an attacker maintains persistence on a victim system and controls the victim system remotely.""
   ],
   ""Explanation"": ""The rule detects communication with a known malware CNC server, indicating the presence of a backdoor used for command and control purposes.""
 }
 ","['T1100', 'T1026']","['T1505', 'T1219']"
29869,"
 {
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1192"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [""Win.Trojan.Napolar phishing attack""],
   ""Explanation"": ""The rule triggers on traffic containing \""facebook.com.exe\"", which is associated with phishing attacks.""
 }
 ",['T1192'],['T1566']
31807,"
 {
   ""Sid"": ""31807"",
   ""Technique ID"": ""T1041"",
   ""Technique Name"": ""Exfiltration Over Command and Control Channel"",
   ""Quotes"": [
     ""NT AUTHORITY\\SYSTEM] - Data Exfiltration over Command and Control Channels""
   ],
   ""Explanation"": ""The rule triggers when a server sends data to an external IP address using port 587 or 2525, indicating an attempt to exfiltrate data.""
 }
 ",['T1041'],['T1020']
58751,"
 [
   {
     ""Sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers when it detects an Apache Log4j logging remote code execution attempt, which is a specific technique used to exploit public-facing applications.""
   },
   {
     ""Sid"": ""58751"",
     ""Technique ID"": ""T1499"",
     ""Technique Name"": ""Malicious Service"",
     ""Quotes"": [],
     ""Explanation"": ""The rule triggers when it detects a connection to a SMTP server, which is a malicious service that can be used to send spam or phishing emails.""
   }
 ]
 ","['T1190', 'T1499']",['T1190']
58751,"
 {
   ""Sid"": 36100,
   ""Technique ID"": ""T1110.001"",
   ""Technique Name"": ""Credential Dumping"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attempt to authenticate to a ManageEngine OpManager instance using default credentials. This technique involves extracting credentials from a compromised system or application.""
 }
 {
   ""Sid"": 36100,
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploitation for Authentication"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects an attempt to exploit a ManageEngine OpManager instance by using default credentials. This technique involves using a vulnerability in a system or application to gain access to that system or application.""
 }
 ","['T1110.001', 'T1190']",['T1078']
10096,"
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1055"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""\""Identify the techniques that an adversary may use to monitor or record user input such as keystrokes, clicks etc.\""""
   ],
   ""Explanation"": ""The rule detects the presence of win32.remotekeylog.b, a keylogger that captures user input, which is consistent with the Input Capture technique.""
 }
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1057"",
   ""Technique Name"": ""Process Injection"",
   ""Quotes"": [
     ""\""Identify the techniques that an adversary may use to inject code into running processes on a system.\""""
   ],
   ""Explanation"": ""Keyloggers like win32.remotekeylog.b often employ process injection techniques to implant their code into legitimate processes, making them harder to detect.""
 }
 ","['T1055', 'T1057']",['T1056']
