Sid,Response,Technique_id,True_labels
50094,"[
     ""sid"": ""50094"",
     ""Technique ID"": ""T1036"",
     ""Technique name"": ""Masquerading"",
     ""Quotes"": """"Masquerading refers to the adversary's intent to make its attack appear like legitimate or benign activity. In this case, the rule targets a Responder poisoner HTTP attack attempt where the adversary attempts to disguise malicious content by injecting HTML with an image from a trusted source (RespProxySrv). This can lead to the successful execution of follow-on attacks and evasion of detection by security tools."""",
     ""Explanation"": ""HTTP is an unencrypted protocol that is used to transfer data over the internet. This rule alerts when an HTTP attack is detected.""
 ][
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1498"",
     ""Technique name"": ""Network Denial of Service"",
     ""Quotes"": """"Network Denial of Service attacks are attempts to make a computer or network resource unavailable to its intended users"""",
     ""Explanation"": ""This event is generated when an attack using the 'responder' tool is detected. The 'responder' tool is commonly used to poison ARP caches, causing network disruptions and denial of service.""
   }
 ]
 {}
 ","['T1036', 'T1498']",['T1187']
38563,"
 {}
 [
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected. The malware in question is a Trojan that captures user input, which is a technique commonly used by adversaries to obtain sensitive information.""
   }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1197"",
     ""Technique Name"": ""BITS Jobs"",
     ""Quotes"": ""Adversaries may abuse Background Intelligent Transfer Service (BITS) jobs to persistently execute code and perform various background tasks."",
     ""Explanation"": ""The rule highlights the presence of a Trojan (GateKeylogger) which may use BITS jobs to maintain persistence and execute malicious tasks in the background.""
   }
 ]","['T1056', 'T1197']",['T1056']
976,"[
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""\""Drive-by Compromise techniques involve attempting to infect a system through a user visiting a website over the normal course of browsing\"""",
     ""Explanation"": ""This rule detects access to a .bat file, which could indicate an attempt to exploit a vulnerability in a web application to download and execute malicious code.""
   }
 ][
         {
             ""sid"": ""976"",
             ""Technique ID"": ""T1189"",
             ""Technique Name"": ""Drive-by Compromise"",
             ""Quotes"": """"Drive-by Compromise techniques involve gaining access to a system through a user visiting a website over the normal course of browsing. The rule detects attempts to access a '.bat' file over HTTP, which is typically used in drive-by compromise attacks to infect a system with malicious code.
 """",
             ""Explanation"": ""This event is associated with the technique T1189 because it involves accessing a potentially malicious file through the web.""
         },
         {
             ""sid"": ""976"",
             ""Technique ID"": ""T1190"",
             ""Technique Name"": ""Exploit Public-Facing Application"",
             ""Quotes"": """"Exploit Public-Facing Application techniques involve attempting to exploit a weakness in an Internet-facing host or system to initially access a network. The rule detects attempts to access a '.bat' file, which can be exploited to gain unauthorized access to a system.
 """",
             ""Explanation"": ""This event is associated with the technique T1190 because it involves attempting to exploit a public-facing application (web server) through a potentially malicious file.""
         }
     ][
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule detects access to a URL containing `.bat`, which is associated with drive-by compromise techniques where attackers trick users into visiting malicious websites to exploit vulnerabilities in their browsers.""
   },
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network"",
     ""Explanation"": ""This rule triggers when a request to a public-facing web server includes `/cgi-bin/`, which is a common target for web application attacks aimed at exploiting vulnerabilities in CGI scripts.""
   }
 ]","['T1189', 'T1190']",['T1204']
1129,"{}""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Password Spraying"",
         ""Quotes"": """"Password Spraying is a brute-force password guessing method that involves attempting common passwords against multiple user accounts in an organization to gain access. This rule detects attempts to access .htaccess files, which are commonly used to configure web server access and can contain sensitive information, such as login credentials."""",
         ""Explanation"": ""This event is generated when activity relating to reconnaissance is detected.""
     }[
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Web Server Discovery"",
     ""Quotes"": """" Discovering web servers is often a precursor to further attacks, as it provides attackers with information about the target web application and its underlying infrastructure. Attackers can use automated tools or manual techniques to discover web servers."""",
     ""Explanation"": ""The rule is triggered when an attempt to access a '.htaccess' file is detected, which is a configuration file used by Apache web servers. This technique helps attackers discover web servers and potential vulnerabilities.""
 ][
         ""sid"": ""1129"",
         ""Technique ID"": ""T1170"",
         ""Technique name"": ""Vulnerability Scanning"",
         ""Quotes"": """"Vulnerability Scanning techniques involve searching for and enumerating vulnerabilities or weaknesses in a system or application. The rule triggers when a web server is accessed and attempts to retrieve a '.htaccess' file, which is a configuration file often used to restrict access to specific directories or files in a web application. Attackers can use .htaccess files to identify potential vulnerabilities or misconfigurations in the web server."""",
         ""Explanation"": ""This event is generated when activity relating to vulnerability scanning is detected.""
     ]",['T1170'],['T1218']
27967,"[
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"Web shells provide threat actors a persistent remote access mechanism to a compromised system over HTTP or HTTPS. The rule detects an incoming connection from an external network to the internal network on HTTP ports, identifying the presence of Chopper web shell, which is known for its persistence and flexibility in providing remote access to attackers."""",
     ""Explanation"": ""This event is generated when an attempt to access a web shell is detected.""
 ][
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": """"Web shells are scripts that give adversaries a remote command-line interface to a compromised web server, allowing them to execute commands, upload and download files, and perform other malicious activities. The rule detects a web shell connection attempt by identifying specific HTTP headers and parameters used by the Chopper backdoor, which is known to use web shells."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ][
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"Web shells are malicious scripts that allow remote attackers to execute commands on the victim's web server. The rule specifically detects a web shell connection established by the Win.Backdoor.Chopper malware, which uses the 'caidao' parameter to execute commands on the compromised server."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]",['T1100'],"['T1505', 'T1219']"
29869,"
 {}
 [
         ""sid"": ""29869"",
         ""Technique ID"": ""T1192"",
         ""Technique name"": ""Phishing"",
         ""Quotes"": """"Phishing attacks attempt to acquire sensitive information, such as credentials or financial data, by masquerading as a trustworthy entity. The rule detects an attempt to download an executable file named ""facebook.com.exe,"" which is indicative of a phishing attack aimed at stealing credentials or other sensitive information."""",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     ][
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": """"Phishing techniques attempt to trick users into disclosing confidential information such as passwords or financial data by mimicking legitimate websites or applications. The rule specifically mentions a 'phishing attack' targeting Facebook (facebook.com.exe), which aligns with this technique's description."""",
     ""Explanation"": ""This event is generated when malware activity attempts to steal user credentials.""
 ]",['T1192'],['T1566']
31807,"[
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Adversaries may steal data by exfiltrating it over an existing command and control channel."""",
         ""Explanation"": ""This rule detects exfiltration attempts by the Win.Trojan.Nighthunter malware over an established SMTP connection to external IP addresses on ports 587 and 2525.""
     ],
     [
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": """"Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel."""",
         ""Explanation"": ""The malware uses SMTP, an alternative protocol to exfiltrate data.""
     ]
 ][
         ""sid"": ""31807"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": """"Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel"""",
         ""Explanation"": ""The rule detects communication on ports 587 and 2525, which are commonly used for SMTP email traffic.""
     ],
     [
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": """"Adversaries may steal data by exfiltrating it over an existing command and control channel"""",
         ""Explanation"": ""The rule detects the presence of a Trojan (Nighthunter) attempting to exfiltrate data over an established SMTP connection.""
     ]
 ][
     ""sid"": ""31807"",
     ""Technique ID"": ""T1048"",
     ""Technique name"": ""Exfiltration Over Alternative Protocol"",
     ""Quotes"": """"Exfiltration Over Alternative Protocol techniques involve adversaries using a different protocol than that of the existing command and control channel, such as email, to exfiltrate data. The rule indicates the presence of a Trojan (Nighthunter) attempting data exfiltration over the SMTP protocol, which is an example of exfiltration over an alternative protocol."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ]","['T1048', 'T1041']",['T1020']
58751,"[
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1498"",
     ""Technique Name"": ""Log4j Exploitation"",
     ""Quotes"": ""\""The Apache Log4j library is a popular Java-based logging framework that was found to contain a critical remote code execution (RCE) vulnerability. This rule specifically detects attempts to exploit this vulnerability by matching a pattern in the network traffic that is indicative of an attack using Log4j."""",
     ""Explanation"": ""This event is generated when an attempt to exploit a vulnerability in the Apache Log4j library is detected.""
   }
 ][
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\"""",
     ""Explanation"": ""This rule detects an attempt to exploit a remote code execution vulnerability in the Apache Log4j logging library, which is often used in public-facing web applications. The rule triggers when it identifies specific patterns in the network traffic that are indicative of this exploit.""
   }
 ][
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""\""Exploit Public-Facing Application techniques involve targeting publicly accessible applications on an external-facing host or system to gain unauthorized access to a network\"""",
     ""Explanation"": ""The rule triggers when an attempt to exploit a remote code execution vulnerability in the Apache Log4j logging library is detected. Log4j is a widely used Java library for logging events, and vulnerabilities in it can allow remote attackers to execute arbitrary code on a vulnerable system.""
   }
 ]","['T1498', 'T1190']",['T1190']
36100,"[
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1110"",
         ""Technique name"": ""Brute Force"",
         ""Quotes"": """"Brute force techniques involve attempting to gain access to a system by trying a large number of possible passwords or combinations in order to discover the correct one."""",
         ""Explanation"": ""This event is generated when an attacker attempts to authenticate to a web application using default credentials, which is a common brute-force technique.""
     }
 ][
         ""sid"": ""36100"",
         ""Technique ID"": ""T1580"",
         ""Technique Name"": ""Cloud Infrastructure Discovery"",
         ""Quotes"": """"Cloud Infrastructure Discovery techniques involve discovering and enumerating resources and information within a cloud computing environment. The rule identifies an attempt to authenticate to ManageEngine OpManager, likely to gather information about the organization's cloud infrastructure."""",
         ""Explanation"": ""This event is raised when an attempt to authenticate to ManageEngine OpManager is detected. Successful authentication could allow an adversary to have access to the ManageEngine OpManager server, which could be used to gather information about the organization's cloud infrastructure.""
     ],
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Brute Force"",
     ""Quotes"": """"Brute force techniques involve repeatedly trying different values or combinations in an attempt to guess a password or other secret. The rule detects an authentication attempt with default credentials ('IntegrationUser' and 'plugin'), which is a common brute force technique."""",
     ""Explanation"": ""This event is raised when an authentication attempt with default credentials for ManageEngine OpManager is detected. Using default credentials is a common brute force technique, as it involves trying a well-known and easily guessable combination in an attempt to gain access to a system or account.""
 ][
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1598"",
     ""Technique Name"": ""Phishing for Information"",
     ""Quotes"": ""\""Phishing for Information techniques involve sending malicious emails or messages to trick users into providing sensitive information, such as credentials or financial data. The rule indicates an attempt to authenticate to ManageEngine OpManager with default credentials, suggesting that the adversary may be trying to gain access to the system by exploiting weak credentials.\"""",
     ""Explanation"": ""This rule matches when there is an attempt to authenticate to ManageEngine OpManager using default credentials.""
   }
 ]","['T1110', 'T1580']",['T1078']
10096,"[
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a keylogger (win32.remotekeylog.b) that monitors keystrokes, which is a common method used by keyloggers to capture input data for malicious purposes."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ][
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates detection of keylogging activity, which is a common method used to capture input data."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]go  
 import (
 	""context""
 	""fmt""
 	""io""
 	""net/http""
 
 	""google.golang.org/api/option""
 	""google.golang.org/api/run/v2""
 )
 
 // printEmptyJSON prints an empty JSON object ""{}"" to the writer w.
 func printEmptyJSON(w io.Writer) error {
 	// Authorize the client using Application Default Credentials.
 	// See https://g.co/dv/identity/protocols/application-default-credentials
 	ctx := context.Background()
 	httpClient, err := google.DefaultClient(ctx, option.WithScopes(run.CloudPlatformScope))
 	if err != nil {
 		return fmt.Errorf(""google.DefaultClient: %v"", err)
 	}
 	client, err := run.NewService(ctx, option.WithHTTPClient(httpClient))
 	if err != nil {
 		return fmt.Errorf(""run.NewService: %v"", err)
 	}
 
 	req := &run.Empty{}
 	resp, err := client.Projects.Get(req).Do()
 	if err != nil {
 		return fmt.Errorf(""Projects.Get (%v): %v"", req, err)
 	}
 
 	if err := resp.WriteJSON(w); err != nil {
 		return fmt.Errorf(""WriteJSON: %v"", err)
 	}
 	fmt.Fprintln(w)
 	return nil
 }
   
 ",['T1056'],['T1056']
