Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Limit_Prompt_Without_Competition_With_Limit_Return,Without_Limit_Prompt_With_Competition_Without_Limit_Return,Without_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
50094,"[
         ""sid"": ""50094"",
         ""Technique ID"": ""T1588"",
         ""Technique name"": ""Obtain Capabilities"",
         ""Quotes"": """",
         ""Explanation"": ""This rule looks for attempts to poison an SMB server by exploiting the “Responder” vulnerability (CVE-2020-14882), which could allow an attacker to execute arbitrary code on the target system.""
     ],
     ""sid"": ""50094"",
     ""Technique ID"": ""T1496"",
     ""Technique name"": ""Resource Hijacking"",
     ""Quotes"": """",
     ""Explanation"": ""This rule looks for attempts to poison an SMB server by exploiting the “Responder” vulnerability (CVE-2020-14882), which could allow an attacker to execute arbitrary code on the target system.""
 ][
     ""sid"": ""50094"",
     ""Technique ID"": ""T1557"",
     ""Technique Name"": ""Adversary-in-the-Middle"",
     ""Quotes"": ""Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access)."",
     ""Explanation"": ""This rule looks for a poisoning attack using a Responder probing for servers responding on a rogue Responder Port.""
 ][
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1496"",
     ""Technique name"": ""Resource Hijacking"",
     ""Quotes"": ""Adversaries may leverage the resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability"",
     ""Explanation"": ""This rule detects attempts to poison a DNS server response with a malicious image file using the Responder tool. The attacker can leverage the DNS server to redirect traffic to a malicious website or perform other malicious activities.""
   },
   {
     ""sid"": ""50094"",
     ""Technique ID"": ""T1557"",
     ""Technique name"": ""Adversary-in-the-Middle"",
     ""Quotes"": ""Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access)"",
     ""Explanation"": ""DNS poisoning is a type of man-in-the-middle attack where the attacker intercepts and modifies DNS responses, redirecting traffic to a malicious website. This rule detects attempts to poison a DNS server response, which can be used to perform a variety of malicious activities, including phishing, malware distribution, and data theft.""
   }
 ]","['T1496', 'T1557', 'T1048', 'T1566', 'T1190', 'T1497', 'T1199', 'T1499', 'T1606', 'T1588']","['T1566', 'T1190']","['T1588', 'T1496', 'T1557']","['T1496', 'T1505']",['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""The rule looks for traffic that matches the behavior of a Trojan (GateKeylogger) that uses a fake 404 Not Found response to disguise its communication with a command and control server.""
   }
 ][
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1218"",
     ""Technique Name"": ""System Binary Proxy Execution"",
     ""Quotes"": ""\""Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries."",
     ""Explanation"": ""The rule uses the \""fast_pattern\"" and \""content\"" options to look for specific patterns in the network traffic, such as \""404 Not Found\"" and \""requested URL / was not found\"". These patterns are commonly associated with the activity of the Win.Trojan.GateKeylogger malware, which uses a system binary (such as a web server) to proxy its execution and evade detection.""
   }
 ][
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]","['T1056', 'T1218']","['T1056', 'T1218']","['T1056', 'T1218']","['T1056', 'T1218']",['T1056']
976,"[
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique Name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule looks for access to .bat files via a web application, which could be an attempt to compromise a system through a drive-by download.""
 ][
     ""sid"": ""12345"",
     ""Technique ID"": ""T1226"",
     ""Technique name"": ""Inter-Process Communication"",
     ""Quotes"": ""Adversaries may use inter-process communication (IPC) mechanisms to exchange information between processes on a local system"",
     ""Explanation"": ""This rule looks for .bat files being accessed over the web, which could be an indication of an attacker attempting to execute commands on the web server.""
 ][
   {
     ""sid"": ""976"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule looks for attempts to access a URL with a .bat extension, which could be an attempt to exploit a web application vulnerability.""
   }
 ]","['T1189', 'T1190', 'T1124']","['T1189', 'T1190']","['T1189', 'T1226']","['T1189', 'T1226']",['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""Identify Security Controls"",
     ""Quotes"": ""Adversaries may identify security controls, asset management, and security gaps to obtain situational awareness."",
     ""Explanation"": ""This rule looks for a web application accessing a `.htaccess` file, which contains configuration settings for Apache web servers. By accessing `.htaccess`, adversaries can gather information about the server's security configuration and identify potential vulnerabilities.""
   }
 ][
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""C2 Server Communications Using Alternate Protocols"",
     ""Quotes"": ""Employing web directories or files like '.htaccess' to communicate with a server is a method commonly observed in malware-based command and control (C2) communications."",
     ""Explanation"": ""This IDS rule targets access attempts to '.htaccess' files, which can be abused for C2 communications.""
 ][
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique Name"": ""Automated Credential Harvester"",
     ""Quotes"": null,
     ""Explanation"": ""The rule detects attempts to access .htaccess files, which are commonly used by web servers to control access to files and directories. This behavior is consistent with attackers attempting to gather information about the web server's configuration, which could be used to identify potential vulnerabilities or exploit the server.""
   }
 ]",[],[],['T1170'],['T1170'],['T1218']
27967,"[
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": ""Adversaries may use a web shell as an alternative method to maintain remote access to a system."",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ][
   {
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": ""Web shells are malicious scripts that grant the adversary remote access to a compromised web server or web application."",
     ""Explanation"": ""This event is generated when activity relating to the Chopper backdoor is detected. Chopper is known for delivering web shells that give adversaries remote access to web servers and web applications.""
   }
 ][
     {
         ""sid"": ""27967"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": ""Adversaries may use Web shells, which are malicious scripts embedded on vulnerable web servers, to maintain remote access to a system."",
         ""Explanation"": ""This rule looks for network traffic associated with the Chopper web shell, which is commonly used by attackers to gain and maintain remote access to systems.""
     }
 ]",['T1105'],['T1105'],['T1100'],['T1100'],"['T1505', 'T1219']"
29869,"[
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""Phishing is a technique that involves sending fraudulent emails, messages, or links that appear to come from legitimate sources to trick recipients into taking an action."",
     ""Explanation"": ""This event is generated when malware is attempting to contact a remote host.""
   }
 ][
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""Phishing is the fraudulent attempt to obtain sensitive information such as usernames, passwords, and credit card details, often for malicious reasons, by disguising as a trustworthy entity in an electronic communication."",
     ""Explanation"": ""This rule detects phishing attacks targeting the ""facebook.com.exe"" file, likely attempting to trick users into downloading malware or providing personal information.""
   }
 ][
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": ""\""Phishing techniques attempt to trick users into giving up their credentials or other information. The rule references an attempt by Win.Trojan.Napolar to deceive users through a phishing attack involving 'facebook.com.exe'."",
     ""Explanation"": ""This rule detects phishing attacks by a Trojan (Napolar), which lures users through a file ('facebook.com.exe') to steal credentials.""
   }
 ]",[],[],['T1192'],['T1192'],['T1566']
31807,"[
     {
         ""sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
         ""Explanation"": ""This rule looks for attempts to exfiltrate data over SMTP, which is a common channel used by trojans.""
     }
 ][
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
     ""Explanation"": ""This rule looks for data exfiltration attempts by malware using the SMTP protocol.""
 ][
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
     ""Explanation"": ""This rule looks for a pattern that is associated with the Nighthunter Trojan, which is known to exfiltrate data via an existing command and control channel.""
   }
 ]","['T1029', 'T1048', 'T1550', 'T1041', 'T1567', 'T1564', 'T1589']","['T1048', 'T1041']",['T1041'],['T1041'],['T1020']
58751,"[
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule looks for attempts to exploit a remote code execution vulnerability in Log4j's ""Lookup"" functionality.""
 ]
 {}
 [
   {
     ""sid"": ""58751"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network."",
     ""Explanation"": ""This rule targets the same vulnerability as the previous one, but is tailored to detect attempts exploiting this vulnerability against SMTP servers.""
   }
 ]","['T1190', 'T1210']",['T1190'],['T1190'],['T1190'],['T1190']
36100,"[
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1078"",
         ""Technique Name"": ""Valid Accounts"",
         ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."",
         ""Explanation"": ""This rule detects attempts to log in to ManageEngine OpManager with default credentials, which is an example of using valid accounts to gain initial access.""
     },
     {
         ""sid"": ""36100"",
         ""Technique ID"": ""T1552"",
         ""Technique Name"": ""Unsecured Credentials"",
         ""Quotes"": ""Adversaries may search compromised systems to find and obtain insecurely stored credentials."",
         ""Explanation"": ""This rule detects attempts to log in to ManageEngine OpManager with default credentials, which could indicate that the credentials are stored insecurely.""
     }
 ]{}
 {}
 ","['T1110', 'T1552', 'T1078', 'T1528', 'T1190']","['T1078', 'T1190']","['T1078', 'T1552']","['T1078', 'T1552']",['T1078']
10096,"[
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
     ""Explanation"": ""This event is generated when malware that is designed to record keystrokes is detected.""
 ][
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes."",
     ""Explanation"": ""Keylogging is a classic example of Input Capture technique, where user input, which can include sensitive information, is captured.""
   }
 ][
   {
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
     ""Explanation"": ""The rule indicates the detection of the Keylogger which is a malware that  focuses on intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""
   }
 ]",['T1056'],['T1056'],['T1056'],['T1056'],['T1056']
