Sid,Response,Technique_id,True_labels
50094,"[
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1557"",
         ""Technique name"": ""Man-in-the-Middle"",
         ""Quotes"": ""This technique intercepts files in the network communication between two systems to capture or manipulate the data being transmitted."",
         ""Explanation"": ""The rule detects an HTTP attack attempt consistent with a Man-in-the-Middle scenario where a malicious server is sending altered HTTP responses to intercept and manipulate data.""
     }
 ]",['T1557'],['T1187']
38563,"[
     {
         ""sid"": ""38563"",
         ""Technique ID"": ""T1056"",
         ""Technique Name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data."",
         ""Explanation"": ""This event is generated when activity relating to malware is detected.""
     }
 ]",['T1056'],['T1056']
976,"[
     {
         ""Sid"": ""976"",
         ""Technique ID"": ""T1190"",
         ""Technique Name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Exploits of publicly accessible applications can lead to unauthorized access and system compromise."",
         ""Explanation"": ""The rule detects attempts to access .bat files typically through CGI scripts, which can be indicators of exploitation attempts on web applications.""
     }
 ]",['T1190'],['T1204']
1129,"[
     {
         ""Sid"": ""1129"",
         ""Technique ID"": ""T1190"",
         ""Technique Name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may attempt to exploit a weakness in an Internet-facing computer application or server to execute or gain capabilities on a system."",
         ""Explanation"": ""This rule detects attempts to access the .htaccess file, which could be indicative of attempts to exploit or manipulate web application configurations to gain unauthorized access or execute arbitrary code.""
     }
 ]",['T1190'],['T1218']
27967,"{
     ""sid"": ""27967"",
     ""Technique ID"": ""T1505"",
     ""Technique name"": ""Server Software Component"",
     ""Quotes"": ""Adversaries may abuse legitimate extensible components in server software to execute attacker-controlled code. This type of technique uses the inherent functionality of these components to hide the malicious activity."",
     ""Explanation"": ""The rule detects communications likely from a Chopper web shell, which is a server software component that can execute code or commands from attackers remotely.""
 }",['T1505'],"['T1505', 'T1219']"
29869,"[
     {
         ""Sid"": ""29869"",
         ""Technically D"": ""T1192"",
         ""Technique Name"": ""Spearphishing Link"",
         ""Quotes"": ""Adversaries may send spearphishing messages via email where the recipient is enticed to click on a link. This technique is used to deceive users into visiting malicious websites or to download malware. This rule detects a Trojan (Napolar) using 'facebook.com.exe', which could mimic or invoke a commonly trusted site to trick users into downloading, likely through deceptive messages."",
         ""Explanation"": ""The rule identifies an attempt typical of spearphishing where a link (possibly delivered via email or other messaging service) is used to spread malware by tricking the user into clicking and executing a malicious file named resembling a trusted entity.""
     }
 ]",['T1192'],['T1566']
31807,"[
     {
         ""Sid"": ""31807"",
         ""Technique ID"": ""T1071"",
         ""Technique name"": ""Application Layer Protocol"",
         ""Quotes"": ""Adversaries may use application layer protocols to communicate with systems controlled by a malicious actor. This could include custom command and control protocols or existing legitimate protocols, like SMTP, to facilitate data transfer."",
         ""Explanation"": ""The use of SMTP in the rule indicates that the Trojan named Nighthunter is likely utilizing SMTP, an application layer protocol, to exfiltrate data.""
     },
     {
         ""Sid"": ""31807"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Data exfiltration is performed over the command and control channel. The adversary is likely to use the control channel mechanisms established for cycling data into and out of the target network."",
         ""Explanation"": ""The rule identifies a data exfiltration attempt, likely over a command and control channel, by the Win.Trojan.Nighthunter, via SMTP.""
     }
 ]","['T1071', 'T1041']",['T1020']
58751,"[
     {
         ""Sid"": ""58751"",
         ""Technique ID"": ""T1190"",
         ""Technique Name"": ""Exploit Public-Facing Application"",
         ""Quotes"": ""Adversaries may exploit vulnerabilities in public-facing applications to gain initial access to a victim's network."",
         ""Explanation"": ""This rule is designed to detect attempts to exploit a known vulnerability in the Apache Log4j library, which could allow remote code execution through malformed inputs sent to vulnerable services exposed on the internet.""
     }
 ]",['T1190'],['T1190']
36100,"[
     {
         ""Sid"": ""36100"",
         ""Technique ID"": ""T1078"",
         ""Technique Name"": ""Valid Accounts"",
         ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts to gain initial access, persist through accesses, privilege escalation, or defense evasion."",
         ""Explanation"": ""This rule targets attempts to access a web application using hardcoded default credentials, which aligns with adversaries using valid accounts to gain access.""
     },
     {
         ""Sid"": ""36100"",
         ""Technique ID"": ""T1110"",
         ""Technique Name"": ""Brute Force"",
         ""Quotes"": ""Adversaries may attempt to guess or crack the passwords of existing accounts as a means to gain access to systems."",
         ""Explanation"": ""Though this rule explicitly seeks default credentials, it relates to the broader technique of brute-forcing by submitting multiple combinations to gain unauthorized access.""
     }
 ]","['T1078', 'T1110']",['T1078']
10096,"[
     {
         ""sid"": ""10096"",
         ""Technique ID"": ""T1056"",
         ""Technique Name"": ""Input Capture"",
         ""Quotes"": ""Adversaries use input capture to record the execution of user input to interfaces on systems through various methods."",
         ""Explanation"": ""The rule detects the activity of a Keylogger, which is a common tool for capturing user inputs, specifically capturing 'KEY' in data transmissions.""
     }
 ]",['T1056'],['T1056']
