Technique_id,True_labels
"['T1557', 'T1557.001']",['T1187']
['T1056'],['T1056']
['T1190'],['T1204']
['T1553.004'],['T1218']
['T1100'],"['T1505', 'T1219']"
['T1192'],['T1566']
"['T1048', 'T1071', 'T10423']",['T1020']
['T1190'],['T1190']
['T1056.001'],['T1078']
['T1100'],['T1056']
['T1071.001'],"['T1001', 'T1219']"
['T1102.001'],['T1071']
['T1566.003'],['T1083']
"['T1505.003', 'T1505.003']",['T1056']
"['T1552.001', 'T1552.001']",['T1505']
"['T1056', 'T1041']",['T1003']
['T1003.002'],['T1056']
['T1566.001'],['T1056']
"['T1105', 'T1059', 'T1059.003', 'T1059.003']",['T1056']
['T1056.001'],['T1059']
"['T1105', 'T1105']",['T1056']
['T1203'],['T1102']
['T1560.001'],['T1574']
['T1190'],['T1106']
['T1190'],['T1190']
['T1190'],['T1190']
['T1078'],['T1505']
"['T1190', 'T1190']",['T1123']
['T1190'],['T1078']
['T1048'],['T1204']
['T1566.001'],['T1213']
['T1190'],['T1048']
['T1078'],['T1176']
['T1078'],['T1190']
"['T1016', 'T1016', 'T1016']",['T1078']
['T1190'],['T1078']
['T1071.001'],['T1043']
['T1203'],['T1190']
"['T1203', 'T1203']",['T1505']
['T1105'],['T1027']
"['T1557.002', 'T1557.002']",['T1218']
['T1498'],['T1071']
['T1190'],['T1020']
['T1190'],['T1187']
['T1505.003'],['T1547']
"['T1190', 'T1190']",['T1176']
"['T1112', 'T1190']",['T1505']
['T1190'],['T1043']
['T1567.002'],['T1071']
"['T1190', 'T1190']",['T1190']
"['T1190', 'T1505']",['T1123']
"['T1105', 'T1071', 'T1071']",['T1505']
['T1176'],['T1176']
['T1105'],['T1074']
['T1566.002'],['T1078']
"['T1202', 'T1548.001', 'T1202']",['T1219']
['T1566.002'],['T1592']
['T1043'],['T1043']
['T1078'],['T1176']
['T1071.001'],['T1043']
"['T1190', 'T1190']",['T1197']
['T1102.002'],['T1204']
['T1505.003'],['T1155']
['T1003.001'],['T1571']
"['T1027', 'T1027']",['T1078']
['T1071.001'],['T1550']
['T1505.003'],['T1094']
['T1087'],['T1102']
['T1190'],['T1106']
['T1021.001'],['T1505']
['T1068'],['T1094']
['T1566.001'],['T1187']
['T1102.002'],['T1094']
['T1190'],['T1027']
['T1190'],['T1176']
['T1192'],['T1190']
['T1056'],['T1087']
['T1221'],['T1505']
['T1071'],['T1078']
['T1102'],['T1021']
['T1110.001'],['T1218']
['T1190'],['T1566']
['T1566.001'],['T1071']
['T1203'],['T1123']
['T1176'],['T1204']
['T1566.002'],['T1566']
['T1485'],['T1020']
['T1048.003'],['T1187']
['T1557.002'],['T1071']
['T1059.004'],['T1220']
['T1071.001'],['T1176']
"['T1071.001', 'T1071.001']",['T1071']
['T1566.002'],['T1110']
['T1100'],['T1048']
['T1071.001'],['T1087']
['T1563.002'],['T1027']
['T1560.001'],['T1176']
"['T1557.001', 'T1557.001']",['T1027']
['T1087'],['T1070']
['T1566.001'],['T1020']
['T1203'],['T1187']
"['T1552.004', 'T1552', 'T1190', 'T1190']",['T1204']
['T1071.004'],['T1123']
"['T1203', 'T1203']",['T1071']
"['T1071.001', 'T1071']",['T1205']
['T1595'],['T1050']
['T1566.002'],['T1204']
['T1095'],"['T1505', 'T1219']"
['T1071.001'],['T1048']
['T1566.001'],['T1195']
"['T1046', 'T1046']",['T1094']
['T1027'],['T1187']
['T1043'],['T1087']
['T1071.001'],['T1218']
['T1071.001'],['T1027']
"['T1203', 'T1566.001', 'T1203', 'T1566.001', 'T1203', 'T1203']",['T1571']
"['T1566.001', 'T1203', 'T1566.001', 'T1203', 'T1566.001']",['T1003']
['T1190'],['T1021']
['T1204'],['T1027']
"['T1203', 'T1203']",['T1119']
['T1021.001'],['T1094']
['T1190'],['T1083']
['T1552.001'],['T1203']
['T1068'],['T1048']
['T1100'],['T1020']
['T1059.001'],['T1643']
['T1566.002'],['T1592']
['T1566.001'],['T1189']
['T1020'],['T1014']
['T1560.001'],['T1014']
['T1014'],['T1105']
['T1102.002'],['T1204']
['T1192'],['T1189']
['T1566.001'],['T1005']
['T1190'],['T1546']
['T1566.001'],['T1027']
['T1190'],['T1021']
['T1485'],['T1102']
['T1552.001'],['T1059']
"['T1553', 'T1553.002', 'T1553']",['T1003']
['T1562.002'],['T1102']
['T1564.004'],['T1547']
['T1566.002'],"['T1505', 'T1219']"
['T1071.001'],['T1059']
['T1071'],['T1001']
['T1071.001'],['T1220']
['T1071'],['T1020']
['T1196'],['T1106']
['T1071.001'],['T1187']
['T1014'],['T1014']
['T1059.001'],['T1020']
['T1068'],['T1123']
['T1566.001'],['T1566']
['T1566.001'],['T1070']
['T1087'],['T1123']
['T1071.001'],['T1643']
['T1192'],['T1189']
['T1190'],['T1070']
"['T1505.003', 'T1552.005', 'T1190', 'T1190']",['T1003']
['T1566.002'],['T1220']
['T1003'],['T1189']
['T1071.001'],['T1014']
['T1068'],['T1059']
['T1071.002'],['T1014']
['T1077'],['T1021']
['T1190'],['T1021']
"['T1071.001', 'T1071.004', 'T1071', 'T1071']",['T1094']
"['T1071.001', 'T1071.001']",['T1219']
['T1071.001'],['T1218']
['T0206'],['T1041']
"['T1014', 'T1014']",['T1014']
"['T1204', 'T1105', 'T1204', 'T1105']",['T1566']
['T1078'],['T1021']
['T1567.002'],['T1059']
['T1566.002'],['T1059']
['T1595'],['T1021']
['T1190'],['T1197']
"['T1046', 'T1016', 'T1016']",['T1087']
['T1573.001'],['T1001']
['T1583.001'],['T1566']
['T1102'],['T1005']
['T1189'],['T1567']
"['T1048', 'T1016', 'T1018', 'T1018']",['T1041']
['T1595'],['T1213']
['T1566.001'],['T1094']
['T1192'],['T1574']
['T1190'],['T1213']
['T1529'],['T1189']
['T1071.001'],['T1047']
['T1100'],['T1571']
['T1566.002'],['T1043']
['T1110'],['T1059']
['T1566.001'],['T1123']
['T1569.002'],['T1014']
['T1190'],['T1559']
['T1190'],['T1110']
['T1219'],['T1192']
['T1190'],['T1070']
['T1566.001'],['T1040']
['T1020'],['T1040']
['T1100'],['T1018']
"['T1203', 'T1203']",['T1195']
['T1221'],['T1593']
"['T1203', 'T1203']",['T1102']
"['T1485', 'T1485']",['T1189']
['T1568.002'],['T1082']
['T1589'],['T1082']
['T1197'],['T1218']
['T1485'],['T1566']
['T1078'],['T1189']
['T1068'],['T1043']
"['T1133', 'T1133']",['T1070']
['T1190'],['T1102']
['T1071.001'],"['T1505', 'T1219']"
['T1566.001'],['T1043']
['T1567.002'],['T1110']
"['T1204', 'T1559.002', 'T1559.002']",['T1218']
['T1567.001'],['T1550']
"['T1190', 'T1190']",['T1047']
['T1190'],['T1220']
['T1071'],['T1219']
