Sid,Response,Technique_id,True_labels
"""50094""","{
   ""Sid"": ""50094"",
   ""Technique ID"": ""T1557"",
   ""Technique Name"": ""Man-in-the-Middle"",
   ""Quotes"": ""This technique involves intercepting the network traffic traveling between the two endpoints. The attacker can then read, insert, and modify the communications."",
   ""Explanation"": ""This MITRE ATT&CK technique is selected because the rule indicates an HTTP attack attempt with malicious content injection using a file path that tries to mimic a network resource access which is a common tactic in Man-in-the-Middle (MitM) attacks. The rule's mention of 'Responder poisoner' refers to a tool commonly used in MitM attacks to intercept and manipulate traffic. The rule specifically targets traffic to HTTP ports and attempts to intercept or manipulate file data in transit, which is characteristic of a MitM attack.""
 }",['T1557'],['T1187']
"""38563""","{
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1102"",
   ""Technique Name"": ""Web Service"",
   ""Quotes"": ""Adversaries may use an existing, legitimate external Web service as a means of relaying commands to a compromised system."",
   ""Explanation"": ""The Snort rule describes a detection for a fake 404 response used by Win.Trojan.GateKeylogger, which suggests that a web service is being utilized to communicate with the compromised system. The use of HTTP status codes and messages to disguise malicious traffic as normal web traffic is indicative of using web services for command and control.""
 }",['T1102'],['T1056']
976,"{
   ""Sid"": 976,
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": ""The adversary is trying to exploit a public-facing application to execute arbitrary code."",
   ""Explanation"": ""This Snort rule is designed to detect access attempts to .bat files, which are batch scripts executable on Windows systems, through the HTTP URI in a web application. Since .bat files can be used maliciously to execute arbitrary commands, this rule likely aims to identify attempts to exploit a public-facing application by targeting CGI scripts, which can be an entry point for server-side execution of potentially harmful scripts.""
 }",['T1190'],['T1204']
"""1129""","{
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1553.004"",
   ""Technique Name"": ""Hijack Execution Flow: Unix Shell Configuration Modification"",
   ""Quotes"": ""Adversaries may modify shell configuration files to automatically execute payloads each time a terminal is opened."",
   ""Explanation"": ""This rule is triggered by attempts to access '.htaccess' files, which can be used to hijack and manipulate server configurations on Apache servers. Manipulating such files is consistent with modifying execution settings such as in the Unix shell configuration modification technique.""
 }",['T1553.004'],['T1218']
"""27967""","{
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1505.003"",
   ""Technique Name"": ""Server Software Component: Web Shell"",
   ""Quotes"": ""Adversaries may backdoor web servers with web shells to establish persistent access to systems."",
   ""Explanation"": ""The rule specifies a signature for detecting 'Win.Backdoor.Chopper web shell connection', which directly indicates the use of a web shell, aligning with the definition of the technique T1505.003: Server Software Component: Web Shell, involving the deployment of web shells on web servers to maintain persistence and facilitate further network exploitation.""
 }",['T1505.003'],"['T1505', 'T1219']"
"""29869""","{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1192"",
   ""Technique Name"": ""Spearphishing Link"",
   ""Quotes"": ""Adversaries may send spearphishing links via email or other electronic communication methods to deliver a malicious payload to a target."",
   ""Explanation"": ""The Snort IDS rule is designed to detect a specific instance of malware communication (Napolar Trojan) that involves phishing, as indicated by the presence of a deceptive file name 'facebook.com.exe' observed in the network traffic. This filename suggests a spearphishing attack, where attackers are mimicking a trusted service to trick victims into executing malicious files, aligning with the technique T1192 - Spearphishing Link.""
 }",['T1192'],['T1566']
"""31807""","{
   ""Sid"": ""31807"",
   ""Technique ID"": ""T1567.002"",
   ""Technique Name"": ""Exfiltration Over Web Service: Exfiltration to Email"",
   ""Quotes"": ""The adversary may use an email service to exfiltrate data and emails can be sent from malware-infected systems."",
   ""Explanation"": ""This Snort IDS rule detects attempts to exfiltrate data over SMTP services, which aligns with the MITRE ATT&CK description of exfiltration through email. The rule specifically looks for emails with a subject indicating execution confirmation from malware, consistent with data exfiltration via email as described in technique T1567.002.""
 }",['T1567.002'],['T1020']
"""58751""","{
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": ""The rule captures the pattern of an attempted exploit, particularly targeting vulnerabilities in public-facing applications - exemplified by Apache Log4j."",
   ""Explanation"": ""The rule is designed to detect attempts to exploit a well-known vulnerability in Apache Log4j, which is often included in public-facing applications. The use of SMTP (port 25) suggests an attack via an internet-facing service. Thus, the rule aligns with the 'Exploit Public-Facing Application' technique, where adversaries try to exploit publicly accessible applications.""
 }",['T1190'],['T1190']
"""36100""","{
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1078"",
   ""Technique Name"": ""Valid Accounts"",
   ""Quotes"": ""Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."",
   ""Explanation"": ""The Snort IDS rule indicates an attempt to authenticate using default credentials to a ManageEngine OpManager application. This technique closely aligns with MITRE ATT&CK's 'Valid Accounts' technique, where attackers use legitimate credentials to gain access. The rule triggers on the use of a specific username and password, demonstrating the exploitation of default credentials, a common example under this technique.""
 }",['T1078'],['T1078']
"""10096""","{
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": ""Capturing user input can be performed by various methods such as keylogging"",
   ""Explanation"": ""The Snort rule specifically mentions detecting a keylogger (win32.remotekeylog.b), which is a direct method of input capture. The rule looks for specific keylogging behavior by detecting the content related to 'KEY'. This correlates with the Input Capture technique where adversaries capture user input to gather information.""
 }",['T1056'],['T1056']
"""37245""","{
   ""Sid"": ""37245"",
   ""Technique ID"": ""T1505"",
   ""Technique Name"": ""Server Software Component"",
   ""Quotes"": ""Adversaries may backdoor server software binaries to establish persistent access to a system."",
   ""Explanation"": ""The Snort rule describes a warning for the Chopper web shell, which is often injected into web servers as a form of backdoor. This aligns with the technique where server software components are modified or replaced with versions that include malicious capabilities.""
 }",['T1505'],"['T1001', 'T1219']"
"""56606""","{
   ""Sid"": ""56606"",
   ""Technique ID"": ""T1071.001"",
   ""Technique Name"": ""Application Layer Protocol: Web Protocols"",
   ""Quotes"": ""Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend with normal network activity to avoid more detailed inspection."",
   ""Explanation"": ""The rule indicates an attempt to communicate using HTTP headers with special conditions, which suggests the use of commonly used web protocols for command and control actions. This correlates with the use of web protocols for stealth communication as described in MITNRE ATT&CK technique T1071.001.""
 }",['T1071.001'],['T1071']
"""56614""","{
   ""Sid"": ""56614"",
   ""Technique ID"": ""T1071.001"",
   ""Technique Name"": ""Application Layer Protocol: Web Protocols"",
   ""Quotes"": ""Snort rule detects connection attempts hinting at HTTP protocol usage for communication, with specific HTTP header manipulations."",
   ""Explanation"": ""The Snort rule is specifically designed to detect HTTP-based communication that may be indicative of a command and control (C2) channel or other malicious activity, typically used by malware such as Cobalt Strike. The specified headers and patterns in HTTP requests are commonly utilized in application layer protocols for malicious purposes.""
 }",['T1071.001'],['T1083']
"""12372""","{
   ""Sid"": ""12372"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": ""Common methods include (...) software keyloggers."",
   ""Explanation"": ""The Snort IDS rule detects a specific malware, mg-shadow 2.0, a keylogger, which primarily focuses on capturing inputs from the user. Keyloggers are directly related to the Input Capture technique as they record the keystrokes made by users to capture potentially sensitive information.""
 }",['T1056'],['T1056']
"""59348""","{
   ""Sid"": ""59348"",
   ""Technique ID"": ""T1505.003"",
   ""Technique Name"": ""Server Software Component: Web Shell"",
   ""Quotes"": ""Adversaries may backdoor web servers with web shells to establish persistent access to systems."",
   ""Explanation"": ""The rule indicates detection of an outbound connection attempt signifying use of a PHP Webshell (CWShell). A web shell could be used by an adversary to maintain persistent access and control over an exploited web server, typically by enabling remote access capabilities. The content keywords in the rule ('<buname -a:' and '<bServer Name:') suggest commands typically used by web shells to execute on servers for gathering information or maintaining presence.""
 }",['T1505.003'],['T1505']
"""39642""","{
   ""Sid"": ""39642"",
   ""Technique ID"": ""T1213"",
   ""Technique Name"": ""Data from Information Repositories"",
   ""Quotes"": ""Adversaries may leverage information repositories to mine valuable information. Repositories may be internal to an organization or external, such as code repositories or public S3 buckets"",
   ""Explanation"": ""The rule targets attempts to access sensitive files through a web application by exploiting the WebNMS framework. This aligns with the data from information repositories technique, where adversaries aim to gather sensitive information such as configuration and database files from servers, which can be internal information repositories.""
 }",['T1213'],['T1003']
"""40238""","{
   ""Sid"": ""40238"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": ""Keylogging or capturing user input to obtain credentials or other sensitive information."",
   ""Explanation"": ""The Snort rule identifies traffic indicating a Keylogger.AgentTesla malware variant which is known for capturing keystrokes (input capture). The rule detects outbound HTTP connections where data such as hardware ID (hwid), computer name (pcname), username, and password are transmitted, which are typical data points targeted by keyloggers to capture from user inputs.""
 }",['T1056'],['T1056']
