Sid,Response,Technique_id,True_labels
213,"[TextBlock(text='[\n  {\n    ""sid"": ""213"",\n    ""Technique ID"": ""T1195"",\n    ""Technique Name"": ""Supply Chain Compromise"",\n    ""Quotes"": [\n      ""MALWARE-BACKDOOR MISC Linux rootkit attempt""\n    ],\n    ""Explanation"": ""The Snort rule appears to be detecting a potential Linux rootkit, which could be an indicator of a supply chain compromise where malicious code is introduced into a software supply chain.""\n  },\n  {\n    ""sid"": ""213"", \n    ""Technique ID"": ""T1021"",\n    ""Technique Name"": ""Remote Services"",\n    ""Quotes"": [\n      ""$TELNET_SERVERS 23""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for traffic to Telnet servers on port 23, which is a remote service that could be exploited for remote access or lateral movement within a network.""\n  }\n]', type='text')]","['T1195', 'T1021']",['T1014']
214,"[TextBlock(text='[\n  {\n    ""sid"": ""214"",\n    ""Technique ID"": ""T1195"",\n    ""Technique Name"": ""Supply Chain Compromise"",\n    ""Quotes"": [\n      ""\\""MALWARE-BACKDOOR MISC Linux rootkit attempt lrkr0x\\""""\n    ],\n    ""Explanation"": ""The Snort rule appears to be detecting a potential Linux rootkit named \'lrkr0x\', which could be an indicator of a supply chain compromise where malicious code is introduced into a software supply chain.""\n  },\n  {\n    ""sid"": ""214"", \n    ""Technique ID"": ""T1211"",\n    ""Technique Name"": ""Exploitation for Privilege Escalation"",\n    ""Quotes"": [\n      ""\\""MALWARE-BACKDOOR MISC Linux rootkit attempt lrkr0x\\""""\n    ],\n    ""Explanation"": ""The rule is looking for a Linux rootkit, which is often used for privilege escalation on compromised systems by exploiting vulnerabilities to gain higher-level permissions.""\n  }\n]', type='text')]","['T1195', 'T1211']",['T1014']
215,"[TextBlock(text='[\n  {\n    ""sid"": ""215"",\n    ""Technique ID"": ""T1195"",\n    ""Technique Name"": ""Supply Chain Compromise"",\n    ""Quotes"": [\n      ""MALWARE-BACKDOOR MISC Linux rootkit attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a potential Linux rootkit attempt, which could be a result of a supply chain compromise where malicious code is introduced into a software supply chain.""\n  },\n  {\n    ""sid"": ""215"", \n    ""Technique ID"": ""T1543"",\n    ""Technique Name"": ""Create or Modify System Process"",\n    ""Quotes"": [\n      ""MALWARE-BACKDOOR MISC Linux rootkit attempt""\n    ],\n    ""Explanation"": ""The Snort rule is looking for a specific pattern (\'d13hh[\') that could be indicative of a rootkit attempting to create or modify a system process on a Linux system.""\n  }\n]', type='text')]","['T1195', 'T1543']",['T1014']
216,"[TextBlock(text='[\n  {\n    ""sid"": ""216"",\n    ""Technique ID"": ""T1195"",\n    ""Technique Name"": ""Supply Chain Compromise"",\n    ""Quotes"": [\n      ""MALWARE-BACKDOOR MISC Linux rootkit satori attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit a Linux rootkit called \'satori\', which is a type of malware that can be introduced through a supply chain compromise. The rule looks for the string \'satori\' in network traffic, suggesting that it is aimed at detecting the presence or attempted use of this malware.""\n  },\n  {\n    ""sid"": ""216"",\n    ""Technique ID"": ""T1211"",\n    ""Technique Name"": ""Exploitation for Privilege Escalation"",\n    ""Quotes"": [\n      ""MALWARE-BACKDOOR MISC Linux rootkit satori attempt""\n    ],\n    ""Explanation"": ""The Snort rule mentions \'rootkit\', which is a type of malware that is often used for privilege escalation on compromised systems. The rule is likely aimed at detecting attempts to exploit vulnerabilities or misconfigurations that could allow the attacker to gain elevated privileges (e.g., root access) on the targeted Linux system.""\n  }\n]', type='text')]","['T1195', 'T1211']",['T1014']
233,"[TextBlock(text='[\n  {\n    ""sid"": ""233"",\n    ""Technique ID"": ""T1195"",\n    ""Technique Name"": ""Supply Chain Compromise"",\n    ""Quotes"": [\n      ""MALWARE-OTHER Trin00 Attacker to Master default startup password""\n    ],\n    ""Explanation"": ""The Snort rule appears to be detecting malware related to the Trin00 backdoor, which is known for compromising supply chains and using default passwords. This aligns with the Supply Chain Compromise technique in ATT&CK.""\n  },\n  {\n    ""sid"": ""233"", \n    ""Technique ID"": ""T1059"",\n    ""Technique Name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Attacker to Master default startup password""\n    ],\n    ""Explanation"": ""The rule mentions a \'Master\' component, which could be a command and control server. Malware often uses command and scripting interpreters to execute code on compromised systems, so this technique is relevant.""\n  }\n]', type='text')]","['T1195', 'T1059']",['T1078']
234,"[TextBlock(text='[\n  {\n    ""sid"": ""234"",\n    ""Technique ID"": ""T1059"",\n    ""Technique Name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [""The Snort rule detects traffic related to the Trin00 malware, which likely uses a command and scripting interpreter to execute malicious code on the victim system.""],\n    ""Explanation"": ""The Snort rule is designed to detect the Trin00 malware, which is known to use command and scripting interpreters to execute malicious code on the victim system. The rule looks for a specific string (\'gOrave\') in the network traffic, which could be a signature or command used by the malware.""\n  },\n  {\n    ""sid"": ""234"",\n    ""Technique ID"": ""T1059.001"",\n    ""Technique Name"": ""PowerShell"",\n    ""Quotes"": [""While the rule does not explicitly mention PowerShell, it is possible that the Trin00 malware uses PowerShell as a command and scripting interpreter on Windows systems.""],\n    ""Explanation"": ""PowerShell is a powerful command-line shell and scripting language used in Windows operating systems. Malware like Trin00 may leverage PowerShell to execute malicious code or scripts on the compromised system. The rule could be detecting network traffic related to the use of PowerShell by the malware.""\n  }\n]', type='text')]","['T1059', 'T1059.001']",['T1078']
235,"[TextBlock(text='[\n  {\n    ""sid"": ""235"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Web Site Content Compromise"",\n    ""Quotes"": [\n      ""MALWARE-OTHER Trin00 Attacker to Master default mdie password""\n    ],\n    ""Explanation"": ""The Snort rule appears to be detecting malware or malicious traffic related to the Trin00 malware, which is known for compromising websites and injecting malicious content. Therefore, the \'Malicious Web Site Content Compromise\' technique is relevant.""\n  },\n  {\n    ""sid"": ""235"",\n    ""Technique ID"": ""T1499"",\n    ""Technique Name"": ""Endpoint Denial of Service"",\n    ""Quotes"": [\n      ""attempted-dos""\n    ],\n    ""Explanation"": ""The Snort rule has a \'classtype\' of \'attempted-dos\', which suggests that it is detecting an attempt to perform a Denial of Service (DoS) attack against an endpoint or system. Hence, the \'Endpoint Denial of Service\' technique is applicable.""\n  }\n]', type='text')]","['T1071.001', 'T1499']",['T1078']
237,"[TextBlock(text='[\n  {\n    ""sid"": ""237"",\n    ""Technique ID"": ""T1059.004"",\n    ""Technique Name"": ""Command and Scripting Interpreter: Unix Shell"",\n    ""Quotes"": [""The Snort rule detects a specific string \'l44adsl\', which could be a command or script used by the Trin00 malware to communicate with its command and control server.""],\n    ""Explanation"": ""The Snort rule appears to be detecting a potential malware named Trin00, which uses a default password to attempt communication with a command and control server. This aligns with the Command and Scripting Interpreter technique, where malware uses an interpreter (in this case, a Unix shell) to execute commands or scripts on the compromised system.""\n  },\n  {\n    ""sid"": ""237"",\n    ""Technique ID"": ""T1609"",\n    ""Technique Name"": ""Unix Shell Configuration Modification"",\n    ""Quotes"": [""The rule references a potential attempted denial-of-service attack (classtype:attempted-dos), which could involve modifying Unix shell configurations to disrupt system operations.""],\n    ""Explanation"": ""While the Snort rule does not explicitly mention shell configuration modification, the reference to a potential denial-of-service attack suggests that the malware may attempt to modify Unix shell configurations to achieve its objectives. This technique is often used by malware to persist on compromised systems or disrupt their operations.""\n  }\n]', type='text')]","['T1059.004', 'T1609']",['T1078']
613,"[TextBlock(text='[\n  {\n    ""sid"": ""613"",\n    ""Technique ID"": ""T1046"",\n    ""Technique Name"": ""Network Service Scanning"",\n    ""Quotes"": [\n      ""The rule is looking for TCP traffic with the SYN flag set and an abnormally high TTL value, which could indicate a network scan.""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect network scanning activity, specifically targeting a specific port (10101) on the internal network. Network service scanning is a technique used by attackers to identify open ports and services on target systems, which aligns with the purpose of this rule.""\n  },\n  {\n    ""sid"": ""613"", \n    ""Technique ID"": ""T1595"",\n    ""Technique Name"": ""Active Scanning"",\n    ""Quotes"": [\n      ""The rule is looking for TCP SYN packets with a high TTL value, which could indicate an active network scan.""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect active scanning techniques, where an attacker sends specially crafted packets to probe for open ports and services. The combination of the SYN flag and high TTL value suggests an active scanning attempt, which aligns with this ATT&CK technique.""\n  }\n]', type='text')]","['T1046', 'T1595']","['T1018', 'T1040', 'T1046']"
616,"[TextBlock(text='[\n  {\n    ""sid"": ""616"",\n    ""Technique ID"": ""T1046"",\n    ""Technique Name"": ""Network Service Scanning"",\n    ""Quotes"": [\n      ""INDICATOR-SCAN ident version request""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to scan for the ident (Identification Protocol) service version, which is a technique used by attackers to gather information about network services running on a target system. This aligns with the \'Network Service Scanning\' technique in MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""616"", \n    ""Technique ID"": ""T1595"",\n    ""Technique Name"": ""Active Scanning"",\n    ""Quotes"": [\n      ""INDICATOR-SCAN ident version request""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for an \'ident version request\', which is an active scanning technique used to probe and gather information about a target system. This maps to the \'Active Scanning\' technique in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1046', 'T1595']","['T1018', 'T1040', 'T1046']"
