Sid,Response,Technique_id,True_labels
50094,"[TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1557"",\n    ""Technique name"": ""Adversary-in-the-Middle"",\n    ""Quotes"": [""Adversaries may attempt to insert themselves into communication channels between two legitimate hosts to gain access to data flows.""],\n    ""Explanation"": ""This rule detects an attempt to perform an HTTP attack that leverages the Responder tool to poison the browser cache and perform an Adversary-in-the-Middle attack by redirecting requests for a logo image to a malicious server.""\n  },\n  {\n    ""sid"": ""50094"", \n    ""Technique ID"": ""T1556"",\n    ""Technique name"": ""Deobfuscate/Decode Files or Information"",\n    ""Quotes"": [""Adversaries may use obfuscated/encoded/encrypted files in order to hide artifacts of an operation.""],\n    ""Explanation"": ""The rule looks for a specific obfuscated/encoded string (<img src=|27|file://RespProxySrv/pictures/logo.jpg|27|) that is used in the Responder poisoner HTTP attack, which suggests the adversary may be deobfuscating/decoding files or information as part of the attack.""\n  }\n]', type='text')]","['T1557', 'T1556']",['T1187']
38563,"[TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""The rule detects activity related to the Win.Trojan.GateKeylogger malware, which is a keylogger designed to capture user input data like keystrokes. The rule looks for a fake \'404 Not Found\' response from the malware, which is a common technique used by keyloggers to disguise their communication with a command and control server while capturing user input.""\n  },\n  {\n    ""sid"": ""38563"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among hosts within a network.""],\n    ""Explanation"": ""The rule detects the malware communicating over HTTP, which is an application layer protocol. The malware uses HTTP to send captured user input data to the command and control server while disguising the traffic as a fake \'404 Not Found\' error.""\n  }\n]', type='text')]","['T1056', 'T1071']",['T1056']
976,"[TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1505"",\n    ""Technique name"": ""Server Software Component"",\n    ""Quotes"": [""Adversaries may attempt to exploit software installed by the operating system or other legitimate software that is common across system builds.""],\n    ""Explanation"": ""This rule detects attempts to access .bat files, which are Windows batch scripts, through the /cgi-bin/ directory on web servers. This could indicate an attempt to exploit vulnerabilities in web server software components like CGI scripts.""\n  },\n  {\n    ""sid"": ""976"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program to gain initial access to a system.""],\n    ""Explanation"": ""The rule is looking for requests to access .bat files on web servers, which could be an attempt to exploit vulnerabilities in public-facing web applications.""\n  }\n]', type='text')]","['T1505', 'T1190']",['T1204']
1129,"[TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1170"",\n    ""Technique name"": ""Browser Bookmark Discovery"",\n    ""Quotes"": [""Adversaries may leverage browser bookmarks to learn more about externally facing websites or resources that may be a source of additional information.""],\n    ""Explanation"": ""This rule detects attempts to access the .htaccess file, which is a configuration file used by Apache web servers. Accessing this file could reveal information about the web server configuration, which aligns with the Browser Bookmark Discovery technique.""\n  },\n  {\n    ""sid"": ""1129"", \n    ""Technique ID"": ""T1595"",\n    ""Technique name"": ""Active Scanning: Vulnerable Web Server"",\n    ""Quotes"": [""Adversaries may attempt to find vulnerable Web servers by actively scanning and identifying hosts/applications that are susceptible to remote code execution.""],\n    ""Explanation"": ""The rule is looking for attempts to access the .htaccess file, which could be an indication of an adversary trying to identify vulnerabilities in the web server configuration, aligning with the Active Scanning: Vulnerable Web Server technique.""\n  }\n]', type='text')]","['T1170', 'T1595']",['T1218']
27967,"[TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1100"",\n    ""Technique name"": ""Web Shell"",\n    ""Quotes"": [""This rule looks for a web shell named \'Chopper\' that allows remote code execution on the compromised system.""],\n    ""Explanation"": ""Web shells are malicious scripts deployed on web servers to enable remote administration. This rule detects traffic patterns indicative of the Chopper web shell being used for malicious purposes.""\n  },\n  {\n    ""sid"": ""27967"", \n    ""Technique ID"": ""T1090"",\n    ""Technique name"": ""Proxy"",\n    ""Quotes"": [""The rule looks for the \'X-Forwarded-For\' HTTP header, which is commonly used by proxy servers to identify the originating IP address of a client.""],\n    ""Explanation"": ""Adversaries may use a proxy server to obfuscate their traffic and hide their true source IP address. This rule checks for the presence of the \'X-Forwarded-For\' header, which could indicate the use of a proxy.""\n  }\n]', type='text')]","['T1100', 'T1090']","['T1505', 'T1219']"
29869,"[TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1192"",\n    ""Technique name"": ""Spearphishing Link"",\n    ""Quotes"": [""Adversaries may send spearphishing emails with a malicious link in an attempt to gain credentials to access systems.""],\n    ""Explanation"": ""This rule detects a Trojan (Napolar) that is likely being delivered via a spearphishing email containing a malicious link or attachment disguised as a legitimate Facebook executable.""\n  },\n  {\n    ""sid"": ""29869"", \n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [""Adversaries may use phishing techniques to deceive users into revealing sensitive information or performing an action that enables access to systems.""],\n    ""Explanation"": ""The rule explicitly mentions that it is detecting a \'phishing attack\' involving the Napolar Trojan, which likely involves social engineering tactics to trick users.""\n  }\n]', type='text')]","['T1192', 'T1566']",['T1566']
31807,"[TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""Adversaries may use an alternative protocol to exfiltrate data from a target network that does not pass through or is not inspected by defensive network devices.""],\n    ""Explanation"": ""This rule detects a Trojan (Nighthunter) attempting to exfiltrate data over the SMTP protocol, which is an alternative protocol that may bypass network defenses focused on common protocols like HTTP or FTP.""\n  },\n  {\n    ""sid"": ""31807"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [""Adversaries may use an application layer protocol for communication between host and C2 server or among hosts within a network.""],\n    ""Explanation"": ""The rule looks for SMTP traffic with a specific subject line indicating communication between the Nighthunter Trojan and its command and control server, which utilizes the application layer SMTP protocol.""\n  }\n]', type='text')]","['T1048', 'T1071']",['T1020']
58751,"[TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.""],\n    ""Explanation"": ""This rule detects attempts to exploit the Log4j vulnerability in Apache servers exposed to the internet via the SMTP service. The vulnerability allows remote code execution, which is a common technique used by adversaries to gain initial access to a network.""\n  },\n  {\n    ""sid"": ""58751"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [""Adversaries may exploit software vulnerabilities in Internet-facing systems to execute code. Exploits targeting public-facing web applications, databases, and cloud services may facilitate adversary access to cloud resources or internal networks.""],\n    ""Explanation"": ""The rule specifically looks for exploitation attempts targeting the Log4j vulnerability, which could allow an adversary to execute arbitrary code on the vulnerable system. This aligns with the Exploitation for Client Execution technique.""\n  }\n]', type='text')]","['T1190', 'T1211']",['T1190']
36100,"[TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [""Adversaries may attempt to log in to an existing account using valid credentials.""],\n    ""Explanation"": ""This rule detects an attempt to authenticate to the ManageEngine OpManager web application using the default credentials (IntegrationUser/plugin), which is a form of using valid accounts for initial access.""\n  },\n  {\n    ""sid"": ""36100"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [""Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program to gain initial access to a system.""],\n    ""Explanation"": ""The rule is looking for exploitation attempts against the ManageEngine OpManager web application, which is a public-facing application, by trying to authenticate with default credentials.""\n  }\n]', type='text')]","['T1078', 'T1190']",['T1078']
10096,"[TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information.""],\n    ""Explanation"": ""This rule detects activity related to a keylogger malware (win32.remotekeylog.b) that captures keystrokes, which is a form of Input Capture technique used by adversaries to obtain sensitive information.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1020"",\n    ""Technique name"": ""Remote Desktop Protocol"",\n    ""Quotes"": [""Adversaries may use Remote Desktop Protocol (RDP) to gain initial access or maintain persistence on remote systems. Remote desktop is a common feature in operating systems that allows a user to log into an interactive session with a remote system from the desktop.""],\n    ""Explanation"": ""The rule mentions \'remotekeylog\', which suggests the keylogger malware may be using RDP to remotely access and control the compromised system, allowing the adversary to capture keystrokes.""\n  }\n]', type='text')]","['T1056', 'T1020']",['T1056']
