Sid,Response,Technique_id,True_labels
50094,"[TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1499"",\n    ""Technique Name"": ""Endpoint Denial of Service"",\n    ""Quotes"": [\n      ""Responder poisoner HTTP attack attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a Responder poisoner HTTP attack, which is a type of Endpoint Denial of Service attack that aims to crash or freeze the targeted system by sending malicious HTTP requests.""\n  },\n  {\n    ""sid"": ""50094"", \n    ""Technique ID"": ""T1211"",\n    ""Technique Name"": ""Exploitation for Defense Evasion"",\n    ""Quotes"": [\n      ""file_data; content:\\""<img src=|27|file://RespProxySrv/pictures/logo.jpg|27|\\""""\n    ],\n    ""Explanation"": ""The rule is looking for a specific pattern in the HTTP request that suggests an attempt to exploit a vulnerability in the targeted system, likely for the purpose of evading defensive measures.""\n  }\n]', type='text')]","['T1499', 'T1211']",['T1187']
38563,"[TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Web Service"",\n    ""Quotes"": [\n      ""content:\\""200\\""; http_stat_msg; content:\\""OK\\""; pkt_data; content:\\""404 Not Found<\\"",fast_pattern,nocase; content:\\"" requested URL / was not found \\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a malware known as Win.Trojan.GateKeylogger, which uses a fake 404 response to deliver its payload. The rule looks for specific patterns in the HTTP response, such as the status code 200 and the message \'OK\', followed by a fake 404 error message. This technique is consistent with the Web Service technique (T1071.001) in MITRE ATT&CK, which involves using web services to transfer data or execute code.""\n  },\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""msg:\\""MALWARE-CNC Win.Trojan.GateKeylogger fake 404 response\\""""\n    ],\n    ""Explanation"": ""The Snort rule specifically mentions that it is designed to detect the Win.Trojan.GateKeylogger malware, which is a keylogger trojan. Keyloggers are used to capture user input, such as keystrokes and mouse movements, which aligns with the Input Capture technique (T1056) in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1071.001', 'T1056']",['T1056']
976,"[TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1105"",\n    ""Technique Name"": ""Ingress Tool Transfer"",\n    ""Quotes"": [\n      ""content:\\"".bat?\\"",fast_pattern,nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access .bat files, which are batch script files in Windows. This could indicate an attempt to transfer and execute malicious batch scripts on the target system, which aligns with the Ingress Tool Transfer technique.""\n  },\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""content:\\""/cgi-bin/\\"",nocase;"",\n      ""service:http;"",\n      ""classtype:web-application-activity;""\n    ],\n    ""Explanation"": ""The Snort rule targets HTTP traffic and specifically mentions \'/cgi-bin/\', which is a directory commonly used for server-side scripts in web applications. Additionally, the rule is classified as \'web-application-activity\'. This suggests that the rule is aimed at detecting potential exploitation attempts against public-facing web applications.""\n  }\n]', type='text')]","['T1105', 'T1190']",['T1204']
1129,"[TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1170"",\n    ""Technique Name"": ""Browser Extensions"",\n    ""Quotes"": [\n      ""T1170""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access the .htaccess file, which is a configuration file used by Apache web servers to control access and functionality. Accessing this file could be an attempt to gain unauthorized access or modify server configurations, which aligns with the \'Browser Extensions\' technique in MITRE ATT&CK, where adversaries may use malicious browser extensions to gain unauthorized access or manipulate web content.""\n  },\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""SERVER-WEBAPP .htaccess access""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for attempts to access the .htaccess file, which could be an indication of an attempt to exploit a public-facing web application. This aligns with the \'Exploit Public-Facing Application\' technique in MITRE ATT&CK, where adversaries attempt to exploit vulnerabilities in public-facing applications to gain unauthorized access or execute malicious code.""\n  }\n]', type='text')]","['T1170', 'T1170', 'T1190']",['T1218']
27967,"[TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1100"",\n    ""Technique Name"": ""Web Shell"",\n    ""Quotes"": [\n      ""MALWARE-CNC Win.Backdoor.Chopper web shell connection"",\n      ""content:\\""caidao=\\"",fast_pattern,nocase; pcre:\\""/caidao\\\\s?=\\\\s?(Response|Write|Execute)/im\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect the Chopper web shell, which is a type of malicious web script that allows remote administration of a compromised system. The rule looks for specific patterns in HTTP requests that are indicative of the Chopper web shell being used, such as the \'caidao=\' parameter and certain commands like \'Response\', \'Write\', and \'Execute\'. This directly maps to the Web Shell technique (T1100) in MITRE ATT&CK, which involves the use of malicious scripts or programs to gain unauthorized access and control over a web server.""\n  },\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1090"",\n    ""Technique Name"": ""Proxy"",\n    ""Quotes"": [\n      ""content:\\""X-Forwarded-For\\"",nocase;""\n    ],\n    ""Explanation"": ""The Snort rule checks for the presence of the \'X-Forwarded-For\' HTTP header, which is commonly used to identify the originating IP address of a client when traffic passes through a proxy or load balancer. This suggests that the rule is also designed to detect potential proxy usage, which could be an indicator of an attacker attempting to obfuscate their true source IP address. This relates to the Proxy technique (T1090) in MITRE ATT&CK, which involves the use of proxy servers or other system infrastructure to hide or redirect network traffic.""\n  }\n]', type='text')]","['T1100', 'T1090']","['T1505', 'T1219']"
29869,"[TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1192"",\n    ""Technique Name"": ""Spearphishing Link"",\n    ""Quotes"": [\n      ""facebook.com.exe""\n    ],\n    ""Explanation"": ""The Snort rule detects a phishing attack using a malicious executable disguised as a legitimate Facebook application, which aligns with the Spearphishing Link technique where attackers send malicious links or files masquerading as legitimate content.""\n  },\n  {\n    ""sid"": ""29869"", \n    ""Technique ID"": ""T1071"",\n    ""Technique Name"": ""Malicious Link"",\n    ""Quotes"": [\n      ""facebook.com.exe""\n    ],\n    ""Explanation"": ""The rule is designed to detect a malware campaign that uses a malicious executable file disguised as a legitimate Facebook application, which falls under the Malicious Link technique where attackers deliver malicious files or links to victims.""\n  }\n]', type='text')]","['T1192', 'T1071']",['T1566']
31807,"[TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Link"",\n    ""Quotes"": [""Subject|3A| Limitless Logger |3A 20 3A| Execution Confirmation""],\n    ""Explanation"": ""The Snort rule is looking for a specific pattern in the email subject line, which could indicate a malicious link being sent for execution confirmation of a malware or trojan.""\n  },\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1048"",\n    ""Technique Name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""msg:\\""MALWARE-CNC Win.Trojan.Nighthunter data exfiltration attempt\\""""],\n    ""Explanation"": ""The Snort rule explicitly mentions \'data exfiltration attempt\' in the message field, which aligns with the technique of exfiltrating data over an alternative protocol like SMTP.""\n  }\n]', type='text')]","['T1071.001', 'T1048']",['T1020']
58751,"[TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1609"",\n    ""Technique Name"": ""Unix Shell Configuration Modification"",\n    ""Quotes"": [\n      ""Apache Log4j logging remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability, which allows remote code execution on affected systems. This vulnerability can be leveraged to modify Unix shell configurations, enabling the attacker to execute arbitrary commands on the compromised system.""\n  },\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Apache Log4j logging remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule specifically mentions an attempt to exploit the Apache Log4j vulnerability, which is a public-facing application vulnerability. Exploiting such vulnerabilities in public-facing applications is a common technique used by attackers to gain initial access or escalate privileges on a target system.""\n  }\n]', type='text')]","['T1609', 'T1190']",['T1190']
36100,"[TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique Name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""content:\\""userName=IntegrationUser\\"",fast_pattern,nocase; content:\\""password=plugin\\"",nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to authenticate with default credentials (userName=IntegrationUser and password=plugin) for the ManageEngine OpManager application, which maps to the Valid Accounts technique where adversaries leverage existing accounts with valid credentials.""\n  },\n  {\n    ""sid"": ""36100"", \n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""alert tcp $EXTERNAL_NET any - $HOME_NET $HTTP_PORTS"",\n      ""http_uri; content:\\""/jsp/Login.do\\"",nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is looking for incoming HTTP traffic to the /jsp/Login.do URI, which suggests an attempt to exploit a public-facing web application (ManageEngine OpManager), aligning with the Exploit Public-Facing Application technique.""\n  }\n]', type='text')]","['T1078', 'T1190']",['T1078']
10096,"[TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Keylogger win32.remotekeylog.b runtime detection - keylog""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a specific keylogger malware called \'win32.remotekeylog.b\', which is used for capturing user input, such as keystrokes. This directly maps to the \'Input Capture\' technique in MITRE ATT&CK, which involves capturing user input data, including keystrokes, for purposes such as credential theft.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1059"",\n    ""Technique Name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""runtime detection""\n    ],\n    ""Explanation"": ""The Snort rule mentions \'runtime detection\', which suggests that it is detecting the execution or runtime behavior of the keylogger malware. This could potentially involve the use of command-line interpreters or scripting environments to execute the malicious code, which aligns with the \'Command and Scripting Interpreter\' technique in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1056', 'T1059']",['T1056']
