Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Prompt_Limit_Without_Competition_With_Limit_Return,Without_Prompt_Limit_With_Competition_Without_Limit_Return,Without_Prompt_Limit_With_Competition_With_Limit_Return,True_labels
50094,"[TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1036"",\n    ""Technique name"": ""Masquerading"",\n    ""Quotes"": [\n      ""Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an HTTP attack attempt where the attacker tries to masquerade as a legitimate image file by using the \'file://\' protocol handler to load a remote image from a malicious server. This technique is used by adversaries to make their malicious content appear benign to evade detection.""\n  },\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1659"",\n    ""Technique name"": ""Content Injection"",\n    ""Quotes"": [\n      ""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to inject malicious content (an image tag with a remote source) into an HTTP response, which is a form of content injection. This technique is used by adversaries to gain access and maintain communication with the victim\'s system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1036"",\n    ""Technique name"": ""Masquerading"",\n    ""Quotes"": [\n      ""Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an HTTP attack attempt where the attacker tries to masquerade as a legitimate image file by using the \'file://\' protocol handler to load a remote image from a malicious server. This technique is used by adversaries to make their malicious content appear benign to evade detection.""\n  },\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1659"",\n    ""Technique name"": ""Content Injection"",\n    ""Quotes"": [\n      ""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to inject malicious content (an image tag with a remote source) into an HTTP response, which is a form of content injection. This technique is used by adversaries to gain access and maintain communication with the victim\'s system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1036"",\n    ""Technique name"": ""Masquerading"",\n    ""Quotes"": [\n      ""Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an HTTP attack attempt where the attacker tries to masquerade as a legitimate image file by using the \'file://\' protocol handler to load a remote image from a malicious server. This technique is used by adversaries to make their malicious content appear benign to evade detection.""\n  },\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1659"",\n    ""Technique name"": ""Content Injection"",\n    ""Quotes"": [\n      ""Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to inject malicious content (an image tag with a remote source) into an HTTP response, which is a form of content injection. This technique is used by adversaries to gain access and maintain communication with the victim\'s system.""\n  }\n]', type='text')]","['T1204', 'T1499', 'T1567', 'T1036', 'T1195', 'T1539', 'T1566', 'T1190', 'T1211', 'T1040', 'T1027', 'T1659', 'T1557', 'T1565']","['T1204', 'T1566']","['T1036', 'T1659']","['T1036', 'T1659']",['T1187']
38563,"[TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a fake 404 response from the Win.Trojan.GateKeylogger malware, which is likely used to capture user input such as keystrokes or other sensitive information.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a fake 404 response from the Win.Trojan.GateKeylogger malware, which is likely used to capture user input such as keystrokes or other sensitive information.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a fake 404 response from the Win.Trojan.GateKeylogger malware, which is likely used to capture user input such as keystrokes or other sensitive information.""\n  }\n]', type='text')]","['T1102', 'T1071', 'T1008', 'T1041', 'T1056', 'T1090', 'T1027', 'T1059', 'T1001']","['T1071', 'T1102']",['T1056'],['T1056'],['T1056']
976,"[TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access a .bat file through a web server\'s CGI-bin directory, which could indicate an attempt to exploit a vulnerability in a public-facing web application.""\n  },\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to access a .bat file, which is a Windows batch script file that can be executed by the command interpreter (cmd.exe). This could be an attempt to execute malicious commands or scripts on the server.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access a .bat file through a web server\'s CGI-bin directory, which could indicate an attempt to exploit a vulnerability in a public-facing web application.""\n  },\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to access a .bat file, which is a Windows batch script file that can be executed by the command interpreter (cmd.exe). This could be an attempt to execute malicious commands or scripts on the server.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access a .bat file through a web server\'s CGI-bin directory, which could indicate an attempt to exploit a vulnerability in a public-facing web application.""\n  },\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to access a .bat file, which is a Windows batch script file that can be executed by the command interpreter (cmd.exe). This could be an attempt to execute malicious commands or scripts on the server.""\n  }\n]', type='text')]","['T1204', 'T1505', 'T1189', 'T1105', 'T1202', 'T1195', 'T1539', 'T1190', 'T1203', 'T1046', 'T1106', 'T1059', 'T1595', 'T1071']","['T1505', 'T1189']","['T1190', 'T1059']","['T1190', 'T1059']",['T1204']
1129,"[TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access the .htaccess file, which is a configuration file used by Apache web servers to control access and behavior for specific directories. This aligns with the technique of File and Directory Discovery, where adversaries enumerate files and directories to gather information.""\n  },\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1046"",\n    ""Technique name"": ""Network Service Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation""\n    ],\n    ""Explanation"": ""The Snort rule is triggered when a request is made to HTTP servers, which implies that the adversary is attempting to discover and interact with network services running on the target system. This aligns with the Network Service Discovery technique, where adversaries identify services running on a system for potential exploitation.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access the .htaccess file, which is a configuration file used by Apache web servers to control access and behavior for specific directories. This aligns with the technique of File and Directory Discovery, where adversaries enumerate files and directories to gather information.""\n  },\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1046"",\n    ""Technique name"": ""Network Service Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation""\n    ],\n    ""Explanation"": ""The Snort rule is triggered when a request is made to HTTP servers, which implies that the adversary is attempting to discover and interact with network services running on the target system. This aligns with the Network Service Discovery technique, where adversaries identify services running on a system for potential exploitation.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to access the .htaccess file, which is a configuration file used by Apache web servers to control access and behavior for specific directories. This aligns with the technique of File and Directory Discovery, where adversaries enumerate files and directories to gather information.""\n  },\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1046"",\n    ""Technique name"": ""Network Service Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation""\n    ],\n    ""Explanation"": ""The Snort rule is triggered when a request is made to HTTP servers, which implies that the adversary is attempting to discover and interact with network services running on the target system. This aligns with the Network Service Discovery technique, where adversaries identify services running on a system for potential exploitation.""\n  }\n]', type='text')]","['T1595', 'T1083', 'T1046', 'T1213']","['T1213', 'T1083']","['T1083', 'T1046']","['T1083', 'T1046']",['T1218']
27967,"[TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1505"",\n    ""Technique name"": ""Server Software Component"",\n    ""Quotes"": [\n      ""Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect the Chopper web shell, which is a malicious server software component that allows an attacker to gain persistent access to a compromised system.""\n  },\n  {\n    ""sid"": ""27967"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic, which is an application layer protocol, and the Chopper web shell uses HTTP to communicate with the attacker\'s command and control server, blending in with normal web traffic.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1505"",\n    ""Technique name"": ""Server Software Component"",\n    ""Quotes"": [\n      ""Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect the Chopper web shell, which is a malicious server software component that allows an attacker to gain persistent access to a compromised system.""\n  },\n  {\n    ""sid"": ""27967"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic, which is an application layer protocol, and the Chopper web shell uses HTTP to communicate with the attacker\'s command and control server, blending in with normal web traffic.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1505"",\n    ""Technique name"": ""Server Software Component"",\n    ""Quotes"": [\n      ""Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect the Chopper web shell, which is a malicious server software component that allows an attacker to gain persistent access to a compromised system.""\n  },\n  {\n    ""sid"": ""27967"", \n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic, which is an application layer protocol, and the Chopper web shell uses HTTP to communicate with the attacker\'s command and control server, blending in with normal web traffic.""\n  }\n]', type='text')]","['T1102', 'T1078', 'T1505', 'T1071', 'T1190', 'T1211']","['T1505', 'T1071']","['T1505', 'T1071']","['T1505', 'T1071']","['T1505', 'T1219']"
29869,"[TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule detects a phishing attack using a malicious file named \'facebook.com.exe\', which is likely an attempt to trick users into executing it by disguising it as a legitimate Facebook application. This aligns with the phishing technique where adversaries send malicious messages or files to gain access to victim systems.""\n  },\n  {\n    ""sid"": ""29869"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a trojan named \'Win.Trojan.Napolar\' that relies on the user executing the malicious file \'facebook.com.exe\'. This aligns with the User Execution technique, where the adversary relies on the user to perform specific actions (executing the malicious file) to gain execution on the system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule detects a phishing attack using a malicious file named \'facebook.com.exe\', which is likely an attempt to trick users into executing it by disguising it as a legitimate Facebook application. This aligns with the phishing technique where adversaries send malicious messages or files to gain access to victim systems.""\n  },\n  {\n    ""sid"": ""29869"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a trojan named \'Win.Trojan.Napolar\' that relies on the user executing the malicious file \'facebook.com.exe\'. This aligns with the User Execution technique, where the adversary relies on the user to perform specific actions (executing the malicious file) to gain execution on the system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule detects a phishing attack using a malicious file named \'facebook.com.exe\', which is likely an attempt to trick users into executing it by disguising it as a legitimate Facebook application. This aligns with the phishing technique where adversaries send malicious messages or files to gain access to victim systems.""\n  },\n  {\n    ""sid"": ""29869"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a trojan named \'Win.Trojan.Napolar\' that relies on the user executing the malicious file \'facebook.com.exe\'. This aligns with the User Execution technique, where the adversary relies on the user to perform specific actions (executing the malicious file) to gain execution on the system.""\n  }\n]', type='text')]","['T1204', 'T1566', 'T1189', 'T1027']","['T1189', 'T1204']","['T1566', 'T1204']","['T1566', 'T1204']",['T1566']
31807,"[TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1041"",\n    ""Technique name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over an existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which could be used as a command and control channel by malware like Win.Trojan.Nighthunter.""\n  },\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which is an alternative protocol to the primary command and control channel used by the malware.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1041"",\n    ""Technique name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over an existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which could be used as a command and control channel by malware like Win.Trojan.Nighthunter.""\n  },\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which is an alternative protocol to the primary command and control channel used by the malware.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1041"",\n    ""Technique name"": ""Exfiltration Over C2 Channel"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over an existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which could be used as a command and control channel by malware like Win.Trojan.Nighthunter.""\n  },\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1048"",\n    ""Technique name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [\n      ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a potential data exfiltration attempt over SMTP, which is an alternative protocol to the primary command and control channel used by the malware.""\n  }\n]', type='text')]","['T1102', 'T1537', 'T1029', 'T1071', 'T1041', 'T1567', 'T1048', 'T1020', 'T1092', 'T1030']","['T1071', 'T1020']","['T1041', 'T1048']","['T1041', 'T1048']",['T1020']
58751,"[TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability in Apache, which is a public-facing application. This aligns with the T1190 technique, where adversaries exploit vulnerabilities in Internet-facing systems to gain initial access.""\n  },\n  {\n    ""sid"": ""58751"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Defense Evasion"",\n    ""Quotes"": [\n      ""Adversaries may exploit a system or application vulnerability to bypass security features""\n    ],\n    ""Explanation"": ""The Log4j vulnerability being targeted by this Snort rule can potentially be used by adversaries to bypass security controls and gain unauthorized access or execute malicious code, which aligns with the T1211 technique of exploiting vulnerabilities for defense evasion.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability in Apache, which is a public-facing application. This aligns with the T1190 technique, where adversaries exploit vulnerabilities in Internet-facing systems to gain initial access.""\n  },\n  {\n    ""sid"": ""58751"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Defense Evasion"",\n    ""Quotes"": [\n      ""Adversaries may exploit a system or application vulnerability to bypass security features""\n    ],\n    ""Explanation"": ""The Log4j vulnerability being targeted by this Snort rule can potentially be used by adversaries to bypass security controls and gain unauthorized access or execute malicious code, which aligns with the T1211 technique of exploiting vulnerabilities for defense evasion.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability in Apache, which is a public-facing application. This aligns with the T1190 technique, where adversaries exploit vulnerabilities in Internet-facing systems to gain initial access.""\n  },\n  {\n    ""sid"": ""58751"", \n    ""Technique ID"": ""T1211"",\n    ""Technique name"": ""Exploitation for Defense Evasion"",\n    ""Quotes"": [\n      ""Adversaries may exploit a system or application vulnerability to bypass security features""\n    ],\n    ""Explanation"": ""The Log4j vulnerability being targeted by this Snort rule can potentially be used by adversaries to bypass security controls and gain unauthorized access or execute malicious code, which aligns with the T1211 technique of exploiting vulnerabilities for defense evasion.""\n  }\n]', type='text')]","['T1190', 'T1505', 'T1567', 'T1059', 'T1195', 'T1608', 'T1566', 'T1572', 'T1211', 'T1095', 'T1595']","['T1505', 'T1190']","['T1190', 'T1211']","['T1190', 'T1211']",['T1190']
36100,"[TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""\'Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion\'""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to authenticate using the default credentials \'IntegrationUser\' and \'plugin\' for the ManageEngine OpManager web application. This aligns with the technique \'Valid Accounts\' where adversaries abuse existing credentials to gain access.""\n  },\n  {\n    ""sid"": ""36100"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""\'Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\'""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for authentication attempts to the ManageEngine OpManager web application, which is likely a public-facing application. Attempting to authenticate with default credentials could be an attempt to exploit a weakness in the application to gain initial access, aligning with the \'Exploit Public-Facing Application\' technique.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""\'Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion\'""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to authenticate using the default credentials \'IntegrationUser\' and \'plugin\' for the ManageEngine OpManager web application. This aligns with the technique \'Valid Accounts\' where adversaries abuse existing credentials to gain access.""\n  },\n  {\n    ""sid"": ""36100"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""\'Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\'""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for authentication attempts to the ManageEngine OpManager web application, which is likely a public-facing application. Attempting to authenticate with default credentials could be an attempt to exploit a weakness in the application to gain initial access, aligning with the \'Exploit Public-Facing Application\' technique.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""\'Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion\'""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to authenticate using the default credentials \'IntegrationUser\' and \'plugin\' for the ManageEngine OpManager web application. This aligns with the technique \'Valid Accounts\' where adversaries abuse existing credentials to gain access.""\n  },\n  {\n    ""sid"": ""36100"", \n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""\'Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network\'""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for authentication attempts to the ManageEngine OpManager web application, which is likely a public-facing application. Attempting to authenticate with default credentials could be an attempt to exploit a weakness in the application to gain initial access, aligning with the \'Exploit Public-Facing Application\' technique.""\n  }\n]', type='text')]","['T1078', 'T1190', 'T1606', 'T1110', 'T1586', 'T1555']","['T1078', 'T1190']","['T1078', 'T1190']","['T1078', 'T1190']",['T1078']
10096,"[TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware, which captures user input (keystrokes) to steal credentials or other sensitive information, aligning with the Input Capture technique.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1115"",\n    ""Technique Name"": ""Clipboard Data"",\n    ""Quotes"": [\n      ""Adversaries may collect data stored in the clipboard from users copying information within or between applications""\n    ],\n    ""Explanation"": ""While the Snort rule specifically targets a keylogger, some keyloggers may also capture clipboard data, making the Clipboard Data technique relevant.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware, which captures user input (keystrokes) to steal credentials or other sensitive information, aligning with the Input Capture technique.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1115"",\n    ""Technique Name"": ""Clipboard Data"",\n    ""Quotes"": [\n      ""Adversaries may collect data stored in the clipboard from users copying information within or between applications""\n    ],\n    ""Explanation"": ""While the Snort rule specifically targets a keylogger, some keyloggers may also capture clipboard data, making the Clipboard Data technique relevant.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Adversaries may use methods of capturing user input to obtain credentials or collect information""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware, which captures user input (keystrokes) to steal credentials or other sensitive information, aligning with the Input Capture technique.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1115"",\n    ""Technique Name"": ""Clipboard Data"",\n    ""Quotes"": [\n      ""Adversaries may collect data stored in the clipboard from users copying information within or between applications""\n    ],\n    ""Explanation"": ""While the Snort rule specifically targets a keylogger, some keyloggers may also capture clipboard data, making the Clipboard Data technique relevant.""\n  }\n]', type='text')]","['T1056', 'T1114', 'T1564', 'T1555', 'T1040', 'T1115', 'T1123']","['T1056', 'T1123']","['T1056', 'T1115']","['T1056', 'T1115']",['T1056']
