Sid,Response,Technique_id,True_labels
50094,"[TextBlock(text='[\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1499"",\n    ""Technique Name"": ""Endpoint Denial of Service"",\n    ""Quotes"": [\n      ""INDICATOR-COMPROMISE Responder poisoner HTTP attack attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a Responder poisoner HTTP attack attempt, which is a type of Endpoint Denial of Service attack that aims to crash or freeze the targeted system by exploiting vulnerabilities or misconfigurations.""\n  },\n  {\n    ""sid"": ""50094"",\n    ""Technique ID"": ""T1499.002"",\n    ""Technique Name"": ""Endpoint Denial of Service: Resource Exhaustion"",\n    ""Quotes"": [\n      ""content:\\""<img src=|27|file://RespProxySrv/pictures/logo.jpg|27|\\""""\n    ],\n    ""Explanation"": ""The rule is looking for a specific pattern in the HTTP request that attempts to load a file from the local file system, which could potentially exhaust system resources and cause a denial of service condition.""\n  }\n]', type='text')]","['T1499', 'T1499.002']",['T1187']
38563,"[TextBlock(text='[\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""Win.Trojan.GateKeylogger""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a malware called Win.Trojan.GateKeylogger, which is a keylogger trojan. Keyloggers are used to capture user input, such as keystrokes, which aligns with the Input Capture technique (T1056) from MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""38563"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Web Site Content Compromise"",\n    ""Quotes"": [\n      ""fake 404 response"",\n      ""404 Not Found<"",\n      ""requested URL / was not found""\n    ],\n    ""Explanation"": ""The Snort rule is looking for a fake 404 response from the malware, which is an attempt to disguise its malicious activity as a legitimate 404 error. This behavior is consistent with the Malicious Web Site Content Compromise technique (T1071.001), where an adversary compromises a website to deliver malicious content.""\n  }\n]', type='text')]","['T1056', 'T1071.001']",['T1056']
976,"[TextBlock(text='[\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1105"",\n    ""Technique Name"": ""Ingress Tool Transfer"",\n    ""Quotes"": [\n      ""content:\\"".bat?\\"",fast_pattern,nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP requests containing \'.bat?\', which suggests an attempt to transfer or execute a batch script (.bat file) on the server. This aligns with the Ingress Tool Transfer technique, where an adversary transfers tools or utilities onto a system for execution.""\n  },\n  {\n    ""sid"": ""976"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""content:\\""/cgi-bin/\\"",nocase;"",\n      ""service:http;"",\n      ""classtype:web-application-activity;""\n    ],\n    ""Explanation"": ""The Snort rule is specifically targeting HTTP traffic and looking for requests to the \'/cgi-bin/\' directory, which is commonly used for server-side scripts and web applications. This suggests an attempt to exploit vulnerabilities in public-facing web applications, aligning with the Exploit Public-Facing Application technique.""\n  }\n]', type='text')]","['T1105', 'T1190']",['T1204']
1129,"[TextBlock(text='[\n  {\n    ""sid"": ""1129"",\n    ""Technique ID"": ""T1170"",\n    ""Technique Name"": ""Browser Extensions"",\n    ""Quotes"": [\n      ""content:\\"".htaccess\\"",fast_pattern,nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is looking for attempts to access the .htaccess file, which is a configuration file used by Apache web servers to control access and behavior for specific directories. Attackers may attempt to access or modify this file to gain unauthorized access or execute malicious code on the server. This aligns with the Browser Extensions technique, which involves modifying web server configurations to achieve persistence or enable malicious behavior.""\n  }\n]', type='text')]",['T1170'],['T1218']
27967,"[TextBlock(text='[\n  {\n    ""sid"": ""27967"",\n    ""Technique ID"": ""T1100"",\n    ""Technique Name"": ""Web Shell"",\n    ""Quotes"": [\n      ""MALWARE-CNC Win.Backdoor.Chopper web shell connection"",\n      ""caidao="",\n      ""caidao\\\\s?=\\\\s?(Response|Write|Execute)""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect the presence of a web shell named \'Chopper\' on the target system. Web shells are malicious scripts that allow remote administration of a compromised web server, which aligns with the \'Web Shell\' technique (T1100) in the MITRE ATT&CK framework.""\n  }\n]', type='text')]",['T1100'],"['T1505', 'T1219']"
29869,"[TextBlock(text='[\n  {\n    ""sid"": ""29869"",\n    ""Technique ID"": ""T1192"",\n    ""Technique Name"": ""Spearphishing Link"",\n    ""Quotes"": [\n      ""\\""MALWARE-CNC Win.Trojan.Napolar phishing attack\\""""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a phishing attack involving the Win.Trojan.Napolar malware, which is likely delivered through a spearphishing link. The \'T1192\' tag in the rule directly maps to the \'Spearphishing Link\' technique in MITRE ATT&CK.""\n  }\n]', type='text')]","['T1192', 'T1192']",['T1566']
31807,"[TextBlock(text='[\n  {\n    ""sid"": ""31807"",\n    ""Technique ID"": ""T1071.001"",\n    ""Technique Name"": ""Malicious Link"",\n    ""Quotes"": [""Subject|3A| Limitless Logger |3A 20 3A| Execution Confirmation""],\n    ""Explanation"": ""The Snort rule is looking for a specific pattern in the email subject line, which could indicate a malicious link or attachment being sent for malware execution or data exfiltration.""\n  },\n  {\n    ""sid"": ""31807"", \n    ""Technique ID"": ""T1048.003"",\n    ""Technique Name"": ""Exfiltration Over Alternative Protocol"",\n    ""Quotes"": [""msg:\\""MALWARE-CNC Win.Trojan.Nighthunter data exfiltration attempt\\"""", ""service:smtp""],\n    ""Explanation"": ""The rule is specifically designed to detect data exfiltration attempts by the Win.Trojan.Nighthunter malware, which uses SMTP (email) as an alternative protocol for data exfiltration.""\n  }\n]', type='text')]","['T1071.001', 'T1048.003']",['T1020']
58751,"[TextBlock(text='[\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1609"",\n    ""Technique Name"": ""Unix Shell Configuration Modification"",\n    ""Quotes"": [\n      ""Apache Log4j logging remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect attempts to exploit the Log4j vulnerability (CVE-2021-44228) in Apache Log4j, which allows remote code execution by modifying the logging configuration. This aligns with the Unix Shell Configuration Modification technique, where adversaries modify shell configurations to achieve persistence or enable execution of malicious code.""\n  },\n  {\n    ""sid"": ""58751"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Apache Log4j logging remote code execution attempt""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for attempts to exploit the Log4j vulnerability in Apache, which is a public-facing application. This directly maps to the Exploit Public-Facing Application technique, where adversaries attempt to exploit software vulnerabilities in internet-facing servers and applications.""\n  }\n]', type='text')]","['T1609', 'T1190']",['T1190']
36100,"[TextBlock(text='[\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1078"",\n    ""Technique Name"": ""Valid Accounts"",\n    ""Quotes"": [\n      ""content:\\""userName=IntegrationUser\\"",fast_pattern,nocase;"",\n      ""content:\\""password=plugin\\"",nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP requests containing specific username and password values, which indicates an attempt to authenticate using valid credentials. This aligns with the Valid Accounts technique from MITRE ATT&CK, where adversaries leverage existing accounts with valid credentials to gain initial access or elevate privileges.""\n  },\n  {\n    ""sid"": ""36100"",\n    ""Technique ID"": ""T1190"",\n    ""Technique Name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""alert tcp $EXTERNAL_NET any - $HOME_NET $HTTP_PORTS"",\n      ""http_uri; content:\\""/jsp/Login.do\\"",nocase;""\n    ],\n    ""Explanation"": ""The Snort rule is specifically looking for HTTP traffic targeting a public-facing web application (/jsp/Login.do) from external networks. This matches the Exploit Public-Facing Application technique, where adversaries attempt to exploit software vulnerabilities in internet-facing systems or services.""\n  }\n]', type='text')]","['T1078', 'T1190']",['T1078']
10096,"[TextBlock(text='[\n  {\n    ""sid"": ""10096"",\n    ""Technique ID"": ""T1056"",\n    ""Technique Name"": ""Input Capture"",\n    ""Quotes"": [\n      ""MALWARE-OTHER Keylogger win32.remotekeylog.b runtime detection - keylog"",\n      ""content:\\""KEY\\"",depth 3,nocase""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a keylogger malware called \'win32.remotekeylog.b\'. Keyloggers are used to capture user input, such as keystrokes, which aligns with the \'Input Capture\' technique from MITRE ATT&CK.""\n  },\n  {\n    ""sid"": ""10096"", \n    ""Technique ID"": ""T1059"",\n    ""Technique Name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""MALWARE-OTHER Keylogger win32.remotekeylog.b runtime detection - keylog""\n    ],\n    ""Explanation"": ""The rule is detecting a specific malware called \'win32.remotekeylog.b\', which likely uses a command and scripting interpreter to execute its malicious code on the compromised system, aligning with the \'Command and Scripting Interpreter\' technique from MITRE ATT&CK.""\n  }\n]', type='text')]","['T1056', 'T1059']",['T1056']
