Technique_id,True_labels
"['T1568', 'T1568']",['T1187']
['T1056'],['T1056']
"['T1059.005', 'T1059.005']",['T1204']
"['T1170', 'T1170']",['T1218']
['T1100'],"['T1505', 'T1219']"
['T1192'],['T1566']
['T1020'],['T1020']
"['T1190', 'T1190']",['T1190']
['T1078'],['T1078']
['T1556.002'],['T1056']
"['T1001', 'T1100', 'T1132']","['T1001', 'T1219']"
['T1071'],['T1071']
"['T1219', 'T1219']",['T1083']
['T1005'],['T1056']
['T1505'],['T1505']
['T1003'],['T1003']
['T1056'],['T1056']
['T1083'],['T1056']
['T1056'],['T1056']
['T1059'],['T1059']
"['T1556.002', 'T1556.002']",['T1056']
"['T1071', 'T1071']",['T1102']
['T1211'],['T1574']
"['T1505', 'T1505']",['T1106']
['T1054.002'],['T1190']
['T1190'],['T1190']
['T1505.003'],['T1505']
"['T1190', 'T1190']",['T1123']
"['T1110', 'T1110']",['T1078']
"['T1505', 'T1505']",['T1204']
"['T1059.004', 'T1059.003', 'T1059.004', 'T1059.003', 'T1059.004', 'T1059.003']",['T1213']
"['T1048', 'T1048']",['T1048']
['T1203'],['T1176']
"['T1190', 'T1190']",['T1190']
['T1078'],['T1078']
['T1078'],['T1078']
"['T1016', 'T1016']",['T1043']
"['T1211', 'T1211']",['T1190']
"['T1505.003', 'T1505.003']",['T1505']
['T1211'],['T1027']
"['T1218', 'T1218']",['T1218']
['T1071'],['T1071']
['T1567'],['T1020']
"['T1557.001', 'T1557.001']",['T1187']
"['T1498', 'T1498.001', 'T1498.001']",['T1547']
"['T1203', 'T1203']",['T1176']
['T1505'],['T1505']
"['T1105', 'T1105']",['T1043']
['T1505'],['T1071']
['T1190'],['T1190']
['T1190'],['T1123']
['T1505'],['T1505']
['T1071'],['T1176']
['T1595.002'],['T1074']
"['T1505.003', 'T1505.003']",['T1078']
"['T1071', 'T1071']",['T1219']
"['T1499', 'T1498', 'T1499', 'T1498']",['T1592']
['T1071'],['T1043']
['T1176'],['T1176']
['T1572'],['T1043']
['T1071.001'],['T1197']
['T1059.008'],['T1204']
"['T1098', 'T1098']",['T1155']
['T1071.001'],['T1571']
"['T1078', 'T1078']",['T1078']
['T1190'],['T1550']
['T1505'],['T1094']
['T1204.002'],['T1102']
['T1190'],['T1106']
['T1505'],['T1505']
['T1505'],['T1094']
['T1003.001'],['T1187']
"['T1505', 'T1505.003', 'T1505.003']",['T1094']
['T1027'],['T1027']
['T1071.001'],['T1176']
"['T1190', 'T1190']",['T1190']
['T1087'],['T1087']
"['T1505.003', 'T1505.003']",['T1505']
['T1068'],['T1078']
['T1021.001'],['T1021']
"['T1203', 'T1203']",['T1218']
"['T1566.001', 'T1566.001']",['T1566']
['T1071'],['T1071']
['T1190'],['T1123']
"['T1190', 'T1190']",['T1204']
['T1192'],['T1566']
"['T1020', 'T1056']",['T1020']
"['T1557.001', 'T1557.001']",['T1187']
"['T1505', 'T1505']",['T1071']
"['T1614', 'T1614']",['T1220']
['T1071'],['T1176']
['T1102'],['T1071']
"['T1110', 'T1110']",['T1110']
"['T1190', 'T1211', 'T1190']",['T1048']
['T1105'],['T1087']
"['T1203', 'T1203']",['T1027']
['T1176'],['T1176']
"['T1059.007', 'T1059.007']",['T1027']
['T1529'],['T1070']
['T1048'],['T1020']
"['T1557.001', 'T1557.001']",['T1187']
"['T1190', 'T1190']",['T1204']
"['T1190', 'T1190']",['T1123']
['T1071'],['T1071']
['T1071.001'],['T1205']
['T1219'],['T1050']
"['T1505', 'T1505']",['T1204']
"['T1100', 'T1100']","['T1505', 'T1219']"
['T1572'],['T1048']
['T1071.004'],['T1195']
['T1505'],['T1094']
"['T1557.001', 'T1557.001']",['T1187']
"['T1087', 'T1087']",['T1087']
['T1203'],['T1218']
"['T1203', 'T1203']",['T1027']
['T1071'],['T1571']
"['T1552.001', 'T1552.001']",['T1003']
"['T1572', 'T1572']",['T1021']
"['T1211', 'T1211']",['T1027']
"['T1598.002', 'T1598.002']",['T1119']
['T1071'],['T1094']
"['T1595.002', 'T1595.002']",['T1083']
"['T1203', 'T1203']",['T1203']
"['T1008', 'T1008']",['T1048']
"['T1071.001', 'T1071.001']",['T1020']
['T1195'],['T1643']
"['T1498', 'T1498', 'T1498']",['T1592']
"['T1027', 'T1140', 'T1027', 'T1140']",['T1189']
['T1219'],['T1014']
['T1071.001'],['T1014']
['T1071'],['T1105']
"['T1023', 'T1204', 'T1204']",['T1204']
['T1189'],['T1189']
"['T1190', 'T1190']",['T1005']
"['T1105', 'T1105']",['T1546']
['T1189'],['T1027']
"['T1021.005', 'T1021.005']",['T1021']
['T1295'],['T1102']
"['T1059.001', 'T1059.001']",['T1059']
['T1003'],['T1003']
"['T1608.004', 'T1608.004']",['T1102']
['T1195'],['T1547']
"['T1100', 'T1100']","['T1505', 'T1219']"
"['T1086', 'T1086']",['T1059']
['T1071.001'],['T1001']
['T1211'],['T1220']
['T1020'],['T1020']
"['T1505', 'T1505']",['T1106']
"['T1557.001', 'T1557.001']",['T1187']
['T1014'],['T1014']
"['T1071', 'T1071']",['T1020']
"['T1190', 'T1190']",['T1123']
['T1192'],['T1566']
"['T1105', 'T1105']",['T1070']
['T1190'],['T1123']
['T1071.001'],['T1643']
"['T1211', 'T1211']",['T1189']
"['T1505', 'T1505.003', 'T1505.003']",['T1070']
"['T1213', 'T1213.002', 'T1213.002']",['T1003']
"['T1195', 'T1195']",['T1220']
"['T1210', 'T1210']",['T1189']
['T1195'],['T1014']
"['T1064', 'T1064']",['T1059']
['T1071.001'],['T1014']
['T1048'],['T1021']
['T1572'],['T1021']
['T1071'],['T1094']
"['T1105', 'T1105']",['T1219']
['T1196'],['T1218']
['T1071'],['T1041']
['T1014'],['T1014']
"['T1557.002', 'T1557.002']",['T1566']
"['T1572', 'T1572.001', 'T1572', 'T1572.001']",['T1021']
"['T1059.001', 'T1059.001']",['T1059']
"['T1211', 'T1211']",['T1059']
"['T1572', 'T1572.001', 'T1572', 'T1572.001']",['T1021']
['T1071'],['T1197']
['T1087'],['T1087']
['T1071'],['T1001']
['T1192'],['T1566']
"['T1190', 'T1190']",['T1005']
"['T1083', 'T1083']",['T1567']
['T1071.001'],['T1041']
