Rule,MITRE Technique ID
"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-BACKDOOR Jsp.Webshell.Chopper webshell download attempt""; flow:to_client,established; file_data; content:""DriverManager.getConnection""; content:""ServletOutputStream""; content:""ResultSetMetaData""; content:""request.getParameter""; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:trojan-activity; gid:1; sid:59928; rev:2; )",['T1094']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP ABB default password login attempt""; flow:to_server,established; http_header; content:""Authorization|3A|"",nocase; content:""c2VydmljZTpBQkI4MDB4QQ=="",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:http; classtype:default-login-attempt; sid:37378; rev:3; )",['T1078']
"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION Invalid HTTP version evasion attempt""; flow:to_client,established; content:""HTTP/"",depth 5,fast_pattern,nocase; content:!""0.9 "",within 4; content:!""1.0 "",within 4; content:!""1.1 "",within 4; content:!""2.0 "",within 4; metadata:policy max-detect-ips drop; service:http; classtype:non-standard-protocol; sid:38595; rev:3; )",['T1027']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC SambaCry ransomware download attempt""; flow:to_server,established; content:""/kelly6666/lo.txt"",fast_pattern,nocase; metadata:impact_flag red; service:http; classtype:trojan-activity; sid:45469; rev:3; )",['T1571']
"alert http ( msg:""SERVER-WEBAPP Atlassian Confluence OGNL expression injection attempt""; flow:to_server,established; http_uri; content:""${"",fast_pattern; content:""atlassian."",distance 0; content:""|28|"",distance 0; content:""}"",distance 0; pcre:""/\x24\x7b[^\x7d]*?atlassian\x2e[^\x7d]*?\x28/i""; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; classtype:attempted-user; gid:1; sid:59941; rev:3; )",['T1190']
"alert tcp $HOME_NET [21,25,443,465,636,992,993,995,2484] -> $EXTERNAL_NET any ( msg:""SERVER-OTHER OpenSSL SSLv3 large heartbeat response - possible ssl heartbleed attempt""; flow:to_client,established; content:""|18 03 00|""; byte_jump:2,0,relative; content:""|18 03 00|"",within 3; byte_test:2,>,128,0,relative; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:ssl; classtype:attempted-recon; sid:30785; rev:4; )",['T1123']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_client_body; content:""${"",fast_pattern,nocase; pcre:""/\x24\x7b.{0,200}(%(25)?24|\x24)(%(25)?7b|\x7b).{0,200}(%(25)?3a|\x3a)(%(25)?(27|2d|5c|22)|[\x27\x2d\x5c\x22])*([jndi\x7d\x3a\x2d]|(%(25)?(7d|3a|2d))|(%(25)?5c|\x5c)u00[a-f0-9]{2}){1,4}(%(25)?(22|27)|[\x22\x27])?(%(25)?(3a|7d)|[\x3a\x7djndi])/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; sid:58741; rev:6; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""FILE-OTHER WinRAR ACE remote code execution attempt""; flow:to_server,established; file_data; content:""**ACE**"",depth 7,offset 7; pcre:""/(?:[a-z]:\x5C?){2}/i""; metadata:policy max-detect-ips drop; service:smtp; classtype:attempted-user; sid:49292; rev:4; )",['T1547']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger sskc v2.0 runtime detection""; flow:to_server,established; content:""SSKC"",nocase; content:""v2.0"",distance 0,nocase; content:""Startup"",distance 0,nocase; content:""at"",distance 0,nocase; pcre:""/^SSKC[^\r\n]*v2\x2E0[^\r\n]*Startup[^\r\n]*at/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:11309; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Osx.Keylogger.Elite variant outbound connection""; flow:to_server,established; http_uri; content:""/read-mip.php"",fast_pattern,nocase; metadata:impact_flag red; service:http; classtype:trojan-activity; sid:41458; rev:3; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_header; content:""upper"",fast_pattern,nocase; pcre:""/(%(25)?24|\x24)(%(25)?7b|\x7b)upper(%(25)?3a|\x3a)/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; gid:1; sid:58738; rev:5; )",['T1190']
"alert udp $HOME_NET 67 -> $HOME_NET 68 ( msg:""OS-OTHER Malicious DHCP server bash environment variable injection attempt""; flow:stateless; content:""() {"",fast_pattern,nocase; content:""|02 01 06 00|"",depth 4; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; classtype:attempted-admin; sid:31985; rev:6; )",['T1204']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP Citrix ADC and Gateway arbitrary code execution attempt""; flow:to_server,established; http_uri; content:""/vpns/"",fast_pattern,nocase; http_raw_header; content:""NSC_USER:""; content:""../"",within 10; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:web-application-attack; sid:52620; rev:2; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Win.Trojan.Xtrat outbound connection detected""; flow:to_server,established; http_uri; content:""/plugin.xtr"",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:39734; rev:4; )",['T1176']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger runtime detection - hwae word filtered echelon log""; flow:to_server,established; content:""Subject|3A| HWAE Word Filtered Echelon LOG"",fast_pattern,nocase; service:smtp; classtype:successful-recon-limited; sid:5782; rev:9; )",['T1056']
"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""BROWSER-PLUGINS Microsoft Windows WMI administrator tools object viewer ActiveX clsid access""; flow:to_client,established; file_data; content:""NzQ1RTVGNS1EMjM0LTExRDAtODQ3QS0wMEMwNEZEN0JCMD"",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:http; classtype:attempted-user; sid:28351; rev:7; )",['T1047']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Php.Webshell.Antichat upload attempt""; flow:to_server,established; file_data; content:""<?""; content:""Antichat Shell"",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:59022; rev:1; )",['T1505']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger keylogger pro runtime detection""; flow:to_server,established; flowbits:isset,KeyloggerPro_SMTP; content:""Keylogger"",nocase; content:""Pro"",distance 0,nocase; content:""Activity"",distance 0,nocase; content:""Logs"",distance 0; pcre:""/^Keylogger\s+Pro\s+Activity\s+Logs/ims""; service:smtp; classtype:successful-recon-limited; sid:7592; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger supreme spy runtime detection""; flow:to_server,established; content:""X-Mailer|3A|"",nocase; content:""Supreme"",distance 0,nocase; content:""Spy"",distance 0,nocase; pcre:""/^X-Mailer\x3a[^\r\n]*Supreme\s+Spy/ims""; service:smtp; classtype:successful-recon-limited; sid:9830; rev:9; )",['T1056']
"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""BROWSER-WEBKIT Apple Safari Webkit libxslt arbitrary file creation attempt""; flow:to_client,established; file_data; content:""http://icl.com/saxon"",fast_pattern,nocase; content:"":output"",nocase; pcre:""/\s*[^>]file=/Ri""; metadata:policy max-detect-ips drop; service:ftp-data,http,imap,pop3; classtype:attempted-user; sid:20593; rev:11; )",['T1220']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""POLICY-OTHER Arris VAP2500 default credentials authentication attempt""; flow:to_server,established; http_uri; content:""/login.php""; pkt_data; content:""user=SuperATT"",fast_pattern,nocase; content:""pwd=""; pcre:""/pwd=DC(\x21|%21)94(\x40|%40)B3/i""; service:http; classtype:policy-violation; sid:47070; rev:4; )",['T1078']
"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-CNC Lizamoon sql injection campaign ur.php response detected""; flow:to_client,established; flowbits:isset,lizamoon.get.ur; content:""parkinglot=""; http_cookie; content:""parkinglot=""; metadata:impact_flag red; service:http; classtype:misc-activity; sid:24369; rev:4; )",['T1190']
"alert tcp any any -> any 445 ( msg:""INDICATOR-COMPROMISE Mimikatz use via SMB attempt""; flow:to_server,established; content:""Windows|5C|Temp|5C|mimikatz"",fast_pattern,nocase; content:""|FF|SMB|A2|"",depth 5,offset 4; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:netbios-ssn; classtype:misc-attack; sid:50467; rev:1; )",['T1003']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 21 ( msg:""MALWARE-OTHER Keylogger fearlesskeyspy runtime detection""; flow:to_server,established; content:""STOR"",nocase; content:""FKS_"",distance 0,nocase; pcre:""/^STOR\s+FKS_\w+_\d+-\d+-\d+\.log/i""; service:ftp; classtype:successful-recon-limited; sid:5759; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC RDN Banker Data Exfiltration""; flow:to_server,established; http_method; content:""POST""; http_client_body; content:""|3B| name=|22|arquivo|22 3B| filename=|22|C:|5C|"",fast_pattern,nocase; content:""_.log|22 0D 0A|""; metadata:impact_flag red,ruleset community; service:http; T1020; classtype:trojan-activity; sid:27774; rev:3; )",['T1020']
"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""MALWARE-OTHER OSX.Trojan.Renepo rootkit download attempt""; flow:to_client,established; file_data; content:""|22|opener: wrote LittleSnitch StartupParameters.plist |22| |3E 3E| |2F|.performance.txt"",fast_pattern,nocase; metadata:impact_flag red,policy max-detect-ips drop,policy security-ips drop; service:ftp-data,http,imap,pop3; classtype:trojan-activity; sid:27958; rev:3; )",['T1014']
"alert tcp $HOME_NET 868 <> $EXTERNAL_NET any ( msg:""MALWARE-OTHER Keylogger ab system spy runtime detection - information exchange - flowbit set 4""; flow:established; flowbits:isset,ABSystemSpy_Inforetrieve3; content:""chkCap"",depth 6; flowbits:set,ABSystemSpy_Inforetrieve4; flowbits:noalert; classtype:successful-recon-limited; sid:7168; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 6666:6667 ( msg:""MALWARE-CNC Win.Trojan.IRCBrute.I variant outbound connection""; flow:to_server,established; flowbits:isset,trojan.ircbrute_i; content:""JOIN|20 23 23|"",depth 7,nocase; content:""|23 23|"",within 8,distance 2; pcre:""/^JOIN\s\x23\x23\S{2,6}\x23\x23\s?\x0D\x0A/im""; classtype:trojan-activity; sid:19037; rev:8; )",['T1571']
"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION Javascript obfuscation using meaningless bitshift""; flow:to_client,established; file_data; content:""|28|0>>|28|0>>0|29 29|"",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:ftp-data,http,imap,pop3; classtype:attempted-user; sid:57385; rev:1; )",['T1027']
