Rule,technique ids
"alert udp $HOME_NET any -> $EXTERNAL_NET 15165 ( msg:""MALWARE-OTHER Keylogger stealthwatcher 2000 runtime detection - agent up notification""; content:""|00 00 00 00 0A 02 08 A6|"",depth 8; content:""|02 00 00|v"",distance 0; classtype:successful-recon-limited; sid:6386; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger spybuddy 3.72 runtime detection - send log out through email""; flow:to_server,established; flowbits:isset,SpyBuddy_SMTP; content:""SpyBuddy"",nocase; content:""Activity"",distance 0,nocase; content:""Logs"",distance 0; pcre:""/^SpyBuddy\s+Activity\s+Logs/ims""; service:smtp; classtype:successful-recon-limited; sid:8356; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger/RAT digi watcher 2.32 runtime detection""; flow:to_server,established; flowbits:isset,DigiWatcher232_detection; content:""Motion"",nocase; content:""detected!"",distance 0,nocase; content:""Watcher"",distance 0,nocase; content:""PC"",distance 0,nocase; content:""IP"",distance 0,nocase; content:""address|3A|"",distance 0,nocase; pcre:""/Motion\s+detected\x21/ims""; pcre:""/Watcher\s+PC\s+IP\s+address\x3A/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:12759; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.Renegin outbound GET attempt""; flow:to_server,established; content:""Logger%20Details|3A|%20%0D%0AServer%20Name|3A|%20"",fast_pattern,nocase; content:""%0D%0AKeylogger%20Enabled|3A|%20""; content:""0D%0AClipboard-Logger%20Enabled|3A|%20""; metadata:impact_flag red; service:http; classtype:trojan-activity; sid:38724; rev:3; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $FTP_PORTS ( msg:""MALWARE-CNC Win.Trojan.QVKeylogger outbound variant connection""; flow:to_server,established; content:""RETR public_html/updates/version.txt|0D 0A|"",fast_pattern,nocase; metadata:impact_flag red; service:ftp; classtype:trojan-activity; sid:36602; rev:3; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-CNC Win.Trojan.KeyLogger.wav variant outbound connection""; flow:to_server,established; content:""Subject|3A|Rpt|0A 0D|""; content:""SL|3A|"",within 3,distance 1; content:""SL|3A|"",distance 0; service:smtp; classtype:trojan-activity; sid:20098; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger spyagent runtime detect - smtp delivery""; flow:to_server,established; content:""Computer IP Address|3A|"",nocase; content:""Attached to this email are the activity logs that you have requested"",distance 0,nocase; service:smtp; classtype:successful-recon-limited; sid:5880; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger activity Keylogger runtime detection""; flow:to_server,established; content:""Subject|3A|"",nocase; content:""Activity"",distance 0,nocase; content:""Keylogger"",distance 0,nocase; content:""Logs"",distance 0,nocase; pcre:""/^Subject\x3a[^\r\n]*Activity[^\r\n]*Keylogger[^\r\n]*Logs/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:10183; rev:11; )",['T1056']
"alert udp $HOME_NET any -> $EXTERNAL_NET 15165 ( msg:""MALWARE-OTHER Keylogger activity monitor 3.8 runtime detection - agent up notification""; content:""|00 00 00 00 00 00 00 00|"",depth 8; classtype:successful-recon-limited; sid:7548; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger keylogger pro runtime detection""; flow:to_server,established; flowbits:isset,KeyloggerPro_SMTP; content:""Keylogger"",nocase; content:""Pro"",distance 0,nocase; content:""Activity"",distance 0,nocase; content:""Logs"",distance 0; pcre:""/^Keylogger\s+Pro\s+Activity\s+Logs/ims""; service:smtp; classtype:successful-recon-limited; sid:7592; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Keylogger Ardamax keylogger runtime detection - http""; flow:to_server,established; http_uri; content:""/pub/u1.php?v=""; content:""&pr=""; content:""&id=""; content:""&rn=""; metadata:policy max-detect-ips drop; service:http; classtype:trojan-activity; sid:19106; rev:6; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger PerfectKeylogger runtime detection""; flow:to_server,established; flowbits:isset,PerfectKeylogger2; content:""This is a Perfect Keylogger report"",fast_pattern,nocase; service:smtp; classtype:successful-recon-limited; sid:7546; rev:8; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 21 ( msg:""MALWARE-OTHER Keylogger fearlesskeyspy runtime detection""; flow:to_server,established; content:""STOR"",nocase; content:""FKS_"",distance 0,nocase; pcre:""/^STOR\s+FKS_\w+_\d+-\d+-\d+\.log/i""; service:ftp; classtype:successful-recon-limited; sid:5759; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger msn spy monitor runtime detection""; flow:to_server,established; content:""<TITLE>MSN Spy Monitor Logging Report</TITLE>"",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13567; rev:8; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""INDICATOR-COMPROMISE PhpSploit backdoor communication attempt""; flow:to_server,established; http_header; content:""Phpspl01T:"",fast_pattern,nocase; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:50948; rev:1; )",['T1505']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""POLICY-OTHER Java User-Agent remote class download attempt""; flow:to_server,established; http_uri; content:"".class"",fast_pattern,nocase; http_header; content:""|0D 0A|User-Agent: Java/"",nocase; metadata:ruleset community; service:http; classtype:policy-violation; sid:58814; rev:3; )",['T1190']
