Sid,Response,Technique_id,True_labels
50094,"
 {
   ""Results"": [
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1085"",
       ""Technique Name"": ""Exploit Public-Facing Application"",
       ""Quotes"": [],
       ""Explanation"": ""The rule triggers on the detection of an HTTP request containing a malicious payload that attempts to exploit a vulnerability in a publicly accessible web application. Such an attack aligns with the MITRE ATT&CK technique T1085, as it involves exploiting a public-facing application through HTTP for malicious purposes.""
     },
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1190"",
       ""Technique Name"": ""Exploitation for Privilege Escalation"",
       ""Quotes"": [],
       ""Explanation"": ""The rule's focus on exploiting a vulnerability in a publicly accessible web application suggests that the attacker may attempt to leverage this vulnerability to gain elevated privileges on the targeted system. This aligns with the MITRE ATT&CK technique T1190, which involves exploiting vulnerabilities to escalate privileges and gain unauthorized access to sensitive systems or data.""
     },
     {
       ""Sid"": ""50094"",
       ""Technique ID"": ""T1498"",
       ""Technique Name"": ""Malicious File"",
       ""Quotes"": [],
       ""Explanation"": ""The rule triggers on the detection of an HTTP request containing a malicious payload that attempts to exploit a vulnerability in a publicly accessible web application. This malicious payload may be in the form of a malicious file, such as a script or executable, that the attacker attempts to execute on the target system. This aligns with the MITRE ATT&CK technique T1498, which involves using malicious files to compromise a system.""
     }
   ]
 }
 ","['T1085', 'T1190', 'T1498']",['T1187']
38563,"
 {
   ""Sid"": ""38563"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when a fake 404 response is received from an external IP to an internal IP over port 80, indicating that the attacker is attempting to establish a command and control channel with a compromised host.""
 }
 ",['T1056'],['T1056']
976,"{""Sid"": ""976"", ""Technique ID"": ""T1064"", ""Technique Name"": ""Scripting"", ""Quotes"": [], ""Explanation"": ""The rule looks for a .bat file access in a HTTP request, which is a common method of scripting an attack.""}, {""Sid"": ""976"", ""Technique ID"": ""T1190"", ""Technique Name"": ""Exploit Public-Facing Application"", ""Quotes"": [], ""Explanation"": ""The rule looks for a .bat file access in a HTTP request, which could be an attempt to exploit a public-facing web application.""}","['T1064', 'T1190']",['T1204']
1129,"{
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1170"",
   ""Technique Name"": ""File and Directory Discovery"",
   ""Quotes"": ["".htaccess"", ""content: \\"".htaccess\\"", ""nocase""],
   ""Explanation"": ""This rule searches for attempts to access .htaccess files, which often contain sensitive configuration information.""
 }",['T1170'],['T1218']
27967,"
 {
   ""Sid"": ""27967"",
   ""Technique ID"": ""T1100"",
   ""Technique Name"": ""Web Shell"",
   ""Quotes"": [],
   ""Explanation"": ""The Snort rule detects a web shell connection by identifying the presence of specific HTTP headers and content. Web shells are often used by attackers to maintain persistent access to compromised systems and perform malicious activities, which aligns with the T1100 technique.""
 }
 ",['T1100'],"['T1505', 'T1219']"
29869,"{
   ""Sid"": ""29869"",
   ""Technique ID"": ""T1192"",
   ""Technique Name"": ""Phishing"",
   ""Quotes"": [
     ""Phishing is a social engineering technique that uses deceptive e-mails or text messages to trick people into giving up their personal information or clicking on malicious links, which can lead to the installation of malware or the compromise of their accounts.""
   ],
   ""Explanation"": ""The rule detects phishing attacks that use Facebook as a lure to trick users into clicking on malicious links. The rule looks for traffic from the external network to the internal network on HTTP ports, with the content \""facebook.com.exe\"" in the request. This traffic is flagged as suspicious because it is likely an attempt to redirect users to a phishing website that looks like Facebook.""
 }",['T1192'],['T1566']
31807,"
 {
   ""Rules"": [
     {
       ""Sid"": ""31807"",
       ""Technique ID"": ""T1048"",
       ""Technique Name"": ""Data Exfiltration"",
       ""Quotes"": [],
       ""Explanation"": ""The rule triggers when Subject:|3A| Limitless Logger |3A 20 3A| Execution Confirmation is found in the content of the flow, which is indicative of data exfiltration activity.""
     }
   ]
 }
 ",['T1048'],['T1020']
58751,"{
   ""Sid"": ""58751"",
   ""Technique ID"": ""T1498"",
   ""Technique Name"": ""Execution Through Indirect Reference"",
   ""Quotes"": [
     ""Adversaries may use JNDI to execute arbitrary code on a vulnerable server via LDAP.""
   ],
   ""Explanation"": ""The rule uses the PCRE expression to look for a pattern that includes the text \""jndi\"". JNDI is a Java API that can be used for remote code execution.""
 }",['T1498'],['T1190']
36100,"
 {
   ""Sid"": ""36100"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [
     ""\""Obtain access to applications and services accessible from outside the organization's network perimeter\"""",
     ""\""Exploiting public-facing applications is a common attack technique used by adversaries to gain access to an organization's network and systems. By exploiting vulnerabilities in these applications, adversaries can gain a foothold in the network and launch further attacks.\""""
   ],
   ""Explanation"": ""The rule detects an attempt to authenticate to a ManageEngine OpManager instance using default credentials. This technique is used by adversaries to gain access to web applications that are accessible from the internet.""
 }
 ",['T1190'],['T1078']
10096,"
 {
   ""Sid"": ""10096"",
   ""Technique ID"": ""T1056"",
   ""Technique Name"": ""Input Capture"",
   ""Quotes"": [
     ""\""Detects captured keystroke and/or screen logs\"""",
     ""\""Attempts to capture keystrokes or other input data not from a trusted source\""""
   ],
   ""Explanation"": ""The rule detects keylogging activity, which is a type of input capture. Keylogging is a technique used by attackers to capture keystrokes and other input data from a user's keyboard. This information can be used to steal passwords, credit card numbers, and other sensitive information.""
 }
 ",['T1056'],['T1056']
