Sid,Response,Technique_id,True_labels
50094,"[
     {
         ""sid"": ""50094"",
         ""Technique ID"": ""T1497"",
         ""Technique Name"": ""Phishing"",
         ""Quotes"": """"Phishing techniques involve sending fraudulent emails or communications that appear to come from a trusted source to deceive users into providing sensitive information. The rule detects a Responder poisoner HTTP attack attempt that involves poisoning DNS responses to redirect users to a malicious website that impersonates a legitimate one, which is a common phishing technique."""",
         ""Explanation"": ""This rule is triggered when traffic matching multiple indicators of compromise (IOC) is detected, including suspicious or malicious file names.""
     }
 ]",['T1497'],['T1187']
38563,"[
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1056"",
     ""Technique Name"": ""Input Capture"",
     ""Quotes"": ""\""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of a Trojan (GateKeylogger) that mimics a '404 Not Found' error to disguise its communication with a command and control server, which is a common method used by keyloggers to stealthily capture input data.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""38563"",
     ""Technique ID"": ""T1071"",
     ""Technique Name"": ""Remote System Discovery"",
     ""Quotes"": ""\""Remote System Discovery techniques involve gathering information about remote systems to identify potential targets or vulnerabilities. The rule detects an attempt to retrieve information about the target system by sending an HTTP GET request with a specific User-Agent string, which is a common method used by attackers to gather information about a system's software and configuration.\"""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]","['T1056', 'T1071']",['T1056']
976,"[
     {
         ""sid"": ""976"",
         ""Technique ID"": ""T1189"",
         ""Technique name"": ""Exploit Public-Facing Application"",
         ""Quotes"": """"Exploit Public-Facing Application techniques involve targeting vulnerabilities in externally facing applications to gain unauthorized access or execute arbitrary code. This rule detects an attempt to exploit a web server vulnerability by accessing a '.bat' file, which indicates an attempt to execute a batch script on the web server."""",
         ""Explanation"": ""This event is generated when an attempt is made to access a .bat file on a web server, which is often an indication of an attempt to exploit a vulnerability in the web server software.""
     }
 ]",['T1189'],['T1204']
1129,"[
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1170"",
     ""Technique name"": ""Compromise Infrastructure"",
     ""Quotes"": """"Compromise Infrastructure mainly involves compromising legitimate IT infrastructure, such as servers or workstations, to facilitate follow-on attacks. The rule indicates detection of attempts to access '.htaccess' (Hypertext Access) files, which is a configuration file used in web servers to restrict access to specific files and directories. Attackers often target '.htaccess' files to modify website settings, gain unauthorized access, or install malicious code."""",
     ""Explanation"": ""This event is generated when an attempt to access .htaccess file is observed.""
   },
   {
     ""sid"": ""1129"",
     ""Technique ID"": ""T1190"",
     ""Technique name"": ""Exploit Public-Facing Application"",
     ""Quotes"": """"Exploit Public-Facing Application techniques involve targeting vulnerabilities in externally facing applications to gain unauthorized access or execute arbitrary code. The rule detects an attempted blind SQL injection attack on the Symantec Web Gateway's 'blocked.php' page, which is a common method attackers use to exploit web applications by manipulating SQL queries."""",
     ""Explanation"": ""SQL injection vulnerability in the management console in Symantec Web Gateway 5.0.x before 5.0.3.18 allows remote attackers to execute arbitrary SQL commands via unspecified vectors, related to a ""blind SQL injection"" issue.""
   }
 ]","['T1170', 'T1190']",['T1218']
27967,"[
     ""sid"": ""27967"",
     ""Technique ID"": ""T1100"",
     ""Technique name"": ""Web Shell"",
     ""Quotes"": """"Web Shells techniques involve uploading and executing malicious PHP scripts to gain remote access to systems via web shells, which are often used as an alternative to traditional command and control (C2) infrastructure. This rule detects an attempt to establish a connection to a web shell on the target system, as evidenced by the presence of specific HTTP headers and POST data containing ""caidao"" followed by commands like ""Response,"" ""Write,"" or ""Execute."""""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ]",['T1100'],"['T1505', 'T1219']"
29869,"[
   {
     ""sid"": ""29869"",
     ""Technique ID"": ""T1192"",
     ""Technique name"": ""Phishing"",
     ""Quotes"": """"Phishing techniques involve sending fraudulent emails or messages that appear to be from a legitimate source to trick users into providing sensitive information or clicking on malicious links that lead to malware downloads. This rule detects an attempt to phish users through an email attachment named 'facebook.com.exe', which is a common method used by phishing campaigns to spread malware."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   }
 ]",['T1192'],['T1566']
31807,"[
   {
     ""sid"": ""31807"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": """"Exfiltration Over Command and Control Channel techniques involve transmitting information back to the attacker's infrastructure over established or covert communication channels. This rule indicates data exfiltration by Win.Trojan.Nighthunter via the SMTP protocol, which is a common method used by malware to send stolen data to remote servers."""",
     ""Explanation"": ""The rule identifies an attempt by the Win.Trojan.Nighthunter malware to send data over a command and control channel using SMTP.""
   }
 ]",['T1041'],['T1020']
58751,"[
     ""sid"": ""58751"",
     ""Technique ID"": ""T1220.002"",
     ""Technique name"": ""Exploitation of Remote Services"",
     ""Quotes"": """"Exploitation of Remote Services techniques involve exploiting vulnerabilities in network services to gain unauthorized access or execute arbitrary code on remote systems. This rule detects an Apache Log4j logging remote code execution attempt, which is a vulnerability in the Apache Log4j 2 library that allows attackers to execute arbitrary code through a Java Naming and Directory Interface (JNDI) lookup. Attackers can use this vulnerability to gain unauthorized access to and execute code on vulnerable systems."""",
     ""Explanation"": ""This rule triggers for an attempt to exploit a vulnerability in the Apache Log4j 2 library that allows attackers to execute arbitrary code through a Java Naming and Directory Interface (JNDI) lookup.""
 ]",['T1220.002'],['T1190']
36100,"[
   {
     ""sid"": ""36100"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Brute Force"",
     ""Quotes"": """"Brute Force techniques involve repeatedly submitting different combinations of usernames and passwords to gain unauthorized access to a system. This rule specifically targets the login page of ManageEngine OpManager, which is commonly targeted by attackers to brute-force login credentials."""",
     ""Explanation"": ""This event is generated when an attacker tries to brute force the ManageEngine OpManager login page using default credentials.""
   }
 ]",['T1110'],['T1078']
10096,"[
     ""sid"": ""10096"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. The rule indicates the presence of the 'win32.remotekeylog.b' keylogger, which is a type of malware that captures and transmits keystrokes to a remote server."""",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
 ]",['T1056'],['T1056']
