ID,Technique Name,Description
T1595,Active Scanning,Adversaries may execute active reconnaissance scans to gather information that can be used during targeting
T1595.001,Scanning IP Blocks,Adversaries may scan victim IP blocks to gather information that can be used during targeting
T1595.002,Vulnerability Scanning,Adversaries may scan victims for vulnerabilities that can be used during targeting
T1595.003,Wordlist Scanning,Adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques
T1592,Gather Victim Host Information,Adversaries may gather information about the victim's hosts that can be used during targeting
T1592.001,Hardware,Adversaries may gather information about the victim's host hardware that can be used during targeting
T1592.002,Software,Adversaries may gather information about the victim's host software that can be used during targeting
T1592.003,Firmware,Adversaries may gather information about the victim's host firmware that can be used during targeting
T1592.004,Client Configurations,Adversaries may gather information about the victim's client configurations that can be used during targeting
T1589,Gather Victim Identity Information,Adversaries may gather information about the victim's identity that can be used during targeting
T1589.001,Credentials,Adversaries may gather credentials that can be used during targeting
T1589.002,Email Addresses,Adversaries may gather email addresses that can be used during targeting
T1589.003,Employee Names,Adversaries may gather employee names that can be used during targeting
T1590,Gather Victim Network Information,Adversaries may gather information about the victim's networks that can be used during targeting
T1590.001,Domain Properties,Adversaries may gather information about the victim's network domain(s) that can be used during targeting
T1590.002,DNS,Adversaries may gather information about the victim's DNS that can be used during targeting
T1590.003,Network Trust Dependencies,Adversaries may gather information about the victim's network trust dependencies that can be used during targeting
T1590.004,Network Topology,Adversaries may gather information about the victim's network topology that can be used during targeting
T1590.005,IP Addresses,Adversaries may gather the victim's IP addresses that can be used during targeting
T1590.006,Network Security Appliances,Adversaries may gather information about the victim's network security appliances that can be used during targeting
T1591,Gather Victim Org Information,Adversaries may gather information about the victim's organization that can be used during targeting
T1591.001,Determine Physical Locations,Adversaries may gather the victim's physical location(s) that can be used during targeting
T1591.002,Business Relationships,Adversaries may gather information about the victim's business relationships that can be used during targeting
T1591.003,Identify Business Tempo,Adversaries may gather information about the victim's business tempo that can be used during targeting
T1591.004,Identify Roles,Adversaries may gather information about identities and roles within the victim organization that can be used during targeting
T1598,Phishing for Information,Adversaries may send phishing messages to elicit sensitive information that can be used during targeting
T1598.001,Spearphishing Service,Adversaries may send spearphishing messages via third-party services to elicit sensitive information that can be used during targeting
T1598.002,Spearphishing Attachment,Adversaries may send spearphishing messages with a malicious attachment to elicit sensitive information that can be used during targeting
T1598.003,Spearphishing Link,Adversaries may send spearphishing messages with a malicious link to elicit sensitive information that can be used during targeting
T1598.004,Spearphishing Voice,Adversaries may use voice communications to elicit sensitive information that can be used during targeting
T1597,Search Closed Sources,Adversaries may search and gather information about victims from closed sources that can be used during targeting
T1597.001,Threat Intel Vendors,Adversaries may search private data from threat intelligence vendors for information that can be used during targeting
T1597.002,Purchase Technical Data,Adversaries may purchase technical information about victims that can be used during targeting
T1596,Search Open Technical Databases,Adversaries may search freely available technical databases for information about victims that can be used during targeting
T1596.001,DNS/Passive DNS,Adversaries may search DNS data for information about victims that can be used during targeting
T1596.002,WHOIS,Adversaries may search public WHOIS data for information about victims that can be used during targeting
T1596.003,Digital Certificates,Adversaries may search public digital certificate data for information about victims that can be used during targeting
T1596.004,CDNs,Adversaries may search content delivery network (CDN) data about victims that can be used during targeting
T1596.005,Scan Databases,Adversaries may search within public scan databases for information about victims that can be used during targeting
T1593,Search Open Websites/Domains,Adversaries may search freely available websites and/or domains for information about victims that can be used during targeting
T1593.001,Social Media,Adversaries may search social media for information about victims that can be used during targeting
T1593.002,Search Engines,Adversaries may use search engines to collect information about victims that can be used during targeting
T1593.003,Code Repositories,Adversaries may search public code repositories for information about victims that can be used during targeting
T1594,Search Victim-Owned Websites,Adversaries may search websites owned by the victim for information that can be used during targeting
