,Sid,Rule,technique ids
0,213,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""MALWARE-BACKDOOR MISC Linux rootkit attempt"";  flow:to_server,established;  content:""wh00t!"";  metadata:ruleset community;  classtype:attempted-admin;  sid:213;  rev:9;  )",['T1014']
1,214,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""MALWARE-BACKDOOR MISC Linux rootkit attempt lrkr0x"";  flow:to_server,established;  content:""lrkr0x"";  metadata:ruleset community;  classtype:attempted-admin;  sid:214;  rev:9;  )",['T1014']
2,215,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""MALWARE-BACKDOOR MISC Linux rootkit attempt"";  flow:to_server,established;  content:""d13hh["",nocase;  metadata:ruleset community;  classtype:attempted-admin;  sid:215;  rev:9;  )",['T1014']
3,216,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""MALWARE-BACKDOOR MISC Linux rootkit satori attempt"";  flow:to_server,established;  content:""satori"";  metadata:ruleset community;  classtype:attempted-admin;  sid:216;  rev:12;  )",['T1014']
4,233,"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default startup password"";  flow:to_server,established;  content:""betaalmostdone"";  metadata:ruleset community;  reference:cve,2000-0138;  classtype:attempted-dos;  sid:233;  rev:11;  )",['T1078']
5,234,"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default password"";  flow:to_server,established;  content:""gOrave"";  metadata:ruleset community;  reference:cve,2000-0138;  classtype:attempted-dos;  sid:234;  rev:9;  )",['T1078']
6,235,"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default mdie password"";  flow:to_server,established;  content:""killme"";  metadata:ruleset community;  reference:cve,2000-0138;  classtype:attempted-dos;  sid:235;  rev:9;  )",['T1078']
7,237,"alert udp $EXTERNAL_NET any -> $HOME_NET 27444 ( msg:""MALWARE-OTHER Trin00 Master to Daemon default password attempt"";  flow:to_server;  content:""l44adsl"";  metadata:ruleset community;  reference:cve,2000-0138;  classtype:attempted-dos;  sid:237;  rev:11;  )",['T1078']
8,613,"alert tcp $EXTERNAL_NET 10101 -> $HOME_NET any ( msg:""INDICATOR-SCAN myscan"";  flow:stateless;  ack:0;  flags:S;  ttl:>220;  metadata:ruleset community;  classtype:attempted-recon;  sid:613;  rev:11;  )","['T1018', 'T1040', 'T1046']"
9,616,"alert tcp $EXTERNAL_NET any -> $HOME_NET 113 ( msg:""INDICATOR-SCAN ident version request"";  flow:to_server,established;  content:""VERSION|0A|"",depth 16;  metadata:ruleset community;  classtype:attempted-recon;  sid:616;  rev:9;  )","['T1018', 'T1040', 'T1046']"
10,619,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 ( msg:""INDICATOR-SCAN cybercop os probe"";  flow:stateless;  isdataat:!0;  flags:12FS;  metadata:ruleset community;  classtype:attempted-recon;  sid:619;  rev:12;  )","['T1018', 'T1040', 'T1046']"
11,622,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN ipEye SYN scan"";  flow:stateless;  flags:S;  seq:1958810375;  metadata:ruleset community;  classtype:attempted-recon;  sid:622;  rev:12;  )","['T1018', 'T1040', 'T1046']"
12,626,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN cybercop os PA12 attempt"";  flow:stateless;  flags:12AP;  content:""AAAAAAAAAAAAAAAA"",depth 16;  metadata:ruleset community;  classtype:attempted-recon;  sid:626;  rev:13;  )","['T1018', 'T1040', 'T1046']"
13,627,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN cybercop os SFU12 probe"";  flow:stateless;  ack:0;  flags:12FSU;  content:""AAAAAAAAAAAAAAAA"",depth 16;  metadata:ruleset community;  classtype:attempted-recon;  sid:627;  rev:13;  )","['T1018', 'T1040', 'T1046']"
14,630,"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN synscan portscan"";  flow:stateless;  flags:FS;  id:39426;  metadata:ruleset community;  classtype:attempted-recon;  sid:630;  rev:11;  )","['T1018', 'T1040', 'T1046']"
15,634,"alert udp $EXTERNAL_NET any -> $HOME_NET 10080:10081 ( msg:""INDICATOR-SCAN Amanda client-version request"";  flow:to_server;  content:""Amanda"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  classtype:attempted-recon;  sid:634;  rev:10;  )","['T1018', 'T1040', 'T1046']"
16,635,"alert udp $EXTERNAL_NET any -> $HOME_NET 49 ( msg:""INDICATOR-SCAN XTACACS logout"";  flow:to_server;  content:""|80 07 00 00 07 00 00 04 00 00 00 00 00|"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  classtype:bad-unknown;  sid:635;  rev:11;  )","['T1018', 'T1040', 'T1046']"
17,636,"alert udp $EXTERNAL_NET any -> $HOME_NET 7 ( msg:""INDICATOR-SCAN cybercop udp bomb"";  flow:to_server;  content:""cybercop"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  classtype:bad-unknown;  sid:636;  rev:9;  )","['T1018', 'T1040', 'T1046']"
18,637,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SCAN Webtrends Scanner UDP Probe"";  flow:to_server;  content:""|0A|help|0A|quite|0A|"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  reference:url,www.netiq.com/products/vsm/default.asp;  classtype:attempted-recon;  sid:637;  rev:13;  )","['T1018', 'T1040', 'T1046']"
20,1090,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP Allaire Pro Web Shell attempt"";  flow:to_server,established;  http_uri;  content:""/authenticate.cgi?PASSWORD"",fast_pattern,nocase;  pkt_data;  content:""config.ini"";  metadata:ruleset community;  service:http;  classtype:web-application-attack;  sid:1090;  rev:18;  )",['T1505']
21,1100,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""INDICATOR-SCAN L3retriever HTTP Probe"";  flow:to_server,established;  http_header;  content:""User-Agent|3A| Java1.2.1|0D 0A|"";  metadata:ruleset community;  service:http;  classtype:web-application-activity;  sid:1100;  rev:18;  )","['T1018', 'T1040', 'T1046']"
22,1101,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""INDICATOR-SCAN Webtrends HTTP probe"";  flow:to_server,established;  http_header;  content:""User-Agent|3A| Webtrends Security Analyzer|0D 0A|"";  metadata:ruleset community;  service:http;  classtype:web-application-activity;  sid:1101;  rev:18;  )","['T1018', 'T1040', 'T1046']"
23,1122,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP /etc/passwd file access attempt"";  flow:to_server,established;  http_uri;  content:""/etc/passwd"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  service:http;  classtype:attempted-recon;  sid:1122;  rev:16;  )",['T1087']
24,1129,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP .htaccess access"";  flow:to_server,established;  http_uri;  content:"".htaccess"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  service:http;  classtype:attempted-recon;  sid:1129;  rev:16;  )",['T1170']
25,1133,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""INDICATOR-SCAN cybercop os probe"";  flow:stateless;  ack:0;  flags:FPS;  content:""AAAAAAAAAAAAAAAA"",depth 16;  metadata:ruleset community;  service:http;  classtype:attempted-recon;  sid:1133;  rev:18;  )","['T1018', 'T1040', 'T1046']"
26,1434,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP .bash_history access"";  flow:to_server,established;  http_uri;  content:""/.bash_history"";  metadata:ruleset community;  service:http;  reference:bugtraq,337;  reference:cve,1999-0408;  classtype:web-application-attack;  sid:1434;  rev:15;  )",['T1552']
27,1638,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 ( msg:""INDICATOR-SCAN SSH Version map attempt"";  flow:to_server,established;  content:""Version_Mapper"",fast_pattern,nocase;  metadata:ruleset community;  classtype:network-scan;  sid:1638;  rev:10;  )","['T1018', 'T1040', 'T1046']"
28,1817,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-IIS MS Site Server default login attempt"";  flow:to_server,established;  http_uri;  content:""/SiteServer/Admin/knowledge/persmbr/"",nocase;  pkt_data;  pcre:""/^Authorization\x3A\s*Basic\s+TERBUF9Bbm9ueW1vdXM6TGRhcFBhc3N3b3JkXzE=/ims"";  metadata:ruleset community;  service:http;  reference:nessus,11018;  classtype:web-application-attack;  sid:1817;  rev:19;  )",['T1078']
29,1859,"alert tcp $EXTERNAL_NET any -> $HOME_NET 9090 ( msg:""SERVER-WEBAPP Oracle JavaServer default password login attempt"";  flow:to_server,established;  content:""/servlet/admin"";  content:""ae9f86d6beaa3f9ecb9a5b7e072a4138"";  metadata:ruleset community;  service:http;  reference:nessus,10995;  classtype:default-login-attempt;  sid:1859;  rev:14;  )",['T1078']
30,1860,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 ( msg:""SERVER-WEBAPP Linksys router default password login attempt"";  flow:to_server,established;  http_header;  content:""Authorization|3A|"",nocase;  pcre:""/^Authorization\x3a(\s*|\s*\r?\n\s+)Basic\s+OmFkbWlu/ims"";  metadata:ruleset community;  service:http;  reference:nessus,10999;  classtype:default-login-attempt;  sid:1860;  rev:15;  )",['T1078']
31,1861,"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 ( msg:""SERVER-WEBAPP Linksys router default username and password login attempt"";  flow:to_server,established;  content:""YWRtaW46YWRtaW4"";  pcre:""/^Authorization\x3a\s*Basic\s+(?-i)YWRtaW46YWRtaW4[=\s]/ims"";  metadata:ruleset community;  service:http;  reference:nessus,10999;  classtype:default-login-attempt;  sid:1861;  rev:18;  )",['T1078']
