ID,Technique Name,Description
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions
T1134,Access Token Manipulation,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls
T1531,Account Access Removal,Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users
T1087,Account Discovery,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment"
T1098,Account Manipulation,Adversaries may manipulate accounts to maintain and/or elevate access to victim systems
T1650,Acquire Access,Adversaries may purchase or otherwise acquire an existing access to a target system or network
T1583,Acquire Infrastructure,"Adversaries may buy, lease, or rent infrastructure that can be used during targeting"
T1595,Active Scanning,Adversaries may execute active reconnaissance scans to gather information that can be used during targeting
T1557,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access)"
T1071,Application Layer Protocol,Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic
T1010,Application Window Discovery,Adversaries may attempt to get a listing of open application windows
T1560,Archive Collected Data,An adversary may compress and/or encrypt data that is collected prior to exfiltration
T1123,Audio Capture,An adversary can leverage a computer's peripheral devices (e
T1119,Automated Collection,"Once established within a system or network, an adversary may use automated techniques for collecting internal data"
T1020,Automated Exfiltration,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection"
T1197,BITS Jobs,Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks
T1547,Boot or Logon Autostart Execution,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems
T1037,Boot or Logon Initialization Scripts,Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence
T1176,Browser Extensions,Adversaries may abuse Internet browser extensions to establish persistent access to victim systems
T1217,Browser Information Discovery,Adversaries may enumerate information about browsers to learn more about compromised environments
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques"
T1110,Brute Force,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained
T1612,Build Image on Host,Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry
T1115,Clipboard Data,Adversaries may collect data stored in the clipboard from users copying information within or between applications
T1651,Cloud Administration Command,Adversaries may abuse cloud management services to execute commands within virtual machines or hybrid-joined devices
T1580,Cloud Infrastructure Discovery,An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment
T1538,Cloud Service Dashboard,"An adversary may use a cloud service dashboard GUI with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features"
T1526,Cloud Service Discovery,An adversary may attempt to enumerate the cloud services running on a system after gaining access
T1619,Cloud Storage Object Discovery,Adversaries may enumerate objects in cloud storage infrastructure
T1059,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries"
T1092,Communication Through Removable Media,Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system
T1586,Compromise Accounts,Adversaries may compromise accounts with services that can be used during targeting
T1554,Compromise Client Software Binary,Adversaries may modify client software binaries to establish persistent access to systems
T1584,Compromise Infrastructure,Adversaries may compromise third-party infrastructure that can be used during targeting
T1609,Container Administration Command,Adversaries may abuse a container administration service to execute commands within a container
T1613,Container and Resource Discovery,Adversaries may attempt to discover containers and other resources that are available within a containers environment
T1659,Content Injection,Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic
T1136,Create Account,Adversaries may create an account to maintain access to victim systems
T1543,Create or Modify System Process,Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence
T1555,Credentials from Password Stores,Adversaries may search for common password storage locations to obtain user credentials
T1485,Data Destruction,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources"
T1132,Data Encoding,Adversaries may encode data to make the content of command and control traffic more difficult to detect
T1486,Data Encrypted for Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources
T1530,Data from Cloud Storage,Adversaries may access data from cloud storage
T1602,Data from Configuration Repository,Adversaries may collect data related to managed devices from configuration repositories
T1213,Data from Information Repositories,Adversaries may leverage information repositories to mine valuable information
T1005,Data from Local System,"Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration"
T1039,Data from Network Shared Drive,Adversaries may search network shares on computers they have compromised to find files of interest
T1025,Data from Removable Media,Adversaries may search connected removable media on computers they have compromised to find files of interest
T1565,Data Manipulation,"Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data"
T1001,Data Obfuscation,Adversaries may obfuscate command and control traffic to make it more difficult to detect
T1074,Data Staged,Adversaries may stage collected data in a central location or directory prior to Exfiltration
T1030,Data Transfer Size Limits,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds
T1622,Debugger Evasion,Adversaries may employ various means to detect and avoid debuggers
T1491,Defacement,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content"
T1140,Deobfuscate/Decode Files or Information,Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis
T1610,Deploy Container,Adversaries may deploy a container into an environment to facilitate execution or evade defenses
